raion,year,scenario,variant,pct_diff
r-baranavicki,2026,base,A,0.0
r-brescki,2026,base,A,0.0
r-biarozauski,2026,base,A,-0.0
r-hancavicki,2026,base,A,-0.0
r-drahichynski,2026,base,A,-0.0
r-zhabinkauski,2026,base,A,0.0
r-ivanauski,2026,base,A,0.0
r-ivacevicki,2026,base,A,-0.0
r-kamianiecki,2026,base,A,-0.0
r-kobrynski,2026,base,A,0.0
r-luniniecki,2026,base,A,0.0
r-lachavicki,2026,base,A,-0.0
r-malarycki,2026,base,A,-0.0
r-pinski,2026,base,A,-0.0
r-pruzhanski,2026,base,A,-0.0
r-stolinski,2026,base,A,0.0
r-arshanski,2026,base,A,-0.0
r-bieshankovicki,2026,base,A,0.0
r-braslauski,2026,base,A,0.0
r-vierchniadzvinski,2026,base,A,0.0
r-viciebski,2026,base,A,-0.0
r-haradocki,2026,base,A,-0.0
r-hlybocki,2026,base,A,0.0
r-dokshycki,2026,base,A,0.0
r-dubrovienski,2026,base,A,-0.0
r-loznienski,2026,base,A,-0.0
r-lepielski,2026,base,A,-0.0
r-mijorski,2026,base,A,-0.0
r-pastauski,2026,base,A,0.0
r-polacki,2026,base,A,-0.0
r-rasonski,2026,base,A,-0.0
r-siennienski,2026,base,A,-0.0
r-talachynski,2026,base,A,-0.0
r-ushacki,2026,base,A,0.0
r-chashnicki,2026,base,A,0.0
r-sharkoushchynski,2026,base,A,-0.0
r-shumilinski,2026,base,A,0.0
r-akciabrski,2026,base,A,-0.0
r-brahinski,2026,base,A,-0.0
r-buda-kashalouski,2026,base,A,0.0
r-vietkauski,2026,base,A,-0.0
r-homielski,2026,base,A,0.0
r-dobrushski,2026,base,A,-0.0
r-jelski,2026,base,A,0.0
r-zhlobinski,2026,base,A,0.0
r-zhytkavicki,2026,base,A,-0.0
r-kalinkavicki,2026,base,A,-0.0
r-karmianski,2026,base,A,-0.0
r-lelchycki,2026,base,A,-0.0
r-lojeuski,2026,base,A,0.0
r-mazyrski,2026,base,A,-0.0
r-naraulanski,2026,base,A,0.0
r-pietrykauski,2026,base,A,-0.0
r-rahachouski,2026,base,A,-0.0
r-rechycki,2026,base,A,0.0
r-svietlahorski,2026,base,A,0.0
r-chojnicki,2026,base,A,0.0
r-chacherski,2026,base,A,0.0
r-astraviecki,2026,base,A,-0.0
r-ashmianski,2026,base,A,0.0
r-bierastavicki,2026,base,A,-0.0
r-vaukavyski,2026,base,A,0.0
r-voranauski,2026,base,A,-0.0
r-hrodzienski,2026,base,A,-0.0
r-dziatlauski,2026,base,A,0.0
r-zelvienski,2026,base,A,-0.0
r-iujeuski,2026,base,A,-0.0
r-karelicki,2026,base,A,0.0
r-lidski,2026,base,A,-0.0
r-mastouski,2026,base,A,0.0
r-navahrudski,2026,base,A,0.0
r-svislacki,2026,base,A,-0.0
r-slonimski,2026,base,A,-0.0
r-smarhonski,2026,base,A,0.0
r-shchuchynski,2026,base,A,-0.0
r-barysauski,2026,base,A,-0.0
r-biarezinski,2026,base,A,0.0
r-valozhynski,2026,base,A,0.0
r-vilejski,2026,base,A,0.0
r-dziarzhynski,2026,base,A,-0.0
r-kapylski,2026,base,A,-0.0
r-klecki,2026,base,A,0.0
r-krupski,2026,base,A,0.0
r-lahojski,2026,base,A,0.0
r-lubanski,2026,base,A,-0.0
r-maladziechanski,2026,base,A,-0.0
r-minski,2026,base,A,-0.0
r-miadzielski,2026,base,A,0.0
r-niasvizhski,2026,base,A,0.0
r-puchavicki,2026,base,A,0.0
r-salihorski,2026,base,A,0.0
r-slucki,2026,base,A,-0.0
r-smalavicki,2026,base,A,-0.0
r-staradarozhski,2026,base,A,0.0
r-staubcouski,2026,base,A,0.0
r-uzdzienski,2026,base,A,-0.0
r-chervienski,2026,base,A,-0.0
r-asipovicki,2026,base,A,-0.0
r-babrujski,2026,base,A,0.0
r-bychauski,2026,base,A,0.0
r-bialynicki,2026,base,A,-0.0
r-hluski,2026,base,A,0.0
r-horacki,2026,base,A,0.0
r-drybinski,2026,base,A,0.0
r-kasciukovicki,2026,base,A,-0.0
r-kirauski,2026,base,A,-0.0
r-klimavicki,2026,base,A,0.0
r-klichauski,2026,base,A,0.0
r-krasnapolski,2026,base,A,0.0
r-kruhlanski,2026,base,A,0.0
r-krychauski,2026,base,A,-0.0
r-mahilouski,2026,base,A,0.0
r-mscislauski,2026,base,A,0.0
r-slauharadski,2026,base,A,0.0
r-chocimski,2026,base,A,0.0
r-chavuski,2026,base,A,0.0
r-cherykauski,2026,base,A,0.0
r-shklouski,2026,base,A,-0.0
BY-HM,2026,base,A,-0.0
r-baranavicki,2031,base,A,0.0
r-brescki,2031,base,A,-0.0
r-biarozauski,2031,base,A,-0.0
r-hancavicki,2031,base,A,-0.0
r-drahichynski,2031,base,A,-0.0
r-zhabinkauski,2031,base,A,-0.0
r-ivanauski,2031,base,A,0.0
r-ivacevicki,2031,base,A,-0.0
r-kamianiecki,2031,base,A,0.0
r-kobrynski,2031,base,A,0.0
r-luniniecki,2031,base,A,-0.0
r-lachavicki,2031,base,A,-0.0
r-malarycki,2031,base,A,0.0
r-pinski,2031,base,A,0.0
r-pruzhanski,2031,base,A,0.0
r-stolinski,2031,base,A,-0.0
r-arshanski,2031,base,A,0.0
r-bieshankovicki,2031,base,A,0.0
r-braslauski,2031,base,A,0.0
r-vierchniadzvinski,2031,base,A,-0.0
r-viciebski,2031,base,A,-0.0
r-haradocki,2031,base,A,-0.0
r-hlybocki,2031,base,A,0.0
r-dokshycki,2031,base,A,0.0
r-dubrovienski,2031,base,A,0.0
r-loznienski,2031,base,A,-0.0
r-lepielski,2031,base,A,0.0
r-mijorski,2031,base,A,0.0
r-pastauski,2031,base,A,0.0
r-polacki,2031,base,A,-0.0
r-rasonski,2031,base,A,-0.0
r-siennienski,2031,base,A,0.0
r-talachynski,2031,base,A,0.0
r-ushacki,2031,base,A,0.0
r-chashnicki,2031,base,A,-0.0
r-sharkoushchynski,2031,base,A,-0.0
r-shumilinski,2031,base,A,-0.0
r-akciabrski,2031,base,A,-0.0
r-brahinski,2031,base,A,-0.0
r-buda-kashalouski,2031,base,A,-0.0
r-vietkauski,2031,base,A,-0.0
r-homielski,2031,base,A,0.0
r-dobrushski,2031,base,A,-0.0
r-jelski,2031,base,A,-0.0
r-zhlobinski,2031,base,A,-0.0
r-zhytkavicki,2031,base,A,0.0
r-kalinkavicki,2031,base,A,0.0
r-karmianski,2031,base,A,0.0
r-lelchycki,2031,base,A,0.0
r-lojeuski,2031,base,A,0.0
r-mazyrski,2031,base,A,0.0
r-naraulanski,2031,base,A,-0.0
r-pietrykauski,2031,base,A,-0.0
r-rahachouski,2031,base,A,-0.0
r-rechycki,2031,base,A,0.0
r-svietlahorski,2031,base,A,-0.0
r-chojnicki,2031,base,A,0.0
r-chacherski,2031,base,A,0.0
r-astraviecki,2031,base,A,0.0
r-ashmianski,2031,base,A,0.0
r-bierastavicki,2031,base,A,0.0
r-vaukavyski,2031,base,A,0.0
r-voranauski,2031,base,A,0.0
r-hrodzienski,2031,base,A,-0.0
r-dziatlauski,2031,base,A,0.0
r-zelvienski,2031,base,A,-0.0
r-iujeuski,2031,base,A,0.0
r-karelicki,2031,base,A,0.0
r-lidski,2031,base,A,0.0
r-mastouski,2031,base,A,-0.0
r-navahrudski,2031,base,A,-0.0
r-svislacki,2031,base,A,-0.0
r-slonimski,2031,base,A,0.0
r-smarhonski,2031,base,A,0.0
r-shchuchynski,2031,base,A,0.0
r-barysauski,2031,base,A,-0.0
r-biarezinski,2031,base,A,0.0
r-valozhynski,2031,base,A,0.0
r-vilejski,2031,base,A,-0.0
r-dziarzhynski,2031,base,A,-0.0
r-kapylski,2031,base,A,-0.0
r-klecki,2031,base,A,0.0
r-krupski,2031,base,A,-0.0
r-lahojski,2031,base,A,0.0
r-lubanski,2031,base,A,0.0
r-maladziechanski,2031,base,A,0.0
