year,rank,city_be,city_lat,pop
1897,1,Мінск,Minsk,90912
1897,2,Віцебск,Viciebsk,65871
1897,3,Гродна,Hrodna,46919
1897,4,Брэст,Brest,46568
1897,5,Магілёў,Mahiloŭ,43119
1897,6,Гомель,Homiel,36775
1897,7,Бабруйск,Babrujsk,34336
1897,8,Пінск,Pinsk,28368
1897,9,Полацк,Połack,20294
1897,10,Слонім,Słonim,15863
1897,11,Барысаў,Barysaŭ,15063
1897,12,Слуцк,Słuck,14349
1897,13,Орша,Orša,13061
1897,14,Кобрын,Kobryn,10408
1897,15,Ваўкавыск,Vaŭkavysk,10323
1897,16,Ліда,Lida,9323
1897,17,Рэчыца,Rečyca,9280
1897,18,Рагачоў,Rahačoŭ,9038
1897,19,Мсціслаў,Mscisłaŭ,8514
1897,20,Нясвіж,Niasviž,8459
1897,21,Мазыр,Mazyr,8076
1897,22,Навагрудак,Navahrudak,7887
1897,23,Пружаны,Pružany,7633
1897,24,Ашмяны,Ašmiany,7214
1897,25,Дзісна,Dzisna,6756
1897,26,Горкі,Horki,6735
1897,27,Быхаў,Bychaŭ,6381
1897,28,Лепель,Lepiel,6284
1897,29,Чэрыкаў,Čerykaŭ,5249
1897,30,Відзы,Vidzy,5104
1897,31,Гарадок,Haradok,5023
1897,32,Чавусы,Čavusy,4960
1897,33,Клімавічы,Klimavičy,4714
1897,34,Чэрвень,Červień,4573
1897,35,Верхнядзвінск,Vierchniadzvinsk,4238
1897,36,Сянно,Sianno,4100
1897,37,Докшыцы,Dokšycy,3642
1897,38,Вілейка,Vilejka,3560
1897,39,Копысь,Kopyś,3384
1897,40,Сураж,Suraž,2731
1897,41,Радашковічы,Radaškovičy,2615
1897,42,Драгічын,Drahičyn,1707
1897,43,Бабінавічы,Babinavičy,1157
1923,1,Мінск,Minsk,106056
1923,2,Віцебск,Viciebsk,86641
1923,3,Гомель,Homiel,75401
1923,4,Магілёў,Mahiloŭ,41622
1923,5,Бабруйск,Babrujsk,33015
1923,6,Орша,Orša,18185
1923,7,Полацк,Połack,17735
1923,8,Барысаў,Barysaŭ,17613
1923,9,Рэчыца,Rečyca,14612
1923,10,Слуцк,Słuck,13666
1923,11,Рагачоў,Rahačoŭ,11234
1923,12,Жлобін,Žłobin,9701
1923,13,Мсціслаў,Mscisłaŭ,8874
1923,14,Мазыр,Mazyr,8290
1923,15,Быхаў,Bychaŭ,7987
1923,16,Горкі,Horki,7829
1923,17,Дуброўна,Dubroŭna,7528
1923,18,Шклоў,Škłoŭ,6617
1923,19,Клімавічы,Klimavičy,6506
1923,20,Гарадок,Haradok,6421
1923,21,Тураў,Turaŭ,6212
1923,22,Крычаў,Kryčaŭ,6199
1923,23,Ветка,Vietka,5974
1923,24,Петрыкаў,Pietrykaŭ,5771
1923,25,Чэрыкаў,Čerykaŭ,5547
1923,26,Чэрвень,Červień,5369
1923,27,Калінкавічы,Kalinkavičy,5182
1923,28,Чавусы,Čavusy,5090
1923,29,Добруш,Dobruš,4595
1923,30,Глуск,Hłusk,4555
1923,31,Сянно,Sianno,4239
1923,32,Хойнікі,Chojniki,4220
1923,33,Лоеў,Łojeŭ,4173
1923,34,Лепель,Lepiel,4143
1923,35,Брагін,Brahin,3992
1923,36,Парычы,Paryčy,3932
1923,37,Капыль,Kapyl,3563
1923,38,Асіповічы,Asipovičy,3550
1923,39,Талачын,Tałačyn,3384
1923,40,Копысь,Kopyś,3382
1923,41,Смалявічы,Smalavičy,3333
1923,42,Касцюковічы,Kasciukovičy,3206
1923,43,Смілавічы,Smiłavičy,3003
1923,44,Верхнядзвінск,Vierchniadzvinsk,2785
1923,45,Хоцімск,Chocimsk,2690
1923,46,Краснаполле,Krasnapolle,2640
1923,47,Нароўля,Naroŭla,2550
1923,48,Лёзна,Lozna,2544
1923,49,Бобр,Bobr,2508
1923,50,Старобін,Starobin,2506
1923,51,Стрэшын,Strešyn,2485
1923,52,Капаткевічы,Kapatkievičy,2437
1923,53,Чашнікі,Čašniki,2430
1923,54,Жыткавічы,Žytkavičy,2421
1923,55,Узда,Uzda,2374
1923,56,Сураж,Suraž,2328
1923,57,Беразіно,Bierazino,2270
1923,58,Бялынічы,Białyničy,2209
1923,59,Янавічы,Janavičy,2203
1923,60,Бешанковічы,Biešankovičy,2162
1923,61,Халапенічы,Chałapieničy,2109
1923,62,Ула,Uła,1965
1923,63,Старыя Дарогі,Staryja Darohi,1854
1923,64,Чачэрск,Čačersk,1766
1923,65,Асвея,Asvieja,1715
1923,66,Свіслач,Svisłač,1664
1923,67,Карма,Karma,1480
1923,68,Любань,Lubań,1468
1923,69,Крупкі,Krupki,1417
1923,70,Заслаўе,Zasłaŭje,1342
1923,71,Коханава,Kochanava,1253
1923,72,Ушачы,Ušačy,1239
1923,73,Бабінавічы,Babinavičy,1222
1923,74,Азарычы,Azaryčy,1166
1923,75,Плешчаніцы,Pleščanicy,1072
1923,76,Урэчча,Urečča,884
1923,77,Багушэўск,Bahušeŭsk,847
1923,78,Шуміліна,Šumilina,840
1926,1,Мінск,Minsk,123613
1926,2,Віцебск,Viciebsk,91201
1926,3,Гомель,Homiel,82952
1926,4,Магілёў,Mahiloŭ,46562
1926,5,Бабруйск,Babrujsk,39280
1926,6,Барысаў,Barysaŭ,23954
1926,7,Полацк,Połack,21455
1926,8,Орша,Orša,21311
1926,9,Рэчыца,Rečyca,16487
1926,10,Слуцк,Słuck,14299
1926,11,Жлобін,Žłobin,10718
1926,12,Рагачоў,Rahačoŭ,10332
1926,13,Мазыр,Mazyr,9535
1926,14,Горкі,Horki,8527
1926,15,Шклоў,Škłoŭ,8294
1926,16,Мсціслаў,Mscisłaŭ,8085
1926,17,Дуброўна,Dubroŭna,7923
1926,18,Клімавічы,Klimavičy,7590
1926,19,Быхаў,Bychaŭ,7257
1926,20,Крычаў,Kryčaŭ,6364
1926,21,Калінкавічы,Kalinkavičy,6103
1926,22,Ветка,Vietka,5925
1926,23,Добруш,Dobruš,5915
1926,24,Петрыкаў,Pietrykaŭ,5819
1926,25,Гарадок,Haradok,5516
1926,26,Тураў,Turaŭ,5363
1926,27,Чавусы,Čavusy,5097
1926,28,Чэрыкаў,Čerykaŭ,4947
1926,29,Брагін,Brahin,4882
1926,30,Лепель,Lepiel,4800
1926,31,Хойнікі,Chojniki,4761
1926,32,Чэрвень,Červień,4546
1926,33,Глуск,Hłusk,4413
1926,34,Лоеў,Łojeŭ,4112
1926,35,Асіповічы,Asipovičy,4007
1926,36,Капыль,Kapyl,3927
1926,37,Чачэрск,Čačersk,3685
1926,38,Талачын,Tałačyn,3604
1926,39,Копысь,Kopyś,3581
1926,40,Парычы,Paryčy,3548
1926,41,Сянно,Sianno,3448
1926,42,Касцюковічы,Kasciukovičy,3238
1926,43,Смілавічы,Smiłavičy,3173
1926,44,Смалявічы,Smalavičy,3120
1926,45,Беразіно,Bierazino,2969
1926,46,Хоцімск,Chocimsk,2897
1926,47,Жыткавічы,Žytkavičy,2881
1926,48,Чашнікі,Čašniki,2865
1926,49,Бешанковічы,Biešankovičy,2693
1926,50,Старобін,Starobin,2640
1926,51,Капаткевічы,Kapatkievičy,2613
1926,52,Лёзна,Lozna,2595
1926,53,Краснаполле,Krasnapolle,2551
1926,54,Нароўля,Naroŭla,2518
1926,55,Узда,Uzda,2490
1926,56,Бобр,Bobr,2479
1926,57,Бялынічы,Białyničy,2425
1926,58,Верхнядзвінск,Vierchniadzvinsk,2247
1926,59,Стрэшын,Strešyn,2225
1926,60,Ула,Uła,2187
1926,61,Янавічы,Janavičy,2162
1926,62,Любань,Lubań,2160
1926,63,Сураж,Suraž,2112
1926,64,Крупкі,Krupki,2078
1926,65,Урэчча,Urečča,2053
1926,66,Халапенічы,Chałapieničy,2031
1926,67,Свіслач,Svisłač,1830
1926,68,Асвея,Asvieja,1799
1926,69,Старыя Дарогі,Staryja Darohi,1771
1926,70,Карма,Karma,1748
1926,71,Азарычы,Azaryčy,1667
1926,72,Заслаўе,Zasłaŭje,1478
1926,73,Плешчаніцы,Pleščanicy,1444
1926,74,Ушачы,Ušačy,1251
1926,75,Коханава,Kochanava,1248
1926,76,Багушэўск,Bahušeŭsk,1177
