territory_id,year,low,mid,high
BY,2020,0,0,0
BY-BR,2020,0,0,0
BY-HM,2020,0,0,0
BY-HO,2020,0,0,0
BY-HR,2020,0,0,0
BY-MA,2020,0,0,0
BY-MI,2020,0,0,0
BY-VI,2020,0,0,0
BY,2021,7131,10798,16635
BY-BR,2021,491,743,1145
BY-HM,2021,4421,6695,10314
BY-HO,2021,617,935,1440
BY-HR,2021,452,685,1055
BY-MA,2021,451,683,1053
BY-MI,2021,226,342,527
BY-VI,2021,472,715,1102
BY,2022,57051,86386,133083
BY-BR,2022,3927,5946,9161
BY-HM,2022,35372,53559,82511
BY-HO,2022,4938,7477,11519
BY-HR,2022,3619,5480,8442
BY-MA,2022,3610,5467,8422
BY-MI,2022,1806,2735,4213
BY-VI,2022,3779,5722,8815
BY,2023,155108,234861,361818
BY-BR,2023,10677,16167,24906
BY-HM,2023,96167,145614,224327
BY-HO,2023,13425,20328,31317
BY-HR,2023,9839,14899,22952
BY-MA,2023,9815,14862,22896
BY-MI,2023,4910,7435,11454
BY-VI,2023,10274,15556,23965
BY,2024,169371,256457,395089
BY-BR,2024,11659,17654,27196
BY-HM,2024,105010,159003,244955
BY-HO,2024,14660,22198,34197
BY-HR,2024,10744,16269,25063
BY-MA,2024,10718,16229,25001
BY-MI,2024,5362,8119,12508
BY-VI,2024,11218,16986,26169
BY,2025,174719,264556,407565
BY-BR,2025,12027,18211,28055
BY-HM,2025,108326,164025,252691
BY-HO,2025,15123,22899,35277
BY-HR,2025,11083,16782,25854
BY-MA,2025,11056,16741,25791
BY-MI,2025,5531,8375,12903
BY-VI,2025,11573,17523,26995
BY,2026,178285,269955,415883
BY-BR,2026,12272,18583,28628
BY-HM,2026,110537,167372,257847
BY-HO,2026,15432,23366,35997
BY-HR,2026,11310,17125,26382
BY-MA,2026,11282,17083,26317
BY-MI,2026,5644,8546,13166
BY-VI,2026,11809,17880,27546
