territory_id,oblast,year,age_group,sex,locality,pop
BY-BR,BY-BR,2019,0-4,f,rural,10298
BY-BR,BY-BR,2019,0-4,f,urban,29791
BY-BR,BY-BR,2019,0-4,m,rural,11203
BY-BR,BY-BR,2019,0-4,m,urban,31521
BY-BR,BY-BR,2019,5-9,f,rural,10855
BY-BR,BY-BR,2019,5-9,f,urban,31336
BY-BR,BY-BR,2019,5-9,m,rural,11674
BY-BR,BY-BR,2019,5-9,m,urban,32944
BY-BR,BY-BR,2019,10-14,f,rural,11346
BY-BR,BY-BR,2019,10-14,f,urban,27912
BY-BR,BY-BR,2019,10-14,m,rural,12215
BY-BR,BY-BR,2019,10-14,m,urban,29173
BY-BR,BY-BR,2019,15-19,f,rural,7147
BY-BR,BY-BR,2019,15-19,f,urban,23537
BY-BR,BY-BR,2019,15-19,m,rural,8084
BY-BR,BY-BR,2019,15-19,m,urban,25321
BY-BR,BY-BR,2019,20-24,f,rural,7235
BY-BR,BY-BR,2019,20-24,f,urban,21053
BY-BR,BY-BR,2019,20-24,m,rural,8612
BY-BR,BY-BR,2019,20-24,m,urban,21785
BY-BR,BY-BR,2019,25-29,f,rural,8591
BY-BR,BY-BR,2019,25-29,f,urban,33385
BY-BR,BY-BR,2019,25-29,m,rural,10496
BY-BR,BY-BR,2019,25-29,m,urban,29992
BY-BR,BY-BR,2019,30-34,f,rural,10605
BY-BR,BY-BR,2019,30-34,f,urban,41075
BY-BR,BY-BR,2019,30-34,m,rural,11554
BY-BR,BY-BR,2019,30-34,m,urban,39322
BY-BR,BY-BR,2019,35-39,f,rural,11689
BY-BR,BY-BR,2019,35-39,f,urban,40973
BY-BR,BY-BR,2019,35-39,m,rural,12143
BY-BR,BY-BR,2019,35-39,m,urban,36866
BY-BR,BY-BR,2019,40-44,f,rural,13356
BY-BR,BY-BR,2019,40-44,f,urban,36517
BY-BR,BY-BR,2019,40-44,m,rural,13399
BY-BR,BY-BR,2019,40-44,m,urban,32993
BY-BR,BY-BR,2019,45-49,f,rural,14543
BY-BR,BY-BR,2019,45-49,f,urban,35887
BY-BR,BY-BR,2019,45-49,m,rural,15183
BY-BR,BY-BR,2019,45-49,m,urban,29276
BY-BR,BY-BR,2019,50-54,f,rural,14812
BY-BR,BY-BR,2019,50-54,f,urban,33653
BY-BR,BY-BR,2019,50-54,m,rural,15611
BY-BR,BY-BR,2019,50-54,m,urban,27611
BY-BR,BY-BR,2019,55-59,f,rural,16354
BY-BR,BY-BR,2019,55-59,f,urban,36874
BY-BR,BY-BR,2019,55-59,m,rural,16590
BY-BR,BY-BR,2019,55-59,m,urban,28516
BY-BR,BY-BR,2019,60-64,f,rural,16828
BY-BR,BY-BR,2019,60-64,f,urban,38266
BY-BR,BY-BR,2019,60-64,m,rural,15394
BY-BR,BY-BR,2019,60-64,m,urban,27396
BY-BR,BY-BR,2019,65-69,f,rural,13517
BY-BR,BY-BR,2019,65-69,f,urban,30021
BY-BR,BY-BR,2019,65-69,m,rural,10212
BY-BR,BY-BR,2019,65-69,m,urban,19011
BY-BR,BY-BR,2019,70-74,f,rural,11099
BY-BR,BY-BR,2019,70-74,f,urban,21369
BY-BR,BY-BR,2019,70-74,m,rural,6767
BY-BR,BY-BR,2019,70-74,m,urban,11870
BY-BR,BY-BR,2019,75-79,f,rural,10839
BY-BR,BY-BR,2019,75-79,f,urban,12569
BY-BR,BY-BR,2019,75-79,m,rural,4757
BY-BR,BY-BR,2019,75-79,m,urban,6054
BY-BR,BY-BR,2019,80 и старше,f,rural,20666
BY-BR,BY-BR,2019,Возраст не определен,f,rural,0
BY-BR,BY-BR,2019,80 и старше,f,urban,18581
BY-BR,BY-BR,2019,Возраст не определен,f,urban,0
BY-BR,BY-BR,2019,80 и старше,m,rural,6081
BY-BR,BY-BR,2019,Возраст не определен,m,rural,0
BY-BR,BY-BR,2019,80 и старше,m,urban,5910
BY-BR,BY-BR,2019,Возраст не определен,m,urban,0
c-baranavichy,BY-BR,2019,0-4,f,urban,4945
