year,territory_id,age_group,sex,locality,pop
2019,BY,0-4,f,rural,53608
2019,BY,0-4,f,total,267150
2019,BY,0-4,f,urban,213542
2019,BY,0-4,m,rural,57574
2019,BY,0-4,m,total,282997
2019,BY,0-4,m,urban,225423
2019,BY,0-4,t,rural,111182
2019,BY,0-4,t,total,550147
2019,BY,0-4,t,urban,438965
2019,BY,10-14,f,rural,52971
2019,BY,10-14,f,total,240050
2019,BY,10-14,f,urban,187079
2019,BY,10-14,m,rural,55704
2019,BY,10-14,m,total,252260
2019,BY,10-14,m,urban,196556
2019,BY,10-14,t,rural,108675
2019,BY,10-14,t,total,492310
2019,BY,10-14,t,urban,383635
2019,BY,15-19,f,rural,38886
2019,BY,15-19,f,total,219110
2019,BY,15-19,f,urban,180224
2019,BY,15-19,m,rural,41966
2019,BY,15-19,m,total,232838
2019,BY,15-19,m,urban,190872
2019,BY,15-19,t,rural,80852
2019,BY,15-19,t,total,451948
2019,BY,15-19,t,urban,371096
2019,BY,20-24,f,rural,39622
2019,BY,20-24,f,total,226882
2019,BY,20-24,f,urban,187260
2019,BY,20-24,m,rural,45642
2019,BY,20-24,m,total,234396
2019,BY,20-24,m,urban,188754
2019,BY,20-24,t,rural,85264
2019,BY,20-24,t,total,461278
2019,BY,20-24,t,urban,376014
2019,BY,25-29,f,rural,54062
2019,BY,25-29,f,total,326477
2019,BY,25-29,f,urban,272415
2019,BY,25-29,m,rural,61544
2019,BY,25-29,m,total,321887
2019,BY,25-29,m,urban,260343
2019,BY,25-29,t,rural,115606
2019,BY,25-29,t,total,648364
2019,BY,25-29,t,urban,532758
2019,BY,30-34,f,rural,65211
2019,BY,30-34,f,total,397579
2019,BY,30-34,f,urban,332368
2019,BY,30-34,m,rural,72646
2019,BY,30-34,m,total,391048
2019,BY,30-34,m,urban,318402
2019,BY,30-34,t,rural,137857
2019,BY,30-34,t,total,788627
2019,BY,30-34,t,urban,650770
2019,BY,35-39,f,rural,64570
2019,BY,35-39,f,total,374556
2019,BY,35-39,f,urban,309986
2019,BY,35-39,m,rural,69831
2019,BY,35-39,m,total,360877
2019,BY,35-39,m,urban,291046
2019,BY,35-39,t,rural,134401
2019,BY,35-39,t,total,735433
2019,BY,35-39,t,urban,601032
2019,BY,40-44,f,rural,68657
2019,BY,40-44,f,total,343777
2019,BY,40-44,f,urban,275120
2019,BY,40-44,m,rural,70765
2019,BY,40-44,m,total,321706
2019,BY,40-44,m,urban,250941
2019,BY,40-44,t,rural,139422
2019,BY,40-44,t,total,665483
2019,BY,40-44,t,urban,526061
2019,BY,45-49,f,rural,76300
2019,BY,45-49,f,total,336416
2019,BY,45-49,f,urban,260116
2019,BY,45-49,m,rural,78943
2019,BY,45-49,m,total,301317
2019,BY,45-49,m,urban,222374
2019,BY,45-49,t,rural,155243
2019,BY,45-49,t,total,637733
2019,BY,45-49,t,urban,482490
2019,BY,5-9,f,rural,53868
2019,BY,5-9,f,total,269696
2019,BY,5-9,f,urban,215828
2019,BY,5-9,m,rural,56980
2019,BY,5-9,m,total,284187
2019,BY,5-9,m,urban,227207
2019,BY,5-9,t,rural,110848
2019,BY,5-9,t,total,553883
2019,BY,5-9,t,urban,443035
2019,BY,50-54,f,rural,81643
2019,BY,50-54,f,total,340754
2019,BY,50-54,f,urban,259111
2019,BY,50-54,m,rural,85269
2019,BY,50-54,m,total,294988
2019,BY,50-54,m,urban,209719
2019,BY,50-54,t,rural,166912
