territory_id,oblast,median2009,median2019,share65_2009,share65_2019,depRatio2019,yearsTo30,naturalCagr
BY-BR,BY-BR,38.6,40.7,14.5,15.5,51.7,,-0.31
c-baranavichy,BY-BR,37.6,40.8,12.0,14.7,47.2,,-0.24
c-brest,BY-BR,35.2,37.2,9.4,12.5,46.9,,-0.0
c-pinsk,BY-BR,35.9,37.9,9.5,11.9,44.4,,0.05
r-baranavicki,BY-BR,44.1,48.1,21.1,21.7,61.1,,-0.92
r-biarozauski,BY-BR,40.7,44.0,16.0,18.0,57.1,,-0.6
r-brescki,BY-BR,38.6,40.3,15.1,14.7,54.6,,-0.33
r-drahichynski,BY-BR,42.7,45.5,21.5,19.9,59.7,,-0.68
r-hancavicki,BY-BR,40.6,44.9,15.8,18.4,56.4,,-0.66
r-ivacevicki,BY-BR,40.4,44.3,16.9,17.5,50.5,,-0.68
r-ivanauski,BY-BR,41.7,43.8,19.5,18.3,59.1,,-0.55
r-kamianiecki,BY-BR,41.3,43.0,18.4,16.9,55.0,,-0.49
r-kobrynski,BY-BR,39.1,40.7,15.0,15.4,54.6,,-0.3
r-lachavicki,BY-BR,42.7,47.1,20.2,20.1,56.8,,-0.79
r-luniniecki,BY-BR,38.8,43.2,14.3,16.6,54.3,,-0.53
r-malarycki,BY-BR,39.7,41.5,16.9,16.0,54.9,,-0.41
r-pinski,BY-BR,45.2,46.6,23.7,22.1,64.6,,-0.83
r-pruzhanski,BY-BR,43.9,46.5,20.8,20.0,57.6,,-0.8
r-stolinski,BY-BR,37.7,40.6,17.1,17.2,61.6,,-0.31
r-zhabinkauski,BY-BR,39.4,42.1,16.6,16.8,53.2,,-0.42
BY-HM,BY-HM,35.6,37.8,10.9,14.0,42.9,35,-0.56
BY-HO,BY-HO,38.9,40.7,14.4,15.1,48.6,,-0.41
c-homiel,BY-HO,37.2,39.8,11.6,14.7,44.6,,-0.33
r-akciabrski,BY-HO,43.3,45.5,17.8,17.9,53.5,,-0.74
r-brahinski,BY-HO,38.9,39.7,20.0,15.1,53.9,,-0.27
r-buda-kashalouski,BY-HO,41.0,42.7,18.9,15.8,49.5,,-0.55
