year,oblast,age_group,asfr,tfr
1969,BY-BR,15-19,23.6,2.486
1969,BY-BR,20-24,187.2,2.486
1969,BY-BR,25-29,144.1,2.486
1969,BY-BR,30-34,85.9,2.486
1969,BY-BR,35-39,42.5,2.486
1969,BY-BR,40-44,12.3,2.486
1969,BY-BR,45-49,1.6,2.486
1975,BY-BR,15-19,29.2,2.437
1975,BY-BR,20-24,198.0,2.437
1975,BY-BR,25-29,142.2,2.437
1975,BY-BR,30-34,74.8,2.437
1975,BY-BR,35-39,34.2,2.437
1975,BY-BR,40-44,8.4,2.437
1975,BY-BR,45-49,0.5,2.437
1978,BY-BR,15-19,33.5,2.289
1978,BY-BR,20-24,199.3,2.289
1978,BY-BR,25-29,127.6,2.289
1978,BY-BR,30-34,63.8,2.289
1978,BY-BR,35-39,26.1,2.289
1978,BY-BR,40-44,7.0,2.289
1978,BY-BR,45-49,0.5,2.289
1980,BY-BR,15-19,33.8,2.268
1980,BY-BR,20-24,209.8,2.268
1980,BY-BR,25-29,123.6,2.268
1980,BY-BR,30-34,57.4,2.268
1980,BY-BR,35-39,22.1,2.268
1980,BY-BR,40-44,6.6,2.268
1980,BY-BR,45-49,0.4,2.268
1982,BY-BR,15-19,31.7,2.281
1982,BY-BR,20-24,210.5,2.281
1982,BY-BR,25-29,130.2,2.281
1982,BY-BR,30-34,56.5,2.281
1982,BY-BR,35-39,22.0,2.281
1982,BY-BR,40-44,5.0,2.281
1982,BY-BR,45-49,0.4,2.281
1984,BY-BR,15-19,34.0,2.325
1984,BY-BR,20-24,212.5,2.325
1984,BY-BR,25-29,135.2,2.325
1984,BY-BR,30-34,56.7,2.325
1984,BY-BR,35-39,22.0,2.325
1984,BY-BR,40-44,4.5,2.325
1984,BY-BR,45-49,0.2,2.325
1985,BY-BR,15-19,33.4,2.341
1985,BY-BR,20-24,209.4,2.341
1985,BY-BR,25-29,140.1,2.341
1985,BY-BR,30-34,58.5,2.341
1985,BY-BR,35-39,21.7,2.341
1985,BY-BR,40-44,4.9,2.341
1985,BY-BR,45-49,0.3,2.341
1986,BY-BR,15-19,34.4,2.316
1986,BY-BR,20-24,201.6,2.316
1986,BY-BR,25-29,140.8,2.316
1986,BY-BR,30-34,58.2,2.316
1986,BY-BR,35-39,22.3,2.316
1986,BY-BR,40-44,5.5,2.316
1986,BY-BR,45-49,0.3,2.316
1988,BY-BR,15-19,34.5,2.227
1988,BY-BR,20-24,199.7,2.227
1988,BY-BR,25-29,131.4,2.227
1988,BY-BR,30-34,55.0,2.227
1988,BY-BR,35-39,20.2,2.227
1988,BY-BR,40-44,4.4,2.227
1988,BY-BR,45-49,0.2,2.227
1989,BY-BR,15-19,39.9,2.203
1989,BY-BR,20-24,213.3,2.203
1989,BY-BR,25-29,116.2,2.203
1989,BY-BR,30-34,49.9,2.203
1989,BY-BR,35-39,16.9,2.203
1989,BY-BR,40-44,4.1,2.203
1989,BY-BR,45-49,0.3,2.203
1990,BY-BR,15-19,45.1,2.112
1990,BY-BR,20-24,208.0,2.112
1990,BY-BR,25-29,105.3,2.112
1990,BY-BR,30-34,44.8,2.112
1990,BY-BR,35-39,15.6,2.112
1990,BY-BR,40-44,3.5,2.112
1990,BY-BR,45-49,0.2,2.112
1995,BY-BR,15-19,43.5,1.604
1995,BY-BR,20-24,150.0,1.604
1995,BY-BR,25-29,83.2,1.604
1995,BY-BR,30-34,30.7,1.604
1995,BY-BR,35-39,10.6,1.604
1995,BY-BR,40-44,2.6,1.604
1995,BY-BR,45-49,0.2,1.604
1996,BY-BR,15-19,44.1,1.548
1996,BY-BR,20-24,141.1,1.548
1996,BY-BR,25-29,81.2,1.548
1996,BY-BR,30-34,30.1,1.548
1996,BY-BR,35-39,10.7,1.548
1996,BY-BR,40-44,2.2,1.548
1996,BY-BR,45-49,0.2,1.548
1997,BY-BR,15-19,41.0,1.45
1997,BY-BR,20-24,127.6,1.45
1997,BY-BR,25-29,76.8,1.45
1997,BY-BR,30-34,31.9,1.45
1997,BY-BR,35-39,10.3,1.45
1997,BY-BR,40-44,2.3,1.45
1997,BY-BR,45-49,0.1,1.45
1998,BY-BR,15-19,37.2,1.499
1998,BY-BR,20-24,132.3,1.499
1998,BY-BR,25-29,81.4,1.499
1998,BY-BR,30-34,34.6,1.499
1998,BY-BR,35-39,11.9,1.499
1998,BY-BR,40-44,2.3,1.499
1998,BY-BR,45-49,0.1,1.499
1999,BY-BR,15-19,36.5,1.535
1999,BY-BR,20-24,136.7,1.535
1999,BY-BR,25-29,83.2,1.535
1999,BY-BR,30-34,36.9,1.535
1999,BY-BR,35-39,11.5,1.535
1999,BY-BR,40-44,2.1,1.535
1999,BY-BR,45-49,0.1,1.535
2000,BY-BR,15-19,31.8,1.53
2000,BY-BR,20-24,135.7,1.53
2000,BY-BR,25-29,85.1,1.53
2000,BY-BR,30-34,39.1,1.53
2000,BY-BR,35-39,12.1,1.53
2000,BY-BR,40-44,2.2,1.53
2000,BY-BR,45-49,0.1,1.53
2005,BY-BR,15-19,26.9,1.452
2005,BY-BR,20-24,114.2,1.452
2005,BY-BR,25-29,86.6,1.452
2005,BY-BR,30-34,44.1,1.452
2005,BY-BR,35-39,16.0,1.452
2005,BY-BR,40-44,2.4,1.452
2005,BY-BR,45-49,0.2,1.452
2006,BY-BR,15-19,26.5,1.538
2006,BY-BR,20-24,120.5,1.538
2006,BY-BR,25-29,92.4,1.538
2006,BY-BR,30-34,48.6,1.538
2006,BY-BR,35-39,16.8,1.538
2006,BY-BR,40-44,2.6,1.538
2006,BY-BR,45-49,0.1,1.538
2007,BY-BR,15-19,27.0,1.667
2007,BY-BR,20-24,122.8,1.667
2007,BY-BR,25-29,104.0,1.667
2007,BY-BR,30-34,55.2,1.667
2007,BY-BR,35-39,21.1,1.667
2007,BY-BR,40-44,3.2,1.667
2007,BY-BR,45-49,0.1,1.667
2008,BY-BR,15-19,25.5,1.719
2008,BY-BR,20-24,124.3,1.719
2008,BY-BR,25-29,107.4,1.719
2008,BY-BR,30-34,61.4,1.719
2008,BY-BR,35-39,21.9,1.719
2008,BY-BR,40-44,3.2,1.719
2008,BY-BR,45-49,0.1,1.719
2009,BY-BR,15-19,25.8,1.726
2009,BY-BR,20-24,120.8,1.726
2009,BY-BR,25-29,110.3,1.726
2009,BY-BR,30-34,60.9,1.726
2009,BY-BR,35-39,23.0,1.726
2009,BY-BR,40-44,4.3,1.726
2009,BY-BR,45-49,0.1,1.726
2010,BY-BR,15-19,25.1,1.731
2010,BY-BR,20-24,115.7,1.731
2010,BY-BR,25-29,112.3,1.731
2010,BY-BR,30-34,65.1,1.731
2010,BY-BR,35-39,23.9,1.731
2010,BY-BR,40-44,4.0,1.731
2010,BY-BR,45-49,0.1,1.731
2011,BY-BR,15-19,25.5,1.811
2011,BY-BR,20-24,117.6,1.811
2011,BY-BR,25-29,118.9,1.811
2011,BY-BR,30-34,70.3,1.811
2011,BY-BR,35-39,24.7,1.811
2011,BY-BR,40-44,5.1,1.811
2011,BY-BR,45-49,0.1,1.811
2012,BY-BR,15-19,25.4,1.899
2012,BY-BR,20-24,127.2,1.899
2012,BY-BR,25-29,124.4,1.899
2012,BY-BR,30-34,73.1,1.899
2012,BY-BR,35-39,26.0,1.899
2012,BY-BR,40-44,3.5,1.899
2012,BY-BR,45-49,0.2,1.899
2013,BY-BR,15-19,25.3,1.938
2013,BY-BR,20-24,123.9,1.938
2013,BY-BR,25-29,126.8,1.938
2013,BY-BR,30-34,76.7,1.938
2013,BY-BR,35-39,29.3,1.938
2013,BY-BR,40-44,5.5,1.938
2013,BY-BR,45-49,0.2,1.938
2014,BY-BR,15-19,22.5,1.996
2014,BY-BR,20-24,125.8,1.996
2014,BY-BR,25-29,133.1,1.996
2014,BY-BR,30-34,79.6,1.996
2014,BY-BR,35-39,31.9,1.996
2014,BY-BR,40-44,6.1,1.996
2014,BY-BR,45-49,0.2,1.996
2015,BY-BR,15-19,20.7,2.056
2015,BY-BR,20-24,123.6,2.056
2015,BY-BR,25-29,135.0,2.056
2015,BY-BR,30-34,90.0,2.056
2015,BY-BR,35-39,35.8,2.056
2015,BY-BR,40-44,5.9,2.056
2015,BY-BR,45-49,0.2,2.056
2016,BY-BR,15-19,18.5,2.102
2016,BY-BR,20-24,125.1,2.102
2016,BY-BR,25-29,139.2,2.102
2016,BY-BR,30-34,93.4,2.102
2016,BY-BR,35-39,38.2,2.102
2016,BY-BR,40-44,5.9,2.102
2016,BY-BR,45-49,0.2,2.102
2017,BY-BR,15-19,15.8,1.89
2017,BY-BR,20-24,108.5,1.89
2017,BY-BR,25-29,128.4,1.89
2017,BY-BR,30-34,82.0,1.89
2017,BY-BR,35-39,36.1,1.89
2017,BY-BR,40-44,7.1,1.89
2017,BY-BR,45-49,0.1,1.89
2018,BY-BR,15-19,14.1,1.796
2018,BY-BR,20-24,99.2,1.796
2018,BY-BR,25-29,121.4,1.796
2018,BY-BR,30-34,81.0,1.796
2018,BY-BR,35-39,36.3,1.796
2018,BY-BR,40-44,7.0,1.796
2018,BY-BR,45-49,0.3,1.796
1969,BY-HM,15-19,15.3,1.705
1969,BY-HM,20-24,113.4,1.705
1969,BY-HM,25-29,106.9,1.705
1969,BY-HM,30-34,69.1,1.705
1969,BY-HM,35-39,28.7,1.705
1969,BY-HM,40-44,6.9,1.705
1969,BY-HM,45-49,0.6,1.705
1975,BY-HM,15-19,23.9,1.603
1975,BY-HM,20-24,120.2,1.603
1975,BY-HM,25-29,95.6,1.603
1975,BY-HM,30-34,54.6,1.603
1975,BY-HM,35-39,21.6,1.603
1975,BY-HM,40-44,4.3,1.603
