territory_id,scenario,jumpoff,year,pop,q10,q90
BY,base,official,2026,9056080,9011737,9101809
BY,base,official,2031,8752714,8600409,8896074
BY,base,official,2036,8441403,8186019,8694278
BY,base,official,2041,8137560,7779608,8501383
BY,base,official,2046,7835856,7369008,8290141
BY,base,official,2051,7528557,6988269,8089413
BY,base,official,2056,7204271,6561636,7840163
BY,base,official,2061,6865982,6152945,7579953
BY,base,official,2066,6529633,5739359,7354487
BY,base,official,2071,6203097,5346719,7142892
BY,base,official,2075,5969883,5039174,6985592
BY,negative,official,2026,9056080,,
BY,negative,official,2031,8513308,,
BY,negative,official,2036,7948741,,
BY,negative,official,2041,7456196,,
BY,negative,official,2046,6968488,,
BY,negative,official,2051,6476707,,
BY,negative,official,2056,6021051,,
BY,negative,official,2061,5557337,,
BY,negative,official,2066,5095032,,
BY,negative,official,2071,4652443,,
BY,negative,official,2075,4334254,,
BY,optimistic,official,2026,9056080,,
BY,optimistic,official,2031,8763707,,
BY,optimistic,official,2036,8488387,,
BY,optimistic,official,2041,8292800,,
BY,optimistic,official,2046,8121791,,
BY,optimistic,official,2051,7953741,,
BY,optimistic,official,2056,7774723,,
BY,optimistic,official,2061,7578788,,
BY,optimistic,official,2066,7385105,,
BY,optimistic,official,2071,7211606,,
BY,optimistic,official,2075,7105875,,
BY-BR,base,official,2026,1290628,1284308,1297145
BY-BR,base,official,2031,1240031,1218453,1260341
BY-BR,base,official,2036,1189760,1153765,1225401
BY-BR,base,official,2041,1142692,1092427,1193780
BY-BR,base,official,2046,1097844,1032436,1161491
BY-BR,base,official,2051,1051592,976125,1129933
BY-BR,base,official,2056,1002846,913390,1091363
BY-BR,base,official,2061,953709,854666,1052882
BY-BR,base,official,2066,906995,797222,1021571
BY-BR,base,official,2071,864164,744861,995089
BY-BR,base,official,2075,834135,704093,976054
BY-BR,negative,official,2026,1290628,,
BY-BR,negative,official,2031,1215221,,
BY-BR,negative,official,2036,1137355,,
BY-BR,negative,official,2041,1064611,,
BY-BR,negative,official,2046,993630,,
BY-BR,negative,official,2051,921434,,
BY-BR,negative,official,2056,849830,,
BY-BR,negative,official,2061,777944,,
BY-BR,negative,official,2066,708242,,
BY-BR,negative,official,2071,643057,,
BY-BR,negative,official,2075,596041,,
BY-BR,optimistic,official,2026,1290628,,
BY-BR,optimistic,official,2031,1244739,,
BY-BR,optimistic,official,2036,1203537,,
BY-BR,optimistic,official,2041,1172419,,
BY-BR,optimistic,official,2046,1147188,,
BY-BR,optimistic,official,2051,1122727,,
BY-BR,optimistic,official,2056,1095951,,
BY-BR,optimistic,official,2061,1068836,,
BY-BR,optimistic,official,2066,1045821,,
BY-BR,optimistic,official,2071,1029289,,
BY-BR,optimistic,official,2075,1021944,,
BY-HM,base,official,2026,1995091,1985322,2005165
BY-HM,base,official,2031,2024010,1988790,2057161
BY-HM,base,official,2036,2041855,1980081,2103022
BY-HM,base,official,2041,2052156,1961887,2143906
BY-HM,base,official,2046,2051977,1929723,2170941
BY-HM,base,official,2051,2044033,1897342,2196307
