year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-BR,BY-BR,0-4,1038
2009,BY-BR,BY-BR,10-14,845
2009,BY-BR,BY-BR,15-19,11499
2009,BY-BR,BY-BR,20-24,7581
2009,BY-BR,BY-BR,25-29,3582
2009,BY-BR,BY-BR,30-34,2014
2009,BY-BR,BY-BR,35-39,1347
2009,BY-BR,BY-BR,40-44,921
2009,BY-BR,BY-BR,45-49,865
2009,BY-BR,BY-BR,5-9,1132
2009,BY-BR,BY-BR,50-54,685
2009,BY-BR,BY-BR,55-59,492
2009,BY-BR,BY-BR,60-64,415
2009,BY-BR,BY-BR,65-69,241
2009,BY-BR,BY-BR,70-74,292
2009,BY-BR,BY-BR,75-79,355
2009,BY-BR,BY-BR,80 и старше,551
2009,BY-BR,BY-BR,Возраст не определен,1
2009,BY-BR,BY-HM,0-4,160
2009,BY-BR,BY-HM,10-14,166
2009,BY-BR,BY-HM,15-19,5232
2009,BY-BR,BY-HM,20-24,5441
2009,BY-BR,BY-HM,25-29,925
2009,BY-BR,BY-HM,30-34,406
2009,BY-BR,BY-HM,35-39,250
2009,BY-BR,BY-HM,40-44,155
2009,BY-BR,BY-HM,45-49,105
2009,BY-BR,BY-HM,5-9,165
2009,BY-BR,BY-HM,50-54,100
2009,BY-BR,BY-HM,55-59,76
2009,BY-BR,BY-HM,60-64,66
2009,BY-BR,BY-HM,65-69,36
2009,BY-BR,BY-HM,70-74,44
2009,BY-BR,BY-HM,75-79,48
2009,BY-BR,BY-HM,80 и старше,95
2009,BY-BR,BY-HM,Возраст не определен,1
2009,BY-BR,BY-HO,0-4,42
2009,BY-BR,BY-HO,10-14,45
2009,BY-BR,BY-HO,15-19,1020
2009,BY-BR,BY-HO,20-24,1163
2009,BY-BR,BY-HO,25-29,266
2009,BY-BR,BY-HO,30-34,126
2009,BY-BR,BY-HO,35-39,127
2009,BY-BR,BY-HO,40-44,82
2009,BY-BR,BY-HO,45-49,75
2009,BY-BR,BY-HO,5-9,53
2009,BY-BR,BY-HO,50-54,53
2009,BY-BR,BY-HO,55-59,30
2009,BY-BR,BY-HO,60-64,18
2009,BY-BR,BY-HO,65-69,8
2009,BY-BR,BY-HO,70-74,17
2009,BY-BR,BY-HO,75-79,11
2009,BY-BR,BY-HO,80 и старше,18
2009,BY-BR,BY-HR,0-4,125
2009,BY-BR,BY-HR,10-14,85
2009,BY-BR,BY-HR,15-19,1596
2009,BY-BR,BY-HR,20-24,1578
2009,BY-BR,BY-HR,25-29,498
2009,BY-BR,BY-HR,30-34,321
2009,BY-BR,BY-HR,35-39,246
2009,BY-BR,BY-HR,40-44,209
2009,BY-BR,BY-HR,45-49,176
2009,BY-BR,BY-HR,5-9,109
2009,BY-BR,BY-HR,50-54,115
2009,BY-BR,BY-HR,55-59,66
2009,BY-BR,BY-HR,60-64,24
2009,BY-BR,BY-HR,65-69,20
2009,BY-BR,BY-HR,70-74,33
2009,BY-BR,BY-HR,75-79,30
2009,BY-BR,BY-HR,80 и старше,49
2009,BY-BR,BY-MA,0-4,29
2009,BY-BR,BY-MA,10-14,31
2009,BY-BR,BY-MA,15-19,700
2009,BY-BR,BY-MA,20-24,929
2009,BY-BR,BY-MA,25-29,370
2009,BY-BR,BY-MA,30-34,218
2009,BY-BR,BY-MA,35-39,150
2009,BY-BR,BY-MA,40-44,139
2009,BY-BR,BY-MA,45-49,89
2009,BY-BR,BY-MA,5-9,30
2009,BY-BR,BY-MA,50-54,68
2009,BY-BR,BY-MA,55-59,31
2009,BY-BR,BY-MA,60-64,19
2009,BY-BR,BY-MA,65-69,12
2009,BY-BR,BY-MA,70-74,17
2009,BY-BR,BY-MA,75-79,13
2009,BY-BR,BY-MA,80 и старше,13
2009,BY-BR,BY-MI,0-4,151
2009,BY-BR,BY-MI,10-14,176
2009,BY-BR,BY-MI,15-19,1068
2009,BY-BR,BY-MI,20-24,1486
2009,BY-BR,BY-MI,25-29,662
2009,BY-BR,BY-MI,30-34,301
2009,BY-BR,BY-MI,35-39,246
2009,BY-BR,BY-MI,40-44,168
2009,BY-BR,BY-MI,45-49,146
2009,BY-BR,BY-MI,5-9,216
2009,BY-BR,BY-MI,50-54,106
2009,BY-BR,BY-MI,55-59,66
2009,BY-BR,BY-MI,60-64,59
2009,BY-BR,BY-MI,65-69,37
2009,BY-BR,BY-MI,70-74,45
2009,BY-BR,BY-MI,75-79,39
2009,BY-BR,BY-MI,80 и старше,60
2009,BY-BR,BY-VI,0-4,38
2009,BY-BR,BY-VI,10-14,27
2009,BY-BR,BY-VI,15-19,634
2009,BY-BR,BY-VI,20-24,805
2009,BY-BR,BY-VI,25-29,200
2009,BY-BR,BY-VI,30-34,113
2009,BY-BR,BY-VI,35-39,84
2009,BY-BR,BY-VI,40-44,63
2009,BY-BR,BY-VI,45-49,57
2009,BY-BR,BY-VI,5-9,41
2009,BY-BR,BY-VI,50-54,29
2009,BY-BR,BY-VI,55-59,20
2009,BY-BR,BY-VI,60-64,5
2009,BY-BR,BY-VI,65-69,10
2009,BY-BR,BY-VI,70-74,14
2009,BY-BR,BY-VI,75-79,8
2009,BY-BR,BY-VI,80 и старше,29
2009,BY-HM,BY-BR,0-4,141
2009,BY-HM,BY-BR,10-14,36
2009,BY-HM,BY-BR,15-19,100
2009,BY-HM,BY-BR,20-24,773
2009,BY-HM,BY-BR,25-29,531
2009,BY-HM,BY-BR,30-34,225
2009,BY-HM,BY-BR,35-39,153
2009,BY-HM,BY-BR,40-44,85
2009,BY-HM,BY-BR,45-49,78
2009,BY-HM,BY-BR,5-9,74
2009,BY-HM,BY-BR,50-54,40
2009,BY-HM,BY-BR,55-59,35
2009,BY-HM,BY-BR,60-64,41
2009,BY-HM,BY-BR,65-69,22
