territory_id,year,pop,dtype
BY-BR,1999,1485095,c
BY-BR,2009,1401177,c
BY-BR,2019,1348115,c
BY-VI,1999,1377161,c
BY-VI,2009,1230821,c
BY-VI,2019,1135731,c
BY-HO,1999,1545083,c
BY-HO,2009,1440718,c
BY-HO,2019,1388512,c
BY-HR,1999,1185178,c
BY-HR,2009,1072381,c
BY-HR,2019,1026816,c
BY-MI,1999,1558632,c
BY-MI,2009,1422528,c
BY-MI,2019,1471240,c
BY-MA,1999,1213521,c
BY-MA,2009,1099374,c
BY-MA,2019,1024751,c
BY-HM,1999,1680500,c
BY-HM,2009,1836808,c
BY-HM,2019,2018281,c
BY,1999,10045237,c
BY,2009,9503807,c
BY,2019,9413446,c
