territory_id,metric,year,value,dtype
r-akciabrski,wage_byn,2010,91.7349,d
r-akciabrski,wage_byn,2011,142.7154,d
r-akciabrski,wage_byn,2012,277.2515,d
r-akciabrski,wage_byn,2013,381.2432,d
r-akciabrski,wage_byn,2014,445.1438,d
r-akciabrski,wage_byn,2015,479.4921,d
r-akciabrski,wage_byn,2016,503.1,d
r-akciabrski,wage_byn,2017,571.7,d
r-akciabrski,wage_byn,2018,674.7,d
r-akciabrski,wage_byn,2019,759.3,d
r-akciabrski,wage_byn,2020,869.8,d
r-akciabrski,wage_byn,2021,963.9,d
r-akciabrski,wage_byn,2022,1093.4,d
r-akciabrski,wage_byn,2023,1256.0,d
r-akciabrski,wage_byn,2024,1520.7,d
r-akciabrski,wage_byn,2025,1875.4,d
r-akciabrski,employed_persons,2010,6602.0,d
r-akciabrski,employed_persons,2011,6555.0,d
r-akciabrski,employed_persons,2012,6387.0,d
r-akciabrski,employed_persons,2013,6027.0,d
r-akciabrski,employed_persons,2014,5961.0,d
r-akciabrski,employed_persons,2015,5789.0,d
r-akciabrski,employed_persons,2016,5677.5,d
r-akciabrski,employed_persons,2017,5666.0,d
r-akciabrski,employed_persons,2018,5542.0,d
r-akciabrski,employed_persons,2019,5549.0,d
r-akciabrski,employed_persons,2020,5604.0,d
r-akciabrski,employed_persons,2021,5502.0,d
r-akciabrski,employed_persons,2022,5402.0,d
r-akciabrski,employed_persons,2023,5194.0,d
r-akciabrski,employed_persons,2024,4911.0,d
r-akciabrski,k_oblast_coverage_2019,2019,1.1803,m
r-akciabrski,avg_pension_oblast_byn,2025,918.07,d
r-akciabrski,min_minutes_to_minsk,2026,148.0,d
r-arshanski,wage_byn,2010,100.1164,d
r-arshanski,wage_byn,2011,159.8935,d
r-arshanski,wage_byn,2012,319.0488,d
r-arshanski,wage_byn,2013,432.7572,d
r-arshanski,wage_byn,2014,514.1017,d
r-arshanski,wage_byn,2015,557.5426,d
r-arshanski,wage_byn,2016,581.3,d
r-arshanski,wage_byn,2017,658.4,d
r-arshanski,wage_byn,2018,784.5,d
r-arshanski,wage_byn,2019,874.9,d
r-arshanski,wage_byn,2020,999.5,d
r-arshanski,wage_byn,2021,1125.0,d
r-arshanski,wage_byn,2022,1303.7,d
r-arshanski,wage_byn,2023,1563.2,d
r-arshanski,wage_byn,2024,1861.0,d
r-arshanski,wage_byn,2025,2209.3,d
r-arshanski,employed_persons,2010,73339.0,d
r-arshanski,employed_persons,2011,72186.0,d
r-arshanski,employed_persons,2012,69165.0,d
r-arshanski,employed_persons,2013,67335.0,d
r-arshanski,employed_persons,2014,66672.0,d
r-arshanski,employed_persons,2015,66676.0,d
r-arshanski,employed_persons,2016,64818.0,d
r-arshanski,employed_persons,2017,63358.0,d
r-arshanski,employed_persons,2018,62777.0,d
r-arshanski,employed_persons,2019,61803.0,d
r-arshanski,employed_persons,2020,60906.0,d
r-arshanski,employed_persons,2021,60532.0,d
r-arshanski,employed_persons,2022,59921.0,d
r-arshanski,employed_persons,2023,59465.0,d
r-arshanski,employed_persons,2024,59690.0,d
r-arshanski,k_oblast_coverage_2019,2019,1.1295,m
r-arshanski,avg_pension_oblast_byn,2025,907.08,d
r-arshanski,min_minutes_to_minsk,2026,133.2,d
r-ashmianski,wage_byn,2010,101.8396,d
r-ashmianski,wage_byn,2011,155.8155,d
r-ashmianski,wage_byn,2012,298.1806,d
r-ashmianski,wage_byn,2013,418.2382,d
r-ashmianski,wage_byn,2014,504.5573,d
r-ashmianski,wage_byn,2015,548.6633,d
r-ashmianski,wage_byn,2016,566.8,d
r-ashmianski,wage_byn,2017,649.0,d
r-ashmianski,wage_byn,2018,750.5,d
r-ashmianski,wage_byn,2019,819.2,d
r-ashmianski,wage_byn,2020,949.4,d
r-ashmianski,wage_byn,2021,1078.2,d
r-ashmianski,wage_byn,2022,1265.1,d
r-ashmianski,wage_byn,2023,1502.4,d
r-ashmianski,wage_byn,2024,1746.6,d
r-ashmianski,wage_byn,2025,2105.9,d
r-ashmianski,employed_persons,2010,14596.0,d
r-ashmianski,employed_persons,2011,14718.0,d
r-ashmianski,employed_persons,2012,14479.0,d
r-ashmianski,employed_persons,2013,14277.0,d
r-ashmianski,employed_persons,2014,13801.0,d
r-ashmianski,employed_persons,2015,13869.0,d
r-ashmianski,employed_persons,2016,13236.0,d
r-ashmianski,employed_persons,2017,12701.0,d
r-ashmianski,employed_persons,2018,12642.0,d
r-ashmianski,employed_persons,2019,12315.0,d
r-ashmianski,employed_persons,2020,12268.0,d
r-ashmianski,employed_persons,2021,12216.0,d
r-ashmianski,employed_persons,2022,12102.0,d
r-ashmianski,employed_persons,2023,11890.0,d
r-ashmianski,employed_persons,2024,11924.0,d
r-ashmianski,k_oblast_coverage_2019,2019,1.1456,m
r-ashmianski,avg_pension_oblast_byn,2025,905.8,d
r-ashmianski,min_minutes_to_minsk,2026,88.4,d
r-asipovicki,wage_byn,2010,110.1527,d
r-asipovicki,wage_byn,2011,178.3212,d
r-asipovicki,wage_byn,2012,355.0512,d
r-asipovicki,wage_byn,2013,462.0133,d
r-asipovicki,wage_byn,2014,520.1893,d
r-asipovicki,wage_byn,2015,585.4585,d
r-asipovicki,wage_byn,2016,577.2,d
r-asipovicki,wage_byn,2017,674.9,d
r-asipovicki,wage_byn,2018,848.0,d
r-asipovicki,wage_byn,2019,927.2,d
r-asipovicki,wage_byn,2020,1062.1,d
r-asipovicki,wage_byn,2021,1201.7,d
r-asipovicki,wage_byn,2022,1378.6,d
r-asipovicki,wage_byn,2023,1673.8,d
r-asipovicki,wage_byn,2024,1993.9,d
r-asipovicki,wage_byn,2025,2296.2,d
r-asipovicki,employed_persons,2010,23520.0,d
r-asipovicki,employed_persons,2011,23920.0,d
r-asipovicki,employed_persons,2012,24005.0,d
r-asipovicki,employed_persons,2013,23891.0,d
r-asipovicki,employed_persons,2014,23571.0,d
r-asipovicki,employed_persons,2015,22671.0,d
r-asipovicki,employed_persons,2016,21984.0,d
r-asipovicki,employed_persons,2017,21342.0,d
r-asipovicki,employed_persons,2018,21374.0,d
r-asipovicki,employed_persons,2019,21444.0,d
r-asipovicki,employed_persons,2020,20990.0,d
r-asipovicki,employed_persons,2021,20777.0,d
r-asipovicki,employed_persons,2022,20419.0,d
r-asipovicki,employed_persons,2023,20130.0,d
r-asipovicki,employed_persons,2024,19935.0,d
r-asipovicki,k_oblast_coverage_2019,2019,1.181,m
r-asipovicki,avg_pension_oblast_byn,2025,904.51,d
r-asipovicki,min_minutes_to_minsk,2026,73.9,d
r-astraviecki,wage_byn,2010,91.394,d
r-astraviecki,wage_byn,2011,143.2084,d
r-astraviecki,wage_byn,2012,284.4918,d
r-astraviecki,wage_byn,2013,420.1448,d
r-astraviecki,wage_byn,2014,556.5052,d
r-astraviecki,wage_byn,2015,604.7042,d
r-astraviecki,wage_byn,2016,653.5,d
r-astraviecki,wage_byn,2017,771.3,d
r-astraviecki,wage_byn,2018,934.2,d
r-astraviecki,wage_byn,2019,1070.1,d
r-astraviecki,wage_byn,2020,1308.8,d
r-astraviecki,wage_byn,2021,1565.3,d
r-astraviecki,wage_byn,2022,1876.6,d
r-astraviecki,wage_byn,2023,2340.3,d
r-astraviecki,wage_byn,2024,2709.8,d
r-astraviecki,wage_byn,2025,3198.4,d
r-astraviecki,employed_persons,2010,10595.0,d
r-astraviecki,employed_persons,2011,10513.0,d
r-astraviecki,employed_persons,2012,10544.0,d
r-astraviecki,employed_persons,2013,10604.0,d
r-astraviecki,employed_persons,2014,11070.0,d
r-astraviecki,employed_persons,2015,11676.0,d
r-astraviecki,employed_persons,2016,11951.0,d
r-astraviecki,employed_persons,2017,12436.0,d
r-astraviecki,employed_persons,2018,12624.0,d
r-astraviecki,employed_persons,2019,12502.0,d
r-astraviecki,employed_persons,2020,13201.0,d
r-astraviecki,employed_persons,2021,13248.0,d
r-astraviecki,employed_persons,2022,13289.0,d
r-astraviecki,employed_persons,2023,12962.0,d
r-astraviecki,employed_persons,2024,12691.0,d
