year,retirement_age_m,retirement_age_f
1959,60.0,55.0
1960,60.0,55.0
1961,60.0,55.0
1962,60.0,55.0
1963,60.0,55.0
1964,60.0,55.0
1965,60.0,55.0
1966,60.0,55.0
1967,60.0,55.0
1968,60.0,55.0
1969,60.0,55.0
1970,60.0,55.0
1971,60.0,55.0
1972,60.0,55.0
1973,60.0,55.0
1974,60.0,55.0
1975,60.0,55.0
1976,60.0,55.0
1977,60.0,55.0
1978,60.0,55.0
1979,60.0,55.0
1980,60.0,55.0
1981,60.0,55.0
1982,60.0,55.0
1983,60.0,55.0
1984,60.0,55.0
1985,60.0,55.0
1986,60.0,55.0
1987,60.0,55.0
1988,60.0,55.0
1989,60.0,55.0
1990,60.0,55.0
1991,60.0,55.0
1992,60.0,55.0
1993,60.0,55.0
1994,60.0,55.0
1995,60.0,55.0
1996,60.0,55.0
1997,60.0,55.0
1998,60.0,55.0
1999,60.0,55.0
2000,60.0,55.0
2001,60.0,55.0
2002,60.0,55.0
2003,60.0,55.0
2004,60.0,55.0
2005,60.0,55.0
2006,60.0,55.0
2007,60.0,55.0
2008,60.0,55.0
2009,60.0,55.0
2010,60.0,55.0
2011,60.0,55.0
2012,60.0,55.0
2013,60.0,55.0
2014,60.0,55.0
2015,60.0,55.0
2016,60.0,55.0
2017,60.5,55.5
2018,61.0,56.0
2019,61.5,56.5
2020,62.0,57.0
2021,62.5,57.5
2022,63.0,58.0
2023,63.0,58.0
2024,63.0,58.0
2025,63.0,58.0
2026,63.0,58.0
2027,63.0,58.0
2028,63.0,58.0
2029,63.0,58.0
2030,63.0,58.0
2031,63.0,58.0
2032,63.0,58.0
2033,63.0,58.0
2034,63.0,58.0
2035,63.0,58.0
2036,63.0,58.0
2037,63.0,58.0
2038,63.0,58.0
2039,63.0,58.0
2040,63.0,58.0
2041,63.0,58.0
2042,63.0,58.0
2043,63.0,58.0
2044,63.0,58.0
2045,63.0,58.0
2046,63.0,58.0
2047,63.0,58.0
2048,63.0,58.0
2049,63.0,58.0
2050,63.0,58.0
2051,63.0,58.0
2052,63.0,58.0
2053,63.0,58.0
2054,63.0,58.0
2055,63.0,58.0
2056,63.0,58.0
