territory_id,min_minsk,min_oblcenter,oblcenter,min_eu_2019,min_eu_nadir,min_eu_2026
r-akciabrski,148.0,141.4,BY-HO,247.6,247.6,247.6
r-arshanski,133.2,52.6,BY-MA,210.6,210.6,210.6
r-ashmianski,88.4,88.4,BY-HM,14.8,14.8,14.8
r-asipovicki,73.9,73.9,BY-HM,173.6,173.6,173.6
r-astraviecki,105.3,105.3,BY-HM,26.3,26.3,26.3
r-babrujski,99.7,93.8,BY-MA,199.4,199.4,199.4
r-baranavicki,89.0,89.0,BY-HM,123.9,132.0,123.9
r-barysauski,57.4,57.4,BY-HM,155.0,155.0,155.0
r-bialynicki,106.6,32.2,BY-MA,206.3,206.3,206.3
r-biarezinski,70.6,65.1,BY-MA,170.3,170.3,170.3
r-biarozauski,146.3,71.2,BY-BR,72.5,72.5,72.5
r-bierastavicki,205.5,47.7,BY-HR,13.3,145.3,13.3
r-bieshankovicki,145.9,38.6,BY-VI,149.3,149.3,149.3
r-brahinski,264.4,90.2,BY-HO,342.0,342.0,342.0
r-braslauski,183.5,183.5,BY-HM,13.7,83.5,83.5
r-brescki,211.8,0.0,BY-BR,3.8,3.8,3.8
r-buda-kashalouski,178.9,39.3,BY-HO,278.6,278.6,278.6
r-bychauski,159.9,38.4,BY-MA,259.6,259.6,259.6
r-chacherski,208.4,48.6,BY-HO,308.1,308.1,308.1
r-chashnicki,132.9,64.1,BY-VI,158.6,158.6,158.6
r-chavuski,170.1,35.8,BY-MA,269.8,269.8,269.8
r-chervienski,46.4,46.4,BY-HM,146.1,146.1,146.1
r-cherykauski,201.8,67.6,BY-MA,301.5,301.5,301.5
r-chocimski,276.2,142.0,BY-MA,375.9,375.9,375.9
r-chojnicki,245.2,76.8,BY-HO,322.8,322.8,322.8
r-dobrushski,228.7,24.3,BY-HO,328.4,328.4,328.4
r-dokshycki,94.7,94.7,BY-HM,99.4,127.7,127.7
r-drahichynski,176.7,77.3,BY-BR,78.6,78.6,78.6
r-drybinski,175.6,49.4,BY-MA,263.5,263.5,263.5
r-dubrovienski,149.0,63.7,BY-MA,219.4,219.4,219.4
r-dziarzhynski,28.6,28.6,BY-HM,106.9,106.9,106.9
r-dziatlauski,132.8,99.4,BY-HR,100.9,131.2,100.9
r-hancavicki,132.2,132.2,BY-HM,175.6,175.6,175.6
r-haradocki,192.6,30.4,BY-VI,145.8,145.8,145.8
r-hluski,118.1,118.1,BY-HM,217.8,217.8,217.8
r-hlybocki,119.5,119.5,BY-HM,74.7,103.0,103.0
r-homielski,204.4,0.0,BY-HO,304.1,304.1,304.1
r-horacki,169.9,60.3,BY-MA,243.9,243.9,243.9
r-hrodzienski,186.8,0.0,BY-HR,16.1,177.0,16.1
r-iujeuski,90.5,90.5,BY-HM,76.0,76.0,76.0
r-ivacevicki,126.4,89.4,BY-BR,90.7,90.7,90.7
r-ivanauski,191.2,93.8,BY-BR,95.1,95.1,95.1
r-jelski,231.4,115.2,BY-HO,309.0,309.0,309.0
r-kalinkavicki,197.0,84.9,BY-HO,277.8,277.8,277.8
r-kamianiecki,215.5,30.7,BY-BR,32.4,33.7,33.7
r-kapylski,82.6,82.6,BY-HM,166.1,166.1,166.1
r-karelicki,84.2,84.2,BY-HM,128.3,128.3,128.3
r-karmianski,189.3,70.8,BY-HO,289.0,289.0,289.0
r-kasciukovicki,249.3,115.0,BY-MA,349.0,349.0,349.0
r-kirauski,115.7,75.7,BY-MA,215.4,215.4,215.4
r-klecki,93.1,93.1,BY-HM,162.9,162.9,162.9
r-klichauski,112.1,74.8,BY-MA,211.8,211.8,211.8
r-klimavicki,243.8,109.6,BY-MA,343.5,343.5,343.5
r-kobrynski,176.6,35.2,BY-BR,36.5,36.5,36.5
r-krasnapolski,224.5,90.3,BY-MA,324.2,324.2,324.2
r-kruhlanski,120.8,46.2,BY-MA,218.7,218.7,218.7
r-krupski,79.7,79.7,BY-HM,177.6,177.6,177.6
r-krychauski,223.3,89.0,BY-MA,321.2,321.2,321.2
r-lachavicki,100.1,100.1,BY-HM,142.3,150.5,142.3
r-lahojski,28.5,28.5,BY-HM,120.9,120.9,120.9
r-lelchycki,222.1,155.9,BY-HO,268.6,268.6,268.6
r-lepielski,107.4,77.9,BY-VI,132.1,132.1,132.1
r-lidski,114.7,77.8,BY-HR,86.7,104.9,86.7
r-lojeuski,249.0,67.5,BY-HO,348.7,348.7,348.7
r-loznienski,176.2,32.9,BY-VI,186.7,186.7,186.7
r-lubanski,110.9,110.9,BY-HM,202.6,202.6,202.6
r-luniniecki,172.4,160.5,BY-BR,161.8,161.8,161.8
r-mahilouski,134.3,0.0,BY-MA,233.9,233.9,233.9
r-maladziechanski,57.4,57.4,BY-HM,71.7,71.7,71.7
r-malarycki,212.7,36.9,BY-BR,36.9,36.9,36.9
r-mastouski,169.6,48.0,BY-HR,49.5,159.8,49.5
r-mazyrski,210.9,97.5,BY-HO,284.8,284.8,284.8
r-miadzielski,103.1,103.1,BY-HM,72.3,101.4,101.4
r-mijorski,175.5,152.0,BY-VI,47.2,47.2,47.2
r-minski,0.0,0.0,BY-HM,100.3,100.3,100.3
r-mscislauski,214.0,79.8,BY-MA,292.5,292.5,292.5
r-naraulanski,236.5,120.3,BY-HO,314.1,314.1,314.1
r-navahrudski,103.7,103.7,BY-HM,107.7,107.7,107.7
r-niasvizhski,79.2,79.2,BY-HM,149.8,149.8,149.8
r-pastauski,132.1,132.1,BY-HM,74.7,110.5,110.5
r-pietrykauski,199.7,133.4,BY-HO,246.1,246.1,246.1
r-pinski,198.2,124.1,BY-BR,125.4,125.4,125.4
r-polacki,169.2,89.8,BY-VI,69.1,69.1,69.1
r-pruzhanski,179.4,66.9,BY-BR,69.9,69.9,69.9
r-puchavicki,43.7,43.7,BY-HM,143.4,143.4,143.4
r-rahachouski,147.1,79.4,BY-HO,246.8,246.8,246.8
r-rasonski,205.3,120.1,BY-VI,70.8,70.8,70.8
r-rechycki,201.2,40.8,BY-HO,300.9,300.9,300.9
r-salihorski,94.6,94.6,BY-HM,186.3,186.3,186.3
r-sharkoushchynski,144.7,144.7,BY-HM,50.1,77.7,77.7
r-shchuchynski,144.9,46.8,BY-HR,55.7,135.1,55.7
r-shklouski,149.4,27.7,BY-MA,242.0,242.0,242.0
r-shumilinski,170.6,34.4,BY-VI,123.8,123.8,123.8
r-siennienski,136.1,51.8,BY-VI,176.6,176.6,176.6
r-slauharadski,194.5,60.6,BY-MA,294.1,294.1,294.1
r-slonimski,124.8,106.9,BY-HR,80.1,124.4,80.1
r-slucki,72.4,72.4,BY-HM,164.2,164.2,164.2
r-smalavicki,42.4,42.4,BY-HM,140.1,140.1,140.1
r-smarhonski,89.1,89.1,BY-HM,40.2,40.2,40.2
r-staradarozhski,99.4,99.4,BY-HM,196.2,196.2,196.2
r-staubcouski,51.0,51.0,BY-HM,123.8,123.8,123.8
r-stolinski,240.8,174.5,BY-BR,175.7,175.7,175.7
r-svietlahorski,155.8,86.3,BY-HO,255.5,255.5,255.5
r-svislacki,203.4,66.3,BY-HR,18.8,125.5,18.8
r-talachynski,103.5,63.5,BY-MA,201.4,201.4,201.4
r-ushacki,139.5,92.2,BY-VI,110.3,110.3,110.3
r-uzdzienski,51.1,51.1,BY-HM,130.9,130.9,130.9
r-valozhynski,54.7,54.7,BY-HM,54.7,54.7,54.7
r-vaukavyski,174.7,65.7,BY-HR,32.7,132.7,32.7
r-viciebski,179.8,0.0,BY-VI,156.9,156.9,156.9
r-vierchniadzvinski,200.7,135.3,BY-VI,23.7,23.7,23.7
r-vietkauski,219.1,17.9,BY-HO,318.8,318.8,318.8
r-vilejski,74.0,74.0,BY-HM,73.8,73.8,73.8
r-voranauski,127.5,97.1,BY-HR,106.1,108.7,106.1
r-zelvienski,154.4,80.5,BY-HR,51.9,137.2,51.9
r-zhabinkauski,197.0,25.3,BY-BR,26.6,26.6,26.6
r-zhlobinski,145.9,67.8,BY-HO,245.5,245.5,245.5
r-zhytkavicki,162.6,160.2,BY-HO,209.0,209.0,209.0
