district_id,year,field,value_byn,is_consolidated,source_url
r-astraviecki,2024,revenue_total,111983600,True,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2024,expenditure_total,112779200,True,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2024,own_revenue,79564200,,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2024,exp_housing,11107800,,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2024,exp_transport,780500,,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2024,exp_health,37098600,,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2024,exp_education,38601500,,https://ostrovets.gov.by/uploads/files/2024/ispolnenie-bjudzheta-za-2024-god.pdf
r-astraviecki,2023,revenue_total,90194700,True,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2023,own_revenue,87321000,True,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2023,transfers,2873700,True,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2023,expenditure_total,97194400,True,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2023,exp_education,73065300,,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2023,exp_housing,10275300,,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2023,exp_transport,603000,,https://ostrovets.gov.by/uploads/files/2024/2023-god-ispolnenie.pdf
r-astraviecki,2022,transfers,7803700,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-astraviecki,2022,expenditure_total,94353400,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-astraviecki,2022,exp_education,28143700,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-astraviecki,2022,exp_health,26988400,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-astraviecki,2022,exp_housing,7940700,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-astraviecki,2022,exp_governance,3078000,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-astraviecki,2022,exp_transport,674800,,https://ostrovets.gov.by/uploads/files/2023/2022-god-ITOGI.pdf
r-biarozauski,2024,own_revenue,117082200,True,https://www.bereza.brest-region.gov.by/uploads/files/Bjulleten-ob-ispolnenii-bjudzheta-za-2024.pdf
r-biarozauski,2024,transfers,41867400,True,https://www.bereza.brest-region.gov.by/uploads/files/Bjulleten-ob-ispolnenii-bjudzheta-za-2024.pdf
r-biarozauski,2024,revenue_total,158949600,True,https://www.bereza.brest-region.gov.by/uploads/files/Bjulleten-ob-ispolnenii-bjudzheta-za-2024.pdf
r-biarozauski,2024,expenditure_total,159452000,True,https://www.bereza.brest-region.gov.by/uploads/files/Bjulleten-ob-ispolnenii-bjudzheta-za-2024.pdf
