raion_id,school,fap,post_office,bank,station,cafe,restaurant,shop_grocery,pool,water_park,ice_rink,sports_centre
r-akciabrski,9,2,2,2,9,5,1,15,0,0,0,2
r-arshanski,43,28,27,35,28,53,5,210,1,0,2,11
r-ashmianski,15,4,10,7,1,15,3,61,1,0,2,2
r-asipovicki,21,12,16,14,26,17,1,89,1,0,0,3
r-astraviecki,19,6,10,8,3,16,3,78,1,0,1,5
r-babrujski,58,37,40,47,22,58,7,258,2,0,4,14
r-baranavicki,66,46,41,54,23,59,16,267,3,0,1,13
r-barysauski,59,38,36,48,9,78,14,303,3,0,1,5
r-bialynicki,13,1,3,5,1,6,2,48,0,0,0,1
r-biarezinski,14,2,5,3,0,6,0,64,0,0,0,2
r-biarozauski,26,8,20,21,8,27,5,129,1,0,0,3
r-bierastavicki,12,5,4,9,2,5,1,29,0,0,0,2
r-bieshankovicki,7,3,2,3,0,4,2,34,0,0,0,0
r-brahinski,9,4,3,4,3,3,1,25,0,0,0,1
r-braslauski,18,8,9,8,1,15,6,65,0,0,0,0
r-brescki,99,90,76,102,41,268,46,438,6,0,2,39
r-buda-kashalouski,22,9,6,5,11,2,0,65,0,0,0,0
r-bychauski,16,7,7,6,8,4,2,75,0,0,1,3
r-chacherski,14,8,4,2,0,2,1,32,0,0,0,0
r-chashnicki,17,4,8,5,7,4,3,51,0,0,1,3
r-chavuski,15,5,3,3,6,2,1,36,0,0,0,2
r-chervienski,21,8,23,5,0,9,2,82,0,0,0,4
r-cherykauski,8,4,3,4,1,5,1,32,0,0,0,1
r-chocimski,9,1,2,3,0,5,1,14,0,0,0,1
r-chojnicki,10,5,8,3,4,6,4,48,0,0,0,0
r-dobrushski,32,12,10,10,14,13,4,114,0,0,0,5
r-dokshycki,12,10,10,4,5,10,2,67,0,0,0,0
r-drahichynski,22,10,17,9,8,8,1,79,0,0,1,0
r-drybinski,10,7,5,6,2,3,2,25,0,0,2,1
r-dubrovienski,9,4,5,6,4,11,1,35,0,0,0,0
r-dziarzhynski,24,14,14,16,11,30,8,135,4,0,2,6
r-dziatlauski,18,4,5,8,6,6,2,68,0,0,0,0
r-hancavicki,21,8,12,11,7,10,1,68,0,0,0,2
r-haradocki,11,5,6,3,9,8,0,61,0,0,0,1
r-hluski,11,3,6,5,0,4,0,44,1,0,0,1
r-hlybocki,20,6,12,9,10,8,4,100,1,0,0,1
r-homielski,111,110,89,97,41,210,49,607,2,0,9,46
r-horacki,16,7,7,10,7,11,1,70,0,0,0,1
r-hrodzienski,74,79,82,91,25,197,63,404,12,2,9,38
r-iujeuski,13,7,10,9,7,7,3,61,0,0,0,1
r-ivacevicki,26,8,19,16,5,20,3,82,1,0,0,1
r-ivanauski,28,7,16,19,5,10,3,83,0,0,0,6
r-jelski,11,2,2,2,5,4,1,44,0,0,0,1
r-kalinkavicki,35,17,13,19,17,30,4,108,0,0,0,4
r-kamianiecki,26,12,27,15,3,13,7,94,0,0,0,2
r-kapylski,23,7,10,5,4,6,1,68,0,0,0,1
r-karelicki,13,8,3,8,0,8,4,49,0,0,1,0
r-karmianski,11,4,2,2,0,1,1,33,0,0,0,0
r-kasciukovicki,10,3,5,5,6,2,1,23,0,0,1,1
r-kirauski,9,3,2,6,0,4,1,29,0,0,0,0
r-klecki,17,4,6,6,3,8,2,40,0,1,0,0
r-klichauski,12,5,3,3,9,3,1,41,2,0,0,0
r-klimavicki,8,4,5,6,3,9,1,76,0,0,0,0
r-kobrynski,47,18,36,20,7,21,12,147,0,1,1,5
r-krasnapolski,8,5,2,2,0,3,0,28,0,0,0,1
r-kruhlanski,15,3,6,2,0,2,3,37,0,0,0,0
r-krupski,13,3,7,3,5,12,0,56,0,0,0,1
r-krychauski,14,11,7,11,9,16,1,53,1,0,0,4
r-lachavicki,18,2,7,7,11,7,1,60,0,0,0,1
r-lahojski,23,12,16,7,0,28,10,110,3,0,0,14
r-lelchycki,19,4,5,3,0,3,1,54,1,0,0,1
r-lepielski,18,7,9,6,3,9,1,72,0,0,0,4
r-lidski,44,28,31,39,16,64,14,180,3,0,1,15
r-lojeuski,12,8,4,2,0,3,0,18,0,0,0,0
r-loznienski,8,4,6,5,6,6,1,48,0,0,0,0
r-lubanski,20,4,12,9,2,6,1,77,1,0,0,4
r-luniniecki,31,17,14,23,20,19,4,119,0,0,1,4
r-mahilouski,72,63,63,78,25,93,30,348,0,1,0,29
r-maladziechanski,33,19,28,26,25,39,12,205,7,1,1,6
r-malarycki,19,9,15,11,7,8,1,58,0,0,0,1
r-mastouski,15,4,19,7,7,9,3,74,0,0,0,3
r-mazyrski,41,28,33,38,8,47,10,163,4,0,1,16
r-miadzielski,20,10,17,14,5,25,6,68,1,0,1,3
r-mijorski,14,7,6,3,2,4,1,45,1,0,1,2
r-minski,139,104,110,151,26,334,62,767,22,2,5,87
r-mscislauski,17,4,3,5,7,5,1,52,0,0,0,3
r-naraulanski,7,2,1,2,0,2,1,26,0,0,0,0
