city_id,year,population,status
c-ashmiany,1897,7214,c
c-ashmiany,1959,6900,c
c-ashmiany,1970,9621,c
c-ashmiany,1979,12455,c
c-ashmiany,1989,14748,c
c-ashmiany,1991,15200,e
c-ashmiany,1999,15100,c
c-ashmiany,2004,14900,e
c-ashmiany,2005,14800,e
c-ashmiany,2006,14600,e
c-ashmiany,2007,14400,e
c-ashmiany,2008,14400,e
c-ashmiany,2009,14813,c
c-ashmiany,2011,15046,e
c-ashmiany,2012,15450,e
c-ashmiany,2013,15668,e
c-ashmiany,2014,15813,e
c-ashmiany,2015,16191,e
c-ashmiany,2016,16388,e
c-ashmiany,2017,16684,e
c-ashmiany,2018,16835,e
c-ashmiany,2019,16694,c
c-ashmiany,2021,16966,e
c-ashmiany,2022,16979,e
c-ashmiany,2023,16870,e
c-ashmiany,2024,16787,e
c-ashmiany,2025,16804,e
c-ashmiany,2026,16721,e
c-asipovichy,1923,3550,c
c-asipovichy,1926,4007,c
c-asipovichy,1939,13723,c
c-asipovichy,1959,15777,c
c-asipovichy,1970,19705,c
c-asipovichy,1979,27409,c
c-asipovichy,1989,33803,c
c-asipovichy,1991,34600,e
c-asipovichy,1999,35900,c
c-asipovichy,2004,34700,e
c-asipovichy,2005,34500,e
c-asipovichy,2006,34300,e
c-asipovichy,2007,34100,e
c-asipovichy,2008,33800,e
c-asipovichy,2009,32543,c
c-asipovichy,2011,32021,e
c-asipovichy,2012,31699,e
c-asipovichy,2013,31629,e
c-asipovichy,2014,31487,e
c-asipovichy,2015,31494,e
c-asipovichy,2016,31498,e
c-asipovichy,2017,31298,e
c-asipovichy,2018,31129,e
c-asipovichy,2019,30049,c
c-asipovichy,2021,29981,e
c-asipovichy,2022,29633,e
c-asipovichy,2023,29329,e
c-asipovichy,2024,29103,e
c-asipovichy,2025,28745,e
c-asipovichy,2026,28715,e
c-astraviec,1959,4277,c
c-astraviec,1970,3240,c
c-astraviec,1979,4959,c
c-astraviec,1989,7675,c
c-astraviec,1991,8100,e
c-astraviec,1999,8600,c
c-astraviec,2004,8400,e
c-astraviec,2005,8300,e
c-astraviec,2006,8300,e
c-astraviec,2007,8300,e
c-astraviec,2008,8300,e
c-astraviec,2009,8285,c
c-astraviec,2011,8387,e
c-astraviec,2012,8547,e
c-astraviec,2013,8733,e
c-astraviec,2014,8953,e
c-astraviec,2015,9166,e
c-astraviec,2016,9569,e
c-astraviec,2017,10253,e
c-astraviec,2018,10878,e
c-astraviec,2019,12837,c
c-astraviec,2021,14147,e
c-astraviec,2022,14641,e
c-astraviec,2023,14805,e
c-astraviec,2024,15116,e
c-astraviec,2025,15265,e
c-astraviec,2026,15530,e
c-babrujsk,1897,34336,c
c-babrujsk,1923,33015,c
c-babrujsk,1926,39280,c
c-babrujsk,1939,84078,c
c-babrujsk,1959,97530,c
c-babrujsk,1970,137536,c
c-babrujsk,1979,192207,c
c-babrujsk,1989,221166,c
c-babrujsk,1991,223000,e
c-babrujsk,1999,220700,c
c-babrujsk,2004,220800,e
c-babrujsk,2005,220100,e
c-babrujsk,2006,219100,e
c-babrujsk,2007,218400,e
c-babrujsk,2008,218400,e
c-babrujsk,2009,215092,c
c-babrujsk,2011,215665,e
c-babrujsk,2012,216522,e
c-babrujsk,2013,217127,e
c-babrujsk,2014,217660,e
c-babrujsk,2015,218263,e
c-babrujsk,2016,217975,e
c-babrujsk,2017,217940,e
c-babrujsk,2018,217546,e
c-babrujsk,2019,212283,c
c-babrujsk,2021,211389,e
c-babrujsk,2022,209675,e
c-babrujsk,2023,208611,e
c-babrujsk,2024,207351,e
c-babrujsk,2025,205502,e
c-babrujsk,2026,204103,e
c-baran,1926,882,c
c-baran,1939,1589,c
c-baran,1959,6550,c
c-baran,1970,10342,c
c-baran,1979,9866,c
c-baran,1989,13556,c
c-baran,1991,14100,e
c-baran,1999,12500,c
c-baran,2004,12300,e
c-baran,2005,12200,e
c-baran,2006,12100,e
c-baran,2007,12000,e
c-baran,2008,12000,e
c-baran,2009,11662,c
c-baran,2011,11540,e
c-baran,2012,11477,e
c-baran,2013,11453,e
c-baran,2014,11449,e
c-baran,2015,11466,e
c-baran,2016,11343,e
c-baran,2017,11221,e
c-baran,2018,11154,e
c-baran,2019,10721,c
c-baran,2021,10573,e
c-baran,2022,10395,e
c-baran,2023,10301,e
c-baran,2024,10245,e
c-baran,2025,10131,e
c-baran,2026,9985,e
