city_id,name_ru,name_be,name_variants,settlement_type,parent_district_id,parent_region_id,lat,lon,population_peak_year,population_peak_value,flags,notes
c-ashmiany,Ошмяны,Ашмяны,,urban,r-ashmianski,BY-HR,54.425,25.9375,2022,16979,raionCenter,
c-asipovichy,Осиповичи,Асіповічы,,urban,r-asipovicki,BY-MA,53.3,28.633333333,1999,35900,raionCenter,
c-astraviec,Островец,Астравец,,urban,r-astraviecki,BY-HR,54.613611111,25.955277777,2026,15530,raionCenter,
c-babrujsk,Бобруйск,Бабруйск,,urban,r-babrujski,BY-MA,53.15,29.233333333,1991,223000,oblCity|raionCenter|top7,
c-baran,Барань,Барань,,urban,r-arshanski,BY-VI,54.478666,30.317593,1991,14100,,
c-baranavichy,Барановичи,Баранавічы,,urban,r-baranavicki,BY-BR,53.1325,26.017777777,2017,179439,oblCity|raionCenter,
c-barysau,Борисов,Барысаў,,urban,r-barysauski,BY-MI,54.22429,28.51198,1999,150700,raionCenter,
c-bialynichy,Белыничи,Бялынічы,,urban,r-bialynicki,BY-MA,53.99558,29.70958,1999,11200,raionCenter,
c-biaroza,Берёза,Бяроза,,urban,r-biarozauski,BY-BR,52.533333333,24.9825,1999,29800,raionCenter,
c-biarozauka,Берёзовка,Бярозаўка,,urban,r-lidski,BY-HR,53.716666666,25.5,1999,12200,,
c-bielaaziorsk,Белоозёрск,Белаазёрск,,urban,r-biarozauski,BY-BR,52.471666666,25.178333333,1999,13200,,
c-bierazino,Березино,Беразіно,,urban,r-biarezinski,BY-MI,53.833333333,28.983333333,1999,13300,raionCenter,
c-braslau,Браслав,Браслаў,,urban,r-braslauski,BY-VI,55.641666666,27.033333333,1999,10100,raionCenter,
c-brest,Брест,Брэст,,urban,r-brescki,BY-BR,52.084722222,23.656944444,2018,347576,oblCenter|oblCity|raionCenter|top7,
c-bychau,Быхов,Быхаў,,urban,r-bychauski,BY-MA,53.526111111,30.235833333,1991,22000,raionCenter,
c-chashniki,Чашники,Чашнікі,,urban,r-chashnicki,BY-VI,54.853333333,29.164722222,1991,10500,raionCenter,
c-chavusy,Чаусы,Чавусы,,urban,r-chavuski,BY-MA,53.8,30.966666666,1991,12500,raionCenter,
c-chervien,Червень,Чэрвень,до 1923 - Игумен,urban,r-chervienski,BY-MI,53.707777777,28.432222222,1991,11600,raionCenter,Ihumien until 1923
c-chojniki,Хойники,Хойнікі,,urban,r-chojnicki,BY-HO,51.9,29.966666666,1989,17113,raionCenter,
c-dobrush,Добруш,Добруш,,urban,r-dobrushski,BY-HO,52.416666666,31.316666666,1989,20750,raionCenter,
c-drahichyn,Дрогичин,Драгічын,,urban,r-drahichynski,BY-BR,52.186666666,25.153055555,2004,15100,raionCenter,
c-dziarzhynsk,Дзержинск,Дзяржынск,,urban,r-dziarzhynski,BY-MI,53.683333333,27.133333333,2022,29863,raionCenter,
c-fanipal,Фаниполь,Фаніпаль,,urban,r-dziarzhynski,BY-MI,53.75,27.333333333,2026,19006,,
c-hancavichy,Ганцевичи,Ганцавічы,,urban,r-hancavicki,BY-BR,52.761666666,26.427777777,1999,14800,raionCenter,
c-haradok,Городок,Гарадок,,urban,r-haradocki,BY-VI,55.466666666,29.983333333,1991,14500,raionCenter,
c-hlybokaje,Глубокое,Глыбокае,,urban,r-hlybocki,BY-VI,55.133333333,27.683333333,1999,19500,raionCenter,
c-homiel,Гомель,Гомель,,urban,r-homielski,BY-HO,52.441666666,30.983333333,2018,535693,oblCenter|oblCity|raionCenter|top7,
c-horki,Горки,Горкі,,urban,r-horacki,BY-MA,54.283333333,30.983333333,2008,34700,raionCenter,
c-hrodna,Гродно,Гродна,,urban,r-hrodzienski,BY-HR,53.666666666,23.816666666,2018,370919,oblCenter|oblCity|raionCenter|top7,
c-ivacevichy,Ивацевичи,Івацэвічы,,urban,r-ivacevicki,BY-BR,52.709166666,25.338888888,2005,24200,raionCenter,
c-ivanava,Иваново,Іванава,,urban,r-ivanauski,BY-BR,52.147222222,25.533888888,2008,16800,raionCenter,
c-jelsk,Ельск,Ельск,,urban,r-jelski,BY-HO,51.810555555,29.153055555,1991,10600,raionCenter,
c-kalinkavichy,Калинковичи,Калінкавічы,,urban,r-kalinkavicki,BY-HO,52.133333333,29.333333333,1989,40980,raionCenter,
c-kapyl,Копыль,Капыль,,urban,r-kapylski,BY-MI,53.15,27.091666666,1999,10800,raionCenter,
c-kasciukovichy,Костюковичи,Касцюковічы,,urban,r-kasciukovicki,BY-MA,53.351335,32.058492,1999,17200,raionCenter,
c-kleck,Клецк,Клецк,,urban,r-klecki,BY-MI,53.063611111,26.637222222,2018,11483,raionCenter,
c-klimavichy,Климовичи,Клімавічы,,urban,r-klimavicki,BY-MA,53.616666666,31.95,1999,17100,raionCenter,
c-kobryn,Кобрин,Кобрын,,urban,r-kobrynski,BY-BR,52.2125,24.356666666,2018,53177,raionCenter,
c-krychau,Кричев,Крычаў,,urban,r-krychauski,BY-MA,53.719444444,31.713888888,1989,32908,raionCenter,
c-lachavichy,Ляховичи,Ляхавічы,,urban,r-lachavicki,BY-BR,53.03958,26.263,2008,11700,raionCenter,
