territory_id,year,wage_byn
BY,2010,121.7313
BY,2011,189.9782
BY,2012,367.6083
BY,2013,506.1418
BY,2014,605.2367
BY,2015,671.4997
BY,2016,722.7
BY,2017,822.8
BY,2018,971.4
BY,2019,1092.9
BY,2020,1254.6
BY,2021,1443.5
BY,2022,1633.2
BY,2023,1915.9
BY,2024,2288.6
BY,2025,2679.7
BY-BR,2010,108.809
BY-BR,2011,164.6764
BY-BR,2012,318.5284
BY-BR,2013,443.1046
BY-BR,2014,529.4065
BY-BR,2015,575.7018
BY-BR,2016,617.4
BY-BR,2017,699.1
BY-BR,2018,828.4
BY-BR,2019,929.2
BY-BR,2020,1054.6
BY-BR,2021,1205.8
BY-BR,2022,1386.8
BY-BR,2023,1655.4
BY-BR,2024,1989.2
BY-BR,2025,2360.4
BY-HM,2010,153.7243
BY-HM,2011,240.4418
BY-HM,2012,457.4993
BY-HM,2013,636.7503
BY-HM,2014,773.1043
BY-HM,2015,887.2477
BY-HM,2016,985.8
BY-HM,2017,1125.5
BY-HM,2018,1329.6
BY-HM,2019,1495.2
BY-HM,2020,1753.4
BY-HM,2021,2024.1
BY-HM,2022,2255.1
BY-HM,2023,2569.1
BY-HM,2024,3024.7
BY-HM,2025,3460.8
BY-HO,2010,115.2295
BY-HO,2011,179.0042
BY-HO,2012,351.6754
BY-HO,2013,481.6332
BY-HO,2014,564.1865
BY-HO,2015,609.5879
BY-HO,2016,633.5
BY-HO,2017,722.9
BY-HO,2018,853.3
BY-HO,2019,955.8
BY-HO,2020,1079.4
BY-HO,2021,1248.5
BY-HO,2022,1424.7
BY-HO,2023,1696.7
BY-HO,2024,2016.6
BY-HO,2025,2357.5
BY-HR,2010,110.5195
BY-HR,2011,171.4805
BY-HR,2012,329.6849
BY-HR,2013,457.8849
BY-HR,2014,542.6829
BY-HR,2015,592.0433
BY-HR,2016,622.4
BY-HR,2017,703.2
BY-HR,2018,831.9
BY-HR,2019,931.3
BY-HR,2020,1062.1
BY-HR,2021,1216.7
BY-HR,2022,1412.2
BY-HR,2023,1682.2
BY-HR,2024,2010.0
BY-HR,2025,2359.7
BY-MA,2010,108.9999
BY-MA,2011,171.2756
BY-MA,2012,335.6449
BY-MA,2013,453.5622
BY-MA,2014,531.0695
BY-MA,2015,579.0861
BY-MA,2016,609.3
BY-MA,2017,690.4
BY-MA,2018,802.0
BY-MA,2019,891.6
BY-MA,2020,1010.0
BY-MA,2021,1147.3
BY-MA,2022,1305.9
BY-MA,2023,1564.0
BY-MA,2024,1895.1
BY-MA,2025,2243.5
BY-MI,2010,118.2097
BY-MI,2011,187.8295
BY-MI,2012,365.9952
BY-MI,2013,496.1523
BY-MI,2014,598.7224
BY-MI,2015,666.7886
BY-MI,2016,713.3
BY-MI,2017,812.9
BY-MI,2018,956.8
BY-MI,2019,1079.6
BY-MI,2020,1223.5
BY-MI,2021,1414.3
BY-MI,2022,1596.7
BY-MI,2023,1898.6
BY-MI,2024,2286.8
BY-MI,2025,2721.0
BY-VI,2010,108.9989
BY-VI,2011,170.9059
BY-VI,2012,331.337
BY-VI,2013,450.7326
BY-VI,2014,533.77
BY-VI,2015,580.5342
BY-VI,2016,613.4
BY-VI,2017,687.3
BY-VI,2018,814.4
BY-VI,2019,911.8
BY-VI,2020,1038.3
BY-VI,2021,1181.0
BY-VI,2022,1350.0
BY-VI,2023,1593.8
BY-VI,2024,1899.6
BY-VI,2025,2239.0
c-babrujsk,2010,112.0157
c-babrujsk,2011,180.6809
c-babrujsk,2012,361.0325
c-babrujsk,2013,470.202
c-babrujsk,2014,533.1112
c-babrujsk,2015,575.5011
c-babrujsk,2016,605.1
c-babrujsk,2017,691.0
c-babrujsk,2018,804.5
c-babrujsk,2019,863.5
c-babrujsk,2020,988.2
c-babrujsk,2021,1124.9
c-babrujsk,2022,1286.0
c-babrujsk,2023,1530.0
c-babrujsk,2024,1801.4
c-babrujsk,2025,2149.7
c-baranavichy,2010,111.7846
c-baranavichy,2011,171.299
c-baranavichy,2012,334.1961
c-baranavichy,2013,452.7033
c-baranavichy,2014,529.9508
c-baranavichy,2015,599.7537
c-baranavichy,2016,605.0
c-baranavichy,2017,685.5
c-baranavichy,2018,850.5
c-baranavichy,2019,922.4
c-baranavichy,2020,1027.3
c-baranavichy,2021,1169.8
c-baranavichy,2022,1342.5
c-baranavichy,2023,1591.6
c-baranavichy,2024,1879.0
c-baranavichy,2025,2234.5
c-brest,2010,125.4758
c-brest,2011,183.4345
c-brest,2012,349.4774
c-brest,2013,491.4518
c-brest,2014,602.4618
c-brest,2015,649.607
c-brest,2016,696.0
c-brest,2017,810.8
c-brest,2018,964.2
c-brest,2019,1056.6
c-brest,2020,1225.2
c-brest,2021,1409.6
c-brest,2022,1599.4
c-brest,2023,1912.0
c-brest,2024,2245.3
c-brest,2025,2710.5
c-homiel,2010,124.4216
c-homiel,2011,185.895
c-homiel,2012,363.7134
c-homiel,2013,512.1136
c-homiel,2014,601.3414
c-homiel,2015,647.5465
c-homiel,2016,674.1
c-homiel,2017,773.1
c-homiel,2018,901.7
c-homiel,2019,989.6
c-homiel,2020,1143.6
c-homiel,2021,1318.9
c-homiel,2022,1498.5
c-homiel,2023,1794.5
c-homiel,2024,2069.0
c-homiel,2025,2454.4
c-hrodna,2010,130.4463
c-hrodna,2011,203.277
c-hrodna,2012,376.4413
c-hrodna,2013,519.0111
c-hrodna,2014,625.3776
c-hrodna,2015,685.1751
c-hrodna,2016,721.5
c-hrodna,2017,808.8
c-hrodna,2018,964.9
c-hrodna,2019,1055.6
c-hrodna,2020,1211.5
c-hrodna,2021,1392.8
c-hrodna,2022,1594.6
c-hrodna,2023,1875.1
c-hrodna,2024,2168.8
c-hrodna,2025,2572.3
c-mahilou,2010,118.9865
c-mahilou,2011,184.2221
c-mahilou,2012,355.3784
c-mahilou,2013,487.4067
c-mahilou,2014,589.0671
c-mahilou,2015,640.3813
c-mahilou,2016,671.5
c-mahilou,2017,768.6
c-mahilou,2018,894.2
c-mahilou,2019,985.4
c-mahilou,2020,1126.3
c-mahilou,2021,1275.5
c-mahilou,2022,1449.8
c-mahilou,2023,1743.0
c-mahilou,2024,2070.7
c-mahilou,2025,2454.9
c-navapolack,2010,150.5931
c-navapolack,2011,237.3985
c-navapolack,2012,472.7836
c-navapolack,2013,637.9908
c-navapolack,2014,775.1621
c-navapolack,2015,801.9884
c-navapolack,2016,832.0
c-navapolack,2017,933.4
c-navapolack,2018,1068.0
c-navapolack,2019,1200.1
c-navapolack,2020,1411.6
c-navapolack,2021,1539.1
c-navapolack,2022,1689.0
c-navapolack,2023,2007.7
c-navapolack,2024,2265.5
c-navapolack,2025,2550.1
c-pinsk,2010,107.7079
c-pinsk,2011,164.9548
c-pinsk,2012,308.0462
c-pinsk,2013,433.158
c-pinsk,2014,520.2483
c-pinsk,2015,557.4904
c-pinsk,2016,594.8
c-pinsk,2017,682.7
c-pinsk,2018,794.7
c-pinsk,2019,884.0
c-pinsk,2020,1003.7
c-pinsk,2021,1167.3
c-pinsk,2022,1332.4
c-pinsk,2023,1565.3
c-pinsk,2024,1895.4
c-pinsk,2025,2222.0
c-viciebsk,2010,116.8088
c-viciebsk,2011,177.8173
c-viciebsk,2012,343.5645
c-viciebsk,2013,477.2284
c-viciebsk,2014,572.7909
c-viciebsk,2015,624.6789
c-viciebsk,2016,657.3
c-viciebsk,2017,744.9
c-viciebsk,2018,883.8
c-viciebsk,2019,971.1
c-viciebsk,2020,1113.3
c-viciebsk,2021,1270.0
c-viciebsk,2022,1458.7
c-viciebsk,2023,1726.7
c-viciebsk,2024,2007.1
c-viciebsk,2025,2403.3
c-zhodzina,2010,128.6134
c-zhodzina,2011,216.9792
c-zhodzina,2012,419.658
c-zhodzina,2013,514.1107
c-zhodzina,2014,602.7372
c-zhodzina,2015,634.6874
c-zhodzina,2016,720.6
c-zhodzina,2017,936.9
c-zhodzina,2018,1143.7
c-zhodzina,2019,1165.2
c-zhodzina,2020,1184.6
c-zhodzina,2021,1451.1
c-zhodzina,2022,1750.9
