country,year,age,birth_order,asfr_period
Belarus,1964,12-,1,0.0
Belarus,1964,12-,2,0.0
Belarus,1964,12-,3,0.0
Belarus,1964,12-,4,0.0
Belarus,1964,12-,5p,0.0
Belarus,1964,12-,total,0.0
Belarus,1964,20,1,0.10066
Belarus,1964,20,2,0.01494
Belarus,1964,20,3,0.00096
Belarus,1964,20,4,0.0
Belarus,1964,20,5p,0.0
Belarus,1964,20,total,0.11656
Belarus,1964,30,1,0.02285
Belarus,1964,30,2,0.04803
Belarus,1964,30,3,0.0338
Belarus,1964,30,4,0.01373
Belarus,1964,30,5p,0.00602
Belarus,1964,30,total,0.12443
Belarus,1964,40,1,0.0032
Belarus,1964,40,2,0.00458
Belarus,1964,40,3,0.0055
Belarus,1964,40,4,0.00447
Belarus,1964,40,5p,0.00995
Belarus,1964,40,total,0.02771
Belarus,1964,50,1,2e-05
Belarus,1964,50,2,2e-05
Belarus,1964,50,3,2e-05
Belarus,1964,50,4,6e-05
Belarus,1964,50,5p,0.00012
Belarus,1964,50,total,0.00025
Belarus,1964,55+,1,2e-05
Belarus,1964,55+,2,4e-05
Belarus,1964,55+,3,4e-05
Belarus,1964,55+,4,4e-05
Belarus,1964,55+,5p,6e-05
Belarus,1964,55+,total,0.0002
Belarus,1965,12-,1,0.0
Belarus,1965,12-,2,0.0
Belarus,1965,12-,3,0.0
Belarus,1965,12-,4,0.0
Belarus,1965,12-,5p,0.0
Belarus,1965,12-,total,0.0
Belarus,1965,20,1,0.08955
Belarus,1965,20,2,0.01232
Belarus,1965,20,3,0.00052
Belarus,1965,20,4,0.0
Belarus,1965,20,5p,0.0
Belarus,1965,20,total,0.10239
Belarus,1965,30,1,0.02426
Belarus,1965,30,2,0.04825
Belarus,1965,30,3,0.03335
Belarus,1965,30,4,0.01398
Belarus,1965,30,5p,0.00664
Belarus,1965,30,total,0.12649
Belarus,1965,40,1,0.00354
Belarus,1965,40,2,0.00395
Belarus,1965,40,3,0.00495
Belarus,1965,40,4,0.0044
Belarus,1965,40,5p,0.00907
Belarus,1965,40,total,0.02591
Belarus,1965,50,1,1e-05
Belarus,1965,50,2,1e-05
Belarus,1965,50,3,4e-05
Belarus,1965,50,4,3e-05
Belarus,1965,50,5p,9e-05
Belarus,1965,50,total,0.00017
Belarus,1965,55+,1,0.0
Belarus,1965,55+,2,0.0
Belarus,1965,55+,3,7e-05
Belarus,1965,55+,4,7e-05
Belarus,1965,55+,5p,0.00027
Belarus,1965,55+,total,0.00042
Belarus,1966,12-,1,0.0
Belarus,1966,12-,2,0.0
Belarus,1966,12-,3,0.0
Belarus,1966,12-,4,0.0
Belarus,1966,12-,5p,0.0
Belarus,1966,12-,total,0.0
Belarus,1966,20,1,0.09868
Belarus,1966,20,2,0.01453
Belarus,1966,20,3,0.00133
Belarus,1966,20,4,0.0
Belarus,1966,20,5p,0.0
Belarus,1966,20,total,0.11454
Belarus,1966,30,1,0.02228
Belarus,1966,30,2,0.04939
Belarus,1966,30,3,0.03255
Belarus,1966,30,4,0.0141
Belarus,1966,30,5p,0.00659
Belarus,1966,30,total,0.12491
Belarus,1966,40,1,0.0029
Belarus,1966,40,2,0.00406
Belarus,1966,40,3,0.0047
Belarus,1966,40,4,0.00439
Belarus,1966,40,5p,0.00992
Belarus,1966,40,total,0.02597
Belarus,1966,50,1,1e-05
Belarus,1966,50,2,0.0
Belarus,1966,50,3,4e-05
Belarus,1966,50,4,1e-05
Belarus,1966,50,5p,0.00033
Belarus,1966,50,total,0.00039
Belarus,1966,55+,1,0.0
Belarus,1966,55+,2,0.0
Belarus,1966,55+,3,0.0
Belarus,1966,55+,4,2e-05
Belarus,1966,55+,5p,0.0
Belarus,1966,55+,total,2e-05
Belarus,1967,12-,1,0.0
Belarus,1967,12-,2,0.0
Belarus,1967,12-,3,0.0
Belarus,1967,12-,4,0.0
Belarus,1967,12-,5p,0.0
Belarus,1967,12-,total,0.0
Belarus,1967,20,1,0.10104
Belarus,1967,20,2,0.01579
Belarus,1967,20,3,0.00097
Belarus,1967,20,4,0.0
Belarus,1967,20,5p,0.0
Belarus,1967,20,total,0.1178
Belarus,1967,30,1,0.02238
Belarus,1967,30,2,0.04664
Belarus,1967,30,3,0.0285
Belarus,1967,30,4,0.01138
Belarus,1967,30,5p,0.00543
Belarus,1967,30,total,0.11434
Belarus,1967,40,1,0.00261
Belarus,1967,40,2,0.004
Belarus,1967,40,3,0.00477
Belarus,1967,40,4,0.00427
Belarus,1967,40,5p,0.00902
Belarus,1967,40,total,0.02468
Belarus,1967,50,1,0.0
Belarus,1967,50,2,0.0
Belarus,1967,50,3,0.0
Belarus,1967,50,4,4e-05
Belarus,1967,50,5p,0.00011
Belarus,1967,50,total,0.00015
Belarus,1967,55+,1,0.0
Belarus,1967,55+,2,0.0
Belarus,1967,55+,3,2e-05
Belarus,1967,55+,4,0.0
Belarus,1967,55+,5p,0.0
Belarus,1967,55+,total,2e-05
Belarus,1968,12-,1,0.0
Belarus,1968,12-,2,0.0
