country,year,sex,age,type,central_death_rate,probability_of_death,average_survival_length,number_survivors,number_deaths,number_person_years_lived,number_person_years_remaining,life_expectancy
Belarus,1959,female,0,period,43.74,4.2289996,0.22,100000,4229,96686,7197231,71.97
Belarus,1959,female,1,period,6.72,0.66999996,0.5,95771,641,95450,7100545,74.14
Belarus,1959,female,1-4,period,2.8,1.1110001,1.19,95771,1064,380090,7100545,74.14
Belarus,1959,female,10,period,0.64,0.063999996,0.5,94367,60,94337,6247867,66.21
Belarus,1959,female,10-14,period,0.58,0.29,2.42,94367,274,471127,6247867,66.21
Belarus,1959,female,100,period,301.85,26.227001,0.5,1282,336,1114,3796,2.96
Belarus,1959,female,100-104,period,324.2,81.546005,1.95,1282,1046,3226,3796,2.96
Belarus,1959,female,101,period,317.87,27.428001,0.5,946,260,816,2682,2.83
Belarus,1959,female,102,period,334.34,28.645,0.5,687,197,588,1865,2.72
Belarus,1959,female,103,period,351.21,29.875002,0.5,490,146,417,1277,2.61
Belarus,1959,female,104,period,368.47,31.114,0.5,344,107,290,860,2.5
Belarus,1959,female,105,period,386.07,32.36,0.5,237,77,198,570,2.41
Belarus,1959,female,105-109,period,408.07,88.286,1.79,237,209,512,570,2.41
Belarus,1959,female,106,period,403.97,33.609,0.5,160,54,133,372,2.32
Belarus,1959,female,107,period,422.12997,34.856,0.5,106,37,88,239,2.24
Belarus,1959,female,108,period,440.51,36.1,0.5,69,25,57,151,2.18
Belarus,1959,female,109,period,459.05,37.335,0.5,44,17,36,94,2.13
Belarus,1959,female,11,period,0.56,0.056,0.5,94307,53,94280,6153530,65.25
Belarus,1959,female,110+,period,477.69998,100.0,2.09,28,28,58,58,2.09
Belarus,1959,female,12,period,0.63,0.063,0.5,94254,60,94224,6059250,64.29
Belarus,1959,female,13,period,0.53999996,0.053999998,0.5,94194,51,94168,5965026,63.33
Belarus,1959,female,14,period,0.53000003,0.053000003,0.5,94143,50,94118,5870858,62.36
Belarus,1959,female,15,period,0.6,0.060000002,0.5,94093,57,94064,5776740,61.39
Belarus,1959,female,15-19,period,0.77,0.382,2.71,94093,360,469641,5776740,61.39
Belarus,1959,female,16,period,0.73,0.07300001,0.5,94036,69,94002,5682675,60.43
Belarus,1959,female,17,period,0.66,0.066,0.5,93967,62,93936,5588674,59.47
Belarus,1959,female,18,period,0.92,0.092,0.5,93906,87,93862,5494737,58.51
Belarus,1959,female,19,period,0.92,0.092,0.5,93819,86,93776,5400875,57.57
