id,title,url,license,accessed,sha256,notes
fiscal_pilot_r-ushacki,"Пилот исполнения бюджета: r-ushacki (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-ushacki.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,d9bef78f3cd6c574fdaa7397569c746ed946dcda1fbbe84019e693f5bad13589,"29 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-bieshankovicki,"Пилот исполнения бюджета: r-bieshankovicki (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-bieshankovicki.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,7fff8209b74c7505011b43d199df504c44c44908a9bd06dd732099caa93c86d4,"26 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-karelicki,"Пилот исполнения бюджета: r-karelicki (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-karelicki.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,985a89eb2023abee46e67915df3a8307981d74dffb784148fd90b08f9b6b8279,"28 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-talachynski,"Пилот исполнения бюджета: r-talachynski (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-talachynski.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,5148128c706fb9978f626f90ae8159f98225171c2c8ae674c8da521ccd412afc,"26 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-uzdzienski,"Пилот исполнения бюджета: r-uzdzienski (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-uzdzienski.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,6be866a192b73cd3c8ea4ca64c493754439de6ac954a8fcd72139e270b997323,"16 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-astraviecki,"Пилот исполнения бюджета: r-astraviecki (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-astraviecki.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,95e505490cad7ac3b4fe5387f3a1695efc5c94ed6d350b9425de26cdc7db6ced,"36 цифр найдено, verify verdict=partially_reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-horacki,"Пилот исполнения бюджета: r-horacki (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-horacki.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,7276440c15b47a3d8467ff1ebfc3c6224ef32bdef7e1644c015c67073ce429ed,"38 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-biarozauski,"Пилот исполнения бюджета: r-biarozauski (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-biarozauski.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,75af9451857c4ff701984b1ea10a120260c34a08fdfc8b37d3bd84cb091a59fe,"19 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-zhlobinski,"Пилот исполнения бюджета: r-zhlobinski (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-zhlobinski.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,1659a9f1ef52796142d3e77c9842d2b2b7227ada7cb62a33c7e035d5bc2576da,"13 цифр найдено, verify verdict=partially_reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
fiscal_pilot_r-minski,"Пилот исполнения бюджета: r-minski (research+independent verify agents, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/r-minski.json,"свободный пересказ + прямые цитаты официальных документов (решения Советов депутатов/райисполкомов/Белстата)",2026-08-01,924fd855b317a9cd633fd6f29fbdc29adad21d91de477bc897b414f81c066f91,"9 цифр найдено, verify verdict=reliable; полные источники (URL/тип документа/год) - внутри файла, поле research.figures[].source_url"
oblast_school_stats_BY-BR,"Школьная/садовская статистика по районам, BY-BR (сайт областного управления Белстата, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/oblast_school_stats_BY-BR.json,"открытые данные Белстата (областные управления)",2026-08-01,9f596328cf2de27988432e0ea64ffa80a70f9ea3a2655e9e44aae5a2dd65ba03,"42 записей (годы/метрики/районы) - см. поле figures[] внутри файла"
oblast_school_stats_BY-VI,"Школьная/садовская статистика по районам, BY-VI (сайт областного управления Белстата, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/oblast_school_stats_BY-VI.json,"открытые данные Белстата (областные управления)",2026-08-01,8d80c3a84f012bd0adf34fb3dc61d157edd04355e7fd71203f0631c945876e91,"7 записей (годы/метрики/районы) - см. поле figures[] внутри файла"
oblast_school_stats_BY-HO,"Школьная/садовская статистика по районам, BY-HO (сайт областного управления Белстата, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/oblast_school_stats_BY-HO.json,"открытые данные Белстата (областные управления)",2026-08-01,ecd31f3eb2047a8654a117581f367e0d9725650470807614b58c6f25e1adf4ad,"32 записей (годы/метрики/районы) - см. поле figures[] внутри файла"
oblast_school_stats_BY-HR,"Школьная/садовская статистика по районам, BY-HR (сайт областного управления Белстата, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/oblast_school_stats_BY-HR.json,"открытые данные Белстата (областные управления)",2026-08-01,b8b57226f68cb12a959f3f4c4b6a12fad239006d1559b79c80cc6291fcb0e638,"52 записей (годы/метрики/районы) - см. поле figures[] внутри файла"
oblast_school_stats_BY-MI,"Школьная/садовская статистика по районам, BY-MI (сайт областного управления Белстата, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/oblast_school_stats_BY-MI.json,"открытые данные Белстата (областные управления)",2026-08-01,bd86c00300fb6b3936ecf8661f7c53b933f2d44ea2bc074d3b95ac6ea66c84ce,"49 записей (годы/метрики/районы) - см. поле figures[] внутри файла"
oblast_school_stats_BY-MA,"Школьная/садовская статистика по районам, BY-MA (сайт областного управления Белстата, INF-16 M1)",data/raw/fiscal_pilot_2026-08-01/oblast_school_stats_BY-MA.json,"открытые данные Белстата (областные управления)",2026-08-01,0137bfd5cd84a4ab2779f49321a0db188e27b5d31d5692feaa7149c576db1e5d,"17 записей (годы/метрики/районы) - см. поле figures[] внутри файла"
