raion,d_pop,d_light,agree,is_city_host
r-baranavicki,-5919.5,1153.0,False,True
r-brescki,24785.5,-3681.0,False,True
r-biarozauski,-5150.0,-401.0,True,False
r-hancavicki,-3700.0,-49.0,True,False
r-drahichynski,-4466.0,-120.0,True,False
r-zhabinkauski,-71.5,-432.0,True,False
r-ivanauski,-4335.5,-459.0,True,False
r-ivacevicki,-4617.0,-149.0,True,False
r-kamianiecki,-4433.0,40.0,False,False
r-kobrynski,-2455.0,-111.0,True,False
r-luniniecki,-5743.0,529.0,False,False
r-lachavicki,-5008.0,346.0,False,False
r-malarycki,-1378.5,165.0,False,False
r-pinski,-13942.5,661.0,False,True
r-pruzhanski,-6034.5,358.0,False,False
r-stolinski,-5928.0,395.0,False,False
r-arshanski,-14134.0,3737.0,False,True
r-bieshankovicki,-2653.5,115.0,False,False
r-braslauski,-3534.0,316.0,False,False
r-vierchniadzvinski,-3145.0,73.0,False,False
r-viciebski,-5983.5,-9288.0,True,True
r-haradocki,-2981.0,310.0,False,False
r-hlybocki,-4397.5,54.0,False,False
r-dokshycki,-3176.0,-17.0,True,False
r-dubrovienski,-1607.0,256.0,False,False
r-loznienski,-785.0,149.0,False,False
r-lepielski,-2442.5,-292.0,True,False
r-mijorski,-3435.0,301.0,False,False
r-pastauski,-3786.0,33.0,False,False
r-polacki,-14279.0,2892.0,False,True
r-rasonski,-1376.5,-83.0,True,False
r-siennienski,-3480.5,237.0,False,False
r-talachynski,-3466.0,162.0,False,False
r-ushacki,-2307.0,3.0,False,False
r-chashnicki,-4545.5,-24.0,True,False
r-sharkoushchynski,-2627.0,21.0,False,False
r-shumilinski,-1852.0,24.0,False,False
r-akciabrski,-1139.0,-184.0,True,False
r-brahinski,-1022.0,44.0,False,False
r-buda-kashalouski,-2430.0,448.0,False,False
r-vietkauski,-808.0,507.0,False,False
r-homielski,3678.5,-615.0,False,True
r-dobrushski,-2382.5,627.0,False,False
r-jelski,-1645.5,114.0,False,False
r-zhlobinski,-2155.0,-120.0,True,False
r-zhytkavicki,-4353.0,258.0,False,False
r-kalinkavicki,-4955.0,197.0,False,False
r-karmianski,-706.0,325.0,False,False
r-lelchycki,-1443.0,-24.0,True,False
r-lojeuski,-1619.5,-232.0,True,False
r-mazyrski,-2268.5,437.0,False,False
r-naraulanski,-360.0,173.0,False,False
r-pietrykauski,-4211.5,352.0,False,False
r-rahachouski,-6040.0,270.0,False,False
r-rechycki,-4090.0,389.0,False,False
r-svietlahorski,-7614.0,279.0,False,False
r-chojnicki,-1697.5,-17.0,True,False
r-chacherski,-546.5,182.0,False,False
r-astraviecki,4029.0,1279.0,True,False
r-ashmianski,-1168.5,174.0,False,False
r-bierastavicki,-1345.0,421.0,False,False
r-vaukavyski,-5296.5,939.0,False,False
r-voranauski,-4441.5,259.0,False,False
r-hrodzienski,8838.5,-179.0,False,True
r-dziatlauski,-2883.0,515.0,False,False
r-zelvienski,-3189.0,430.0,False,False
r-iujeuski,-4951.5,511.0,False,False
r-karelicki,-2906.5,524.0,False,False
r-lidski,1719.5,1332.0,True,False
r-mastouski,-3844.5,587.0,False,False
r-navahrudski,-4883.5,1132.0,False,False
r-svislacki,-3415.5,429.0,False,False
r-slonimski,-2667.5,259.0,False,False
r-smarhonski,-3384.5,1016.0,False,False
r-shchuchynski,-9062.0,503.0,False,False
r-barysauski,-10230.5,1607.0,False,False
r-biarezinski,-1006.0,782.0,False,False
r-valozhynski,-1219.0,701.0,False,False
r-vilejski,-2039.5,-277.0,True,False
r-dziarzhynski,8395.5,1053.0,True,False
r-kapylski,-2584.0,139.0,False,False
r-klecki,-3285.0,14.0,False,False
r-krupski,-1868.0,76.0,False,False
r-lahojski,3407.5,1690.0,True,False
r-lubanski,-3813.5,1437.0,False,False
r-maladziechanski,-4094.5,-124.0,True,False
r-minski,86711.0,4617.0,True,False
r-miadzielski,-2111.5,-408.0,True,False
r-niasvizhski,-651.5,76.0,False,False
r-puchavicki,1622.0,1300.0,True,False
r-salihorski,-4085.0,2642.0,False,False
r-slucki,-4486.5,418.0,False,False
r-smalavicki,11247.0,4122.0,True,True
r-staradarozhski,-708.5,-156.0,True,False
r-staubcouski,-2169.5,96.0,False,False
r-uzdzienski,733.5,347.0,True,False
r-chervienski,1038.0,751.0,True,False
r-asipovicki,-4649.5,448.0,False,False
r-babrujski,-5500.0,-362.0,True,True
r-bychauski,-2968.0,5.0,False,False
r-bialynicki,-2133.0,27.0,False,False
r-hluski,-2212.5,150.0,False,False
r-horacki,-4559.0,-939.0,True,False
r-drybinski,-1061.0,-11.0,True,False
r-kasciukovicki,-2532.5,-466.0,True,False
r-kirauski,-2838.5,440.0,False,False
r-klimavicki,-3451.0,-7.0,True,False
r-klichauski,-1664.0,70.0,False,False
r-krasnapolski,-1170.5,27.0,False,False
r-kruhlanski,-1574.0,44.0,False,False
r-krychauski,-4394.0,-622.0,True,False
r-mahilouski,-5387.5,-2509.0,True,True
r-mscislauski,-3833.5,-329.0,True,False
r-slauharadski,-1266.5,31.0,False,False
r-chocimski,-1780.5,5.0,False,False
r-chavuski,-2280.0,67.0,False,False
r-cherykauski,-1191.5,79.0,False,False
r-shklouski,-3876.0,-588.0,True,False
BY-HM,128966.5,-1776.0,False,False
