raion,highway_class,length_km
BY-HM,primary,272.244
BY-HM,primary_link,31.027
BY-HM,secondary,242.834
BY-HM,secondary_link,3.167
BY-HM,tertiary,160.684
BY-HM,tertiary_link,0.533
BY-HM,trunk,70.687
BY-HM,trunk_link,27.014
r-akciabrski,primary,67.264
r-akciabrski,secondary,115.22
r-akciabrski,tertiary,203.252
r-arshanski,motorway,50.48
r-arshanski,motorway_link,12.22
r-arshanski,primary,170.427
r-arshanski,primary_link,0.351
r-arshanski,secondary,23.207
r-arshanski,tertiary,604.802
r-arshanski,tertiary_link,0.339
r-arshanski,trunk,80.326
r-arshanski,trunk_link,11.522
r-ashmianski,primary,73.062
r-ashmianski,secondary,118.292
r-ashmianski,tertiary,469.371
r-ashmianski,trunk,41.645
r-ashmianski,trunk_link,2.588
r-asipovicki,primary,140.358
r-asipovicki,primary_link,0.79
r-asipovicki,secondary,51.862
r-asipovicki,secondary_link,0.03
r-asipovicki,tertiary,302.372
r-asipovicki,tertiary_link,0.035
r-asipovicki,trunk,101.844
r-asipovicki,trunk_link,7.648
r-astraviecki,primary,117.75
r-astraviecki,primary_link,0.46
r-astraviecki,secondary,96.572
r-astraviecki,tertiary,543.207
r-astraviecki,tertiary_link,0.303
r-babrujski,primary,162.377
r-babrujski,primary_link,6.675
r-babrujski,secondary,63.312
r-babrujski,secondary_link,2.148
r-babrujski,tertiary,452.062
r-babrujski,tertiary_link,0.054
r-babrujski,trunk,122.103
r-babrujski,trunk_link,24.286
r-baranavicki,motorway,140.726
r-baranavicki,motorway_link,11.243
r-baranavicki,primary,182.414
r-baranavicki,primary_link,1.356
r-baranavicki,secondary,153.445
r-baranavicki,secondary_link,0.978
r-baranavicki,tertiary,566.592
r-baranavicki,tertiary_link,0.226
r-barysauski,motorway,87.275
r-barysauski,motorway_link,10.841
r-barysauski,primary,149.919
r-barysauski,primary_link,3.087
r-barysauski,secondary,159.258
r-barysauski,secondary_link,0.054
r-barysauski,tertiary,589.998
r-barysauski,tertiary_link,0.757
r-bialynicki,primary,70.286
r-bialynicki,primary_link,1.049
r-bialynicki,secondary,24.033
r-bialynicki,tertiary,321.788
r-bialynicki,trunk,94.959
r-bialynicki,trunk_link,9.958
r-biarezinski,primary,113.388
r-biarezinski,primary_link,0.042
r-biarezinski,secondary,23.289
r-biarezinski,tertiary,466.342
r-biarezinski,tertiary_link,0.122
r-biarezinski,trunk,88.734
r-biarezinski,trunk_link,11.175
r-biarozauski,motorway,76.175
r-biarozauski,motorway_link,8.085
r-biarozauski,primary,119.483
r-biarozauski,primary_link,0.833
r-biarozauski,secondary,26.592
r-biarozauski,secondary_link,0.142
r-biarozauski,tertiary,377.193
r-biarozauski,tertiary_link,0.341
r-bierastavicki,primary,91.115
r-bierastavicki,primary_link,0.226
r-bierastavicki,secondary,14.173
r-bierastavicki,secondary_link,0.026
r-bierastavicki,tertiary,309.588
r-bierastavicki,tertiary_link,0.03
r-bieshankovicki,primary,84.776
r-bieshankovicki,secondary,15.755
r-bieshankovicki,tertiary,369.367
r-bieshankovicki,trunk,61.439
r-bieshankovicki,trunk_link,0.202
r-brahinski,primary,100.931
r-brahinski,primary_link,0.034
r-brahinski,secondary,27.61
r-brahinski,tertiary,248.566
r-brahinski,tertiary_link,0.082
r-braslauski,primary,133.163
r-braslauski,primary_link,0.108
r-braslauski,secondary,88.057
r-braslauski,tertiary,683.136
r-braslauski,tertiary_link,0.118
r-brescki,primary,156.545
r-brescki,primary_link,4.839
r-brescki,secondary,120.464
r-brescki,secondary_link,0.229
r-brescki,tertiary,478.11
r-brescki,tertiary_link,0.897
r-brescki,trunk,148.59
r-brescki,trunk_link,13.593
r-buda-kashalouski,primary,68.536
r-buda-kashalouski,primary_link,0.065
r-buda-kashalouski,tertiary,332.997
r-buda-kashalouski,tertiary_link,0.334
r-buda-kashalouski,trunk,106.813
r-buda-kashalouski,trunk_link,6.259
r-bychauski,primary,142.38
r-bychauski,primary_link,0.065
r-bychauski,secondary,21.644
r-bychauski,tertiary,327.266
r-bychauski,trunk,39.156
r-chacherski,primary,81.155
r-chacherski,tertiary,223.511
r-chacherski,trunk,14.589
r-chashnicki,primary,128.266
r-chashnicki,primary_link,0.076
r-chashnicki,secondary,33.251
r-chashnicki,tertiary,383.411
r-chashnicki,tertiary_link,0.084
r-chavuski,primary,121.396
r-chavuski,primary_link,0.144
r-chavuski,tertiary,353.885
r-chervienski,primary,51.268
r-chervienski,primary_link,0.033
r-chervienski,secondary,53.969
r-chervienski,tertiary,419.353
r-chervienski,tertiary_link,0.104
r-chervienski,trunk,104.027
r-chervienski,trunk_link,10.214
r-cherykauski,primary,89.822
r-cherykauski,primary_link,0.034
r-cherykauski,secondary,8.816
r-cherykauski,tertiary,147.782
r-chocimski,primary,58.895
r-chocimski,primary_link,0.045
r-chocimski,secondary,1.859
r-chocimski,tertiary,199.771
r-chojnicki,primary,64.075
r-chojnicki,primary_link,0.125
r-chojnicki,secondary,10.958
r-chojnicki,tertiary,271.466
r-chojnicki,tertiary_link,0.053
r-dobrushski,primary,74.445
r-dobrushski,primary_link,0.592
r-dobrushski,secondary,5.882
r-dobrushski,tertiary,259.89
r-dobrushski,trunk,31.538
r-dobrushski,trunk_link,0.037
r-dokshycki,primary,187.354
r-dokshycki,primary_link,0.042
r-dokshycki,secondary,30.069
r-dokshycki,secondary_link,0.161
r-dokshycki,tertiary,397.649
r-dokshycki,tertiary_link,1.577
r-dokshycki,trunk,31.801
r-drahichynski,primary,33.738
r-drahichynski,secondary,146.373
r-drahichynski,secondary_link,0.277
r-drahichynski,tertiary,499.96
r-drahichynski,tertiary_link,0.311
r-drahichynski,trunk,43.899
r-drahichynski,trunk_link,0.099
r-drybinski,primary,58.003
r-drybinski,secondary,17.849
r-drybinski,tertiary,121.918
r-dubrovienski,primary,50.679
r-dubrovienski,secondary,54.223
r-dubrovienski,tertiary,290.424
r-dubrovienski,trunk,79.348
r-dubrovienski,trunk_link,4.987
r-dziarzhynski,motorway,78.488
r-dziarzhynski,motorway_link,5.004
r-dziarzhynski,primary,73.582
r-dziarzhynski,primary_link,2.031
r-dziarzhynski,secondary,79.138
r-dziarzhynski,secondary_link,0.306
r-dziarzhynski,tertiary,514.42
r-dziarzhynski,tertiary_link,1.493
r-dziarzhynski,trunk,79.828
r-dziarzhynski,trunk_link,9.024
r-dziatlauski,primary,69.592
r-dziatlauski,primary_link,1.514
r-dziatlauski,secondary,19.274
r-dziatlauski,secondary_link,0.095
r-dziatlauski,tertiary,561.265
r-dziatlauski,tertiary_link,0.163
r-dziatlauski,trunk,43.817
r-hancavicki,primary,77.243
r-hancavicki,primary_link,0.327
r-hancavicki,secondary,83.215
r-hancavicki,tertiary,137.237
r-haradocki,primary,41.07
r-haradocki,secondary,35.941
r-haradocki,tertiary,691.329
r-haradocki,trunk,73.357
r-haradocki,trunk_link,0.294
r-hluski,primary,98.392
r-hluski,secondary,24.944
r-hluski,tertiary,293.515
r-hluski,tertiary_link,0.07
r-hlybocki,primary,103.306
r-hlybocki,primary_link,0.082
r-hlybocki,secondary,54.804
r-hlybocki,secondary_link,0.09
r-hlybocki,tertiary,448.783
r-homielski,primary,154.501
r-homielski,primary_link,5.813
r-homielski,secondary,94.055
r-homielski,secondary_link,0.151
r-homielski,tertiary,499.763
r-homielski,tertiary_link,0.57
r-homielski,trunk,172.337
r-homielski,trunk_link,10.964
r-horacki,primary,129.965
r-horacki,primary_link,0.035
r-horacki,secondary,43.365
r-horacki,tertiary,320.717
r-hrodzienski,primary,278.212
r-hrodzienski,primary_link,15.284
r-hrodzienski,secondary,143.612
r-hrodzienski,secondary_link,1.962
r-hrodzienski,tertiary,916.72
r-hrodzienski,tertiary_link,1.791
r-hrodzienski,trunk,113.113
r-hrodzienski,trunk_link,20.609
r-iujeuski,primary,87.935
r-iujeuski,primary_link,0.483
r-iujeuski,secondary,47.644
r-iujeuski,tertiary,597.373
r-iujeuski,tertiary_link,0.122
r-iujeuski,trunk,111.012
r-iujeuski,trunk_link,8.161
r-ivacevicki,motorway,94.646
r-ivacevicki,motorway_link,9.505
r-ivacevicki,primary,135.883
r-ivacevicki,primary_link,1.067
r-ivacevicki,secondary,12.098
r-ivacevicki,tertiary,388.612
r-ivacevicki,tertiary_link,0.199
r-ivacevicki,trunk,22.363
r-ivacevicki,trunk_link,0.164
r-ivanauski,primary,37.91
r-ivanauski,primary_link,0.047
r-ivanauski,secondary,58.967
r-ivanauski,secondary_link,0.215
r-ivanauski,tertiary,443.926
r-ivanauski,tertiary_link,0.476
r-ivanauski,trunk,28.736
r-ivanauski,trunk_link,0.679
r-jelski,primary,103.536
r-jelski,primary_link,0.029
r-jelski,secondary,53.637
r-jelski,tertiary,177.194
r-jelski,trunk,10.163
r-kalinkavicki,primary,101.847
r-kalinkavicki,primary_link,1.878
r-kalinkavicki,secondary,86.483
r-kalinkavicki,secondary_link,0.113
r-kalinkavicki,tertiary,476.678
r-kalinkavicki,tertiary_link,0.022
r-kalinkavicki,trunk,63.918
r-kalinkavicki,trunk_link,5.429
r-kamianiecki,primary,240.094
r-kamianiecki,primary_link,3.446
r-kamianiecki,secondary,82.185
r-kamianiecki,secondary_link,0.266
r-kamianiecki,tertiary,576.821
r-kamianiecki,tertiary_link,0.286
r-kapylski,primary,137.723
r-kapylski,primary_link,0.026
r-kapylski,secondary,193.671
r-kapylski,tertiary,540.826
r-karelicki,motorway,10.462
r-karelicki,motorway_link,0.767
r-karelicki,primary,50.613
r-karelicki,primary_link,0.16
r-karelicki,secondary,29.998
r-karelicki,secondary_link,0.021
r-karelicki,tertiary,434.764
r-karmianski,primary,36.371
r-karmianski,primary_link,0.068
r-karmianski,tertiary,218.633
r-kasciukovicki,primary,102.982
r-kasciukovicki,primary_link,0.451
r-kasciukovicki,secondary,8.031
r-kasciukovicki,tertiary,311.916
r-kirauski,primary,85.389
r-kirauski,primary_link,0.133
r-kirauski,secondary,41.793
r-kirauski,tertiary,286.405
r-kirauski,tertiary_link,0.08
r-kirauski,trunk,34.206
r-kirauski,trunk_link,1.862
r-klecki,primary,79.938
r-klecki,secondary,116.549
r-klecki,tertiary,256.652
r-klichauski,primary,80.219
r-klichauski,tertiary,387.606
r-klimavicki,primary,99.474
r-klimavicki,primary_link,0.318
r-klimavicki,tertiary,425.822
r-klimavicki,tertiary_link,1.382
r-klimavicki,trunk,3.445
r-kobrynski,motorway,60.541
r-kobrynski,motorway_link,3.853
r-kobrynski,primary,140.663
r-kobrynski,primary_link,1.27
r-kobrynski,secondary,68.392
r-kobrynski,tertiary,454.869
r-kobrynski,tertiary_link,0.73
r-kobrynski,trunk,88.85
r-kobrynski,trunk_link,14.177
r-krasnapolski,primary,62.927
r-krasnapolski,secondary,18.543
r-krasnapolski,tertiary,206.802
r-krasnapolski,tertiary_link,0.062
r-kruhlanski,primary,61.703
r-kruhlanski,tertiary,254.754
r-krupski,motorway,76.851
r-krupski,motorway_link,10.343
r-krupski,primary,90.941
r-krupski,primary_link,0.217
r-krupski,secondary,67.541
r-krupski,tertiary,458.857
r-krupski,tertiary_link,0.13
r-krychauski,primary,44.956
r-krychauski,secondary,23.16
r-krychauski,tertiary,224.404
r-lachavicki,primary,81.635
r-lachavicki,primary_link,0.543
r-lachavicki,secondary,11.46
r-lachavicki,tertiary,352.685
r-lachavicki,tertiary_link,0.09
r-lahojski,primary,162.714
r-lahojski,primary_link,0.586
r-lahojski,secondary,66.322
r-lahojski,secondary_link,0.089
r-lahojski,tertiary,611.581
r-lahojski,tertiary_link,0.662
r-lahojski,trunk,99.297
r-lahojski,trunk_link,11.95
r-lelchycki,primary,144.25
r-lelchycki,primary_link,0.102
r-lelchycki,secondary,30.173
r-lelchycki,tertiary,314.912
r-lelchycki,tertiary_link,0.342
