raion,epoch,grid_sum,official,pct_diff,pass
r-baranavicki,1975,244811.4,184915.1,32.39,False
r-brescki,1975,218459.4,194538.2,12.3,False
r-biarozauski,1975,75124.6,68660.7,9.41,False
r-hancavicki,1975,36862.2,35802.4,2.96,True
r-drahichynski,1975,49223.3,62700.8,-21.49,False
r-zhabinkauski,1975,23648.8,25204.4,-6.17,False
r-ivanauski,1975,51666.6,60505.4,-14.61,False
r-ivacevicki,1975,70174.2,72192.6,-2.8,True
r-kamianiecki,1975,43107.1,49900.3,-13.61,False
r-kobrynski,1975,88216.0,76750.3,14.94,False
r-luniniecki,1975,78829.0,79746.2,-1.15,True
r-lachavicki,1975,37637.1,46159.1,-18.46,False
r-malarycki,1975,26525.2,31196.0,-14.97,False
r-pinski,1975,234069.3,165775.2,41.2,False
r-pruzhanski,1975,67729.4,76740.1,-11.74,False
r-stolinski,1975,87606.3,102083.0,-14.18,False
r-arshanski,1975,192617.9,173755.3,10.86,False
r-bieshankovicki,1975,26791.4,32594.4,-17.8,False
r-braslauski,1975,41158.9,45737.4,-10.01,False
r-vierchniadzvinski,1975,34419.5,36242.8,-5.03,False
r-viciebski,1975,358822.6,326867.4,9.78,False
r-haradocki,1975,39651.5,42306.7,-6.28,False
r-hlybocki,1975,55329.4,58313.0,-5.12,False
r-dokshycki,1975,39582.4,46275.3,-14.46,False
r-dubrovienski,1975,25911.7,30314.6,-14.52,False
r-loznienski,1975,24186.2,26821.3,-9.82,False
r-lepielski,1975,47238.8,42806.8,10.35,False
r-mijorski,1975,37952.4,41320.8,-8.15,False
r-pastauski,1975,54006.6,59979.3,-9.96,False
r-polacki,1975,343872.3,171969.2,99.96,False
r-rasonski,1975,17529.5,16529.0,6.05,False
r-siennienski,1975,40247.0,47161.6,-14.66,False
r-talachynski,1975,41439.6,46995.0,-11.82,False
r-ushacki,1975,24886.0,28391.6,-12.35,False
r-chashnicki,1975,46385.1,46935.0,-1.17,True
r-sharkoushchynski,1975,27335.7,28836.8,-5.21,False
r-shumilinski,1975,30590.0,27994.3,9.27,False
r-akciabrski,1975,21552.2,23105.0,-6.72,False
r-brahinski,1975,43322.2,48131.6,-9.99,False
