zone_id,floor_radiance,bright_radiance,floor_max_nw
r-baranavicki,3233.0,2978.0,5.0
r-brescki,4244.0,10062.0,5.0
r-biarozauski,2019.0,1023.0,5.0
r-hancavicki,557.0,161.0,5.0
r-drahichynski,880.0,0.0,5.0
r-zhabinkauski,1117.0,179.0,5.0
r-ivanauski,1167.0,178.0,5.0
r-ivacevicki,1468.0,399.0,5.0
r-kamianiecki,1719.0,5.0,5.0
r-kobrynski,2225.0,637.0,5.0
r-luniniecki,1820.0,1152.0,5.0
r-lachavicki,786.0,0.0,5.0
r-malarycki,966.0,28.0,5.0
r-pinski,2796.0,1503.0,5.0
r-pruzhanski,2059.0,25.0,5.0
r-stolinski,2063.0,217.0,5.0
r-arshanski,5733.0,8062.0,5.0
r-bieshankovicki,604.0,20.0,5.0
r-braslauski,1444.0,162.0,5.0
r-vierchniadzvinski,1347.0,22.0,5.0
r-viciebski,6097.0,18307.0,5.0
r-haradocki,1214.0,223.0,5.0
r-hlybocki,1731.0,274.0,5.0
r-dokshycki,1546.0,182.0,5.0
r-dubrovienski,1385.0,326.0,5.0
r-loznienski,1488.0,158.0,5.0
r-lepielski,1336.0,567.0,5.0
r-mijorski,1024.0,335.0,5.0
r-pastauski,1732.0,210.0,5.0
r-polacki,5043.0,9701.0,5.0
r-rasonski,446.0,15.0,5.0
r-siennienski,1360.0,72.0,5.0
r-talachynski,1109.0,63.0,5.0
r-ushacki,329.0,16.0,5.0
r-chashnicki,1224.0,486.0,5.0
r-sharkoushchynski,677.0,208.0,5.0
r-shumilinski,973.0,190.0,5.0
r-akciabrski,1356.0,202.0,5.0
r-brahinski,966.0,49.0,5.0
r-buda-kashalouski,2316.0,121.0,5.0
r-vietkauski,1248.0,181.0,5.0
r-homielski,8112.0,11487.0,5.0
r-dobrushski,1581.0,219.0,5.0
r-jelski,993.0,5.0,5.0
r-zhlobinski,2726.0,3145.0,5.0
r-zhytkavicki,1232.0,115.0,5.0
r-kalinkavicki,3230.0,1141.0,5.0
r-karmianski,1172.0,155.0,5.0
r-lelchycki,860.0,48.0,5.0
r-lojeuski,904.0,20.0,5.0
r-mazyrski,3494.0,2980.0,5.0
r-naraulanski,670.0,33.0,5.0
r-pietrykauski,1025.0,249.0,5.0
r-rahachouski,2111.0,118.0,5.0
r-rechycki,3381.0,1205.0,5.0
r-svietlahorski,1965.0,1416.0,5.0
r-chojnicki,1084.0,86.0,5.0
r-chacherski,598.0,17.0,5.0
r-astraviecki,2137.0,1318.0,5.0
r-ashmianski,1275.0,995.0,5.0
r-bierastavicki,1327.0,202.0,5.0
r-vaukavyski,2236.0,1206.0,5.0
r-voranauski,1450.0,132.0,5.0
r-hrodzienski,7613.0,9360.0,5.0
r-dziatlauski,1659.0,221.0,5.0
r-zelvienski,1070.0,115.0,5.0
r-iujeuski,1491.0,94.0,5.0
r-karelicki,1449.0,224.0,5.0
r-lidski,2920.0,2196.0,5.0
r-mastouski,1003.0,393.0,5.0
r-navahrudski,1463.0,729.0,5.0
r-svislacki,1140.0,107.0,5.0
r-slonimski,1806.0,673.0,5.0
r-smarhonski,2204.0,967.0,5.0
r-shchuchynski,1905.0,247.0,5.0
r-barysauski,6707.0,5333.0,5.0
r-biarezinski,2306.0,228.0,5.0
r-valozhynski,2865.0,262.0,5.0
r-vilejski,3761.0,621.0,5.0
r-dziarzhynski,4167.0,2215.0,5.0
r-kapylski,2277.0,157.0,5.0
r-klecki,1649.0,234.0,5.0
r-krupski,2581.0,284.0,5.0
r-lahojski,5303.0,726.0,5.0
r-lubanski,2364.0,778.0,5.0
r-maladziechanski,4758.0,2254.0,5.0
r-minski,19286.0,53081.0,5.0
r-miadzielski,2881.0,129.0,5.0
r-niasvizhski,2595.0,686.0,5.0
r-puchavicki,4748.0,1453.0,5.0
r-salihorski,4652.0,3143.0,5.0
r-slucki,5547.0,1890.0,5.0
r-smalavicki,7958.0,4480.0,5.0
r-staradarozhski,1912.0,397.0,5.0
r-staubcouski,3156.0,642.0,5.0
r-uzdzienski,1692.0,246.0,5.0
r-chervienski,2636.0,451.0,5.0
r-asipovicki,1861.0,652.0,5.0
r-babrujski,2497.0,4419.0,5.0
r-bychauski,1019.0,501.0,5.0
r-bialynicki,926.0,85.0,5.0
r-hluski,361.0,5.0,5.0
r-horacki,1135.0,469.0,5.0
r-drybinski,294.0,61.0,5.0
r-kasciukovicki,997.0,386.0,5.0
r-kirauski,1414.0,542.0,5.0
r-klimavicki,1248.0,123.0,5.0
r-klichauski,690.0,48.0,5.0
r-krasnapolski,356.0,11.0,5.0
r-kruhlanski,546.0,10.0,5.0
r-krychauski,1221.0,490.0,5.0
r-mahilouski,6395.0,9702.0,5.0
r-mscislauski,913.0,95.0,5.0
r-slauharadski,516.0,71.0,5.0
r-chocimski,612.0,39.0,5.0
r-chavuski,608.0,111.0,5.0
r-cherykauski,474.0,96.0,5.0
r-shklouski,1705.0,349.0,5.0
BY-HM,132.0,50590.0,5.0
