id,title,url,license,accessed,sha256,notes
li_caldmsp_1992,Li et al. calDMSP 1992 (глобальный),https://ndownloader.figshare.com/files/17626052,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,0769de05f9b8db661fb498ccd4fd52ab7c2f510e8822bd05a5ec4888375e1136,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1992,Вырезка Беларуси calDMSP 1992,data/raw/nightlights/rasters/dmsp_1992.tif,CC BY 4.0,2026-07-14,7ef7437f8e1328958f565039133ee6548bb53489b0eac2d9f0722ce1078e8ccd,"1170x606, маска adm1 all_touched, вне страны 0; max DN 62"
li_caldmsp_1993,Li et al. calDMSP 1993 (глобальный),https://ndownloader.figshare.com/files/17626055,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,7bde6c215dd64f48bb030b95a2733b349eb797015c73a40e8b9672620b5c8e65,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1993,Вырезка Беларуси calDMSP 1993,data/raw/nightlights/rasters/dmsp_1993.tif,CC BY 4.0,2026-07-14,a8a60ccceaccc7078ef927be12b851b1698b484a4bd8ff964be2c7c657a30d09,"1170x606, маска adm1 all_touched, вне страны 0; max DN 62"
li_caldmsp_1994,Li et al. calDMSP 1994 (глобальный),https://ndownloader.figshare.com/files/17626061,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,49254234bf54875f0ec5177361b53e20660378c9a9090429118b6f4d76948e58,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1994,Вырезка Беларуси calDMSP 1994,data/raw/nightlights/rasters/dmsp_1994.tif,CC BY 4.0,2026-07-14,47b0edcee09856fe193cb2b52ab1b25340985ebde7f80f6a54f262bbc2104f14,"1170x606, маска adm1 all_touched, вне страны 0; max DN 62"
li_caldmsp_1995,Li et al. calDMSP 1995 (глобальный),https://ndownloader.figshare.com/files/17626067,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,cbb8c4270915b78741ace77a0c3c71822882a1492af381e61ad71a9d87e5de93,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1995,Вырезка Беларуси calDMSP 1995,data/raw/nightlights/rasters/dmsp_1995.tif,CC BY 4.0,2026-07-14,2ba8e219e7e240a16ab252562a4fc6bbcab62ff97f6f4c84440a3a5fe0bb5226,"1170x606, маска adm1 all_touched, вне страны 0; max DN 63"
li_caldmsp_1996,Li et al. calDMSP 1996 (глобальный),https://ndownloader.figshare.com/files/17626070,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,1383aae431e9a071aa1e37752bf7e67444feeb26b9e1609e94e3a91a00f192b4,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1996,Вырезка Беларуси calDMSP 1996,data/raw/nightlights/rasters/dmsp_1996.tif,CC BY 4.0,2026-07-14,227c75aca02bb5bfe1ae4f937f53d63eda63f9c5d702b720df9f8042e0571c8b,"1170x606, маска adm1 all_touched, вне страны 0; max DN 62"
li_caldmsp_1997,Li et al. calDMSP 1997 (глобальный),https://ndownloader.figshare.com/files/17626073,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,63ccd5e6ff6600e3285f476d9db5f3b74070506a1ea792e8575a6537eaeaaf08,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1997,Вырезка Беларуси calDMSP 1997,data/raw/nightlights/rasters/dmsp_1997.tif,CC BY 4.0,2026-07-14,3b837f745bbf10179d1edf9929897f8c2f37d17d5939064e8b52d7ef32028341,"1170x606, маска adm1 all_touched, вне страны 0; max DN 62"
li_caldmsp_1998,Li et al. calDMSP 1998 (глобальный),https://ndownloader.figshare.com/files/17626079,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,c0f57cccae6e3ac49d411aaf9faf59ea34e87f56d6e4f97c5ef316f0f9098a95,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_1998,Вырезка Беларуси calDMSP 1998,data/raw/nightlights/rasters/dmsp_1998.tif,CC BY 4.0,2026-07-14,4eb883380836d3bbb8eb453d181d7a620dd4b5b357824ec5b4c9e0fe1e5d81f1,"1170x606, маска adm1 all_touched, вне страны 0; max DN 62"
li_caldmsp_1999,Li et al. calDMSP 1999 (глобальный),https://ndownloader.figshare.com/files/17626082,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,da84e6ebd9287c026ec8a7cfa5bb3052dcc1012c5a07a26b76c0c4125b6ca874,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
