zone_id,year,dn_sum,lit_km2
r-baranavicki,1992,12989.0,441.093
r-brescki,1992,16707.0,541.72
r-biarozauski,1992,3891.0,167.015
r-hancavicki,1992,927.0,48.442
r-drahichynski,1992,581.0,35.327
r-zhabinkauski,1992,1579.0,92.846
r-ivanauski,1992,621.0,30.626
r-ivacevicki,1992,3268.0,149.605
r-kamianiecki,1992,3661.0,226.776
r-kobrynski,1992,3178.0,122.822
r-luniniecki,1992,6339.0,236.567
r-lachavicki,1992,1335.0,80.163
r-malarycki,1992,1067.0,63.393
r-pinski,1992,5032.0,141.511
r-pruzhanski,1992,2622.0,155.165
r-stolinski,1992,1278.0,67.322
r-arshanski,1992,28946.0,1137.526
r-bieshankovicki,1992,1284.0,67.992
r-braslauski,1992,1614.0,81.843
r-vierchniadzvinski,1992,2761.0,132.111
r-viciebski,1992,32519.0,1019.187
r-haradocki,1992,3259.0,131.882
r-hlybocki,1992,4812.0,235.032
r-dokshycki,1992,3401.0,167.21
r-dubrovienski,1992,4724.0,245.236
r-loznienski,1992,5442.0,304.657
r-lepielski,1992,4097.0,162.316
r-mijorski,1992,2335.0,111.835
r-pastauski,1992,4137.0,207.657
r-polacki,1992,22847.0,611.193
r-rasonski,1992,904.0,39.554
r-siennienski,1992,3667.0,196.922
r-talachynski,1992,8128.0,422.358
r-ushacki,1992,664.0,34.877
r-chashnicki,1992,4339.0,161.417
r-sharkoushchynski,1992,1121.0,50.36
r-shumilinski,1992,2629.0,112.721
r-akciabrski,1992,1788.0,108.079
r-brahinski,1992,1702.0,123.38
r-buda-kashalouski,1992,8391.0,518.202
r-vietkauski,1992,3789.0,228.741
r-homielski,1992,40218.0,1292.5
r-dobrushski,1992,13468.0,718.923
r-jelski,1992,1367.0,86.178
r-zhlobinski,1992,11336.0,499.103
r-zhytkavicki,1992,1098.0,54.327
r-kalinkavicki,1992,6888.0,400.279
r-karmianski,1992,1779.0,98.564
r-lelchycki,1992,827.0,48.016
r-lojeuski,1992,1127.0,72.163
r-mazyrski,1992,13309.0,458.967
r-naraulanski,1992,1077.0,63.926
r-pietrykauski,1992,2392.0,160.771
r-rahachouski,1992,11497.0,680.066
r-rechycki,1992,12991.0,578.619
r-svietlahorski,1992,9608.0,409.342
r-chojnicki,1992,3145.0,178.412
r-chacherski,1992,1473.0,87.17
r-astraviecki,1992,523.0,28.361
r-ashmianski,1992,1662.0,64.071
r-bierastavicki,1992,2097.0,149.795
r-vaukavyski,1992,7070.0,372.083
