zone_id,year,radiance,lit_px
r-baranavicki,2015,112126.518,21659
r-brescki,2015,275669.534,39929
r-biarozauski,2015,42492.849,12679
r-hancavicki,2015,7341.691,2318
r-drahichynski,2015,4609.331,2482
r-zhabinkauski,2015,17937.529,5865
r-ivanauski,2015,18136.254,4863
r-ivacevicki,2015,26270.888,7739
r-kamianiecki,2015,11374.878,5674
r-kobrynski,2015,38618.952,11405
r-luniniecki,2015,46450.367,10743
r-lachavicki,2015,3583.4,2055
r-malarycki,2015,7574.753,3320
r-pinski,2015,53536.153,13908
r-pruzhanski,2015,13135.06,7034
r-stolinski,2015,14104.083,8271
r-arshanski,2015,146616.208,26421
r-bieshankovicki,2015,1826.056,1236
r-braslauski,2015,3884.198,1485
r-vierchniadzvinski,2015,7462.039,3846
r-viciebski,2015,443661.919,54300
r-haradocki,2015,8939.754,4120
r-hlybocki,2015,10982.148,3788
r-dokshycki,2015,12914.946,4898
r-dubrovienski,2015,8761.838,3526
r-loznienski,2015,12072.171,3908
r-lepielski,2015,25404.233,7068
r-mijorski,2015,6123.122,2715
r-pastauski,2015,10306.312,4098
r-polacki,2015,202429.99,35750
r-rasonski,2015,1833.687,964
r-siennienski,2015,8350.591,3580
r-talachynski,2015,9672.956,4913
r-ushacki,2015,672.055,509
r-chashnicki,2015,12740.388,4092
r-sharkoushchynski,2015,3282.677,1315
r-shumilinski,2015,7669.167,3073
r-akciabrski,2015,7098.974,3041
r-brahinski,2015,1244.107,842
r-buda-kashalouski,2015,14593.639,6428
r-vietkauski,2015,4585.694,2717
r-homielski,2015,367960.463,63599
r-dobrushski,2015,9147.513,4293
r-jelski,2015,9010.386,2783
r-zhlobinski,2015,117139.614,16221
r-zhytkavicki,2015,5489.49,3184
r-kalinkavicki,2015,17872.093,5230
r-karmianski,2015,6563.97,2743
r-lelchycki,2015,5536.927,2087
r-lojeuski,2015,4249.333,2606
r-mazyrski,2015,153462.383,28182
r-naraulanski,2015,2500.761,1516
r-pietrykauski,2015,4956.949,2587
r-rahachouski,2015,12762.463,5371
r-rechycki,2015,46680.401,15016
r-svietlahorski,2015,49194.941,12256
r-chojnicki,2015,6466.353,2400
r-chacherski,2015,2908.294,1331
r-astraviecki,2015,49011.269,9059
r-ashmianski,2015,9575.103,4000
r-bierastavicki,2015,5192.579,2210
r-vaukavyski,2015,27539.672,8341
r-voranauski,2015,5225.28,3177
r-hrodzienski,2015,256216.212,44913
r-dziatlauski,2015,8327.918,2617
r-zelvienski,2015,2467.581,1108
r-iujeuski,2015,7958.345,3572
r-karelicki,2015,2120.329,1304
r-lidski,2015,48538.427,13392
r-mastouski,2015,10129.058,3732
r-navahrudski,2015,12996.853,4219
r-svislacki,2015,3228.682,1860
r-slonimski,2015,40727.329,10968
r-smarhonski,2015,18031.818,5656
r-shchuchynski,2015,9980.271,4733
r-barysauski,2015,179540.431,34214
r-biarezinski,2015,7969.013,3872
r-valozhynski,2015,12854.325,5998
r-vilejski,2015,18995.82,9082
r-dziarzhynski,2015,100312.854,19731
r-kapylski,2015,8212.743,3895
r-klecki,2015,4849.893,3009
r-krupski,2015,14782.721,6775
r-lahojski,2015,31088.975,12960
r-lubanski,2015,13099.694,3990
r-maladziechanski,2015,68161.852,16047
r-minski,2015,825215.992,164429
r-miadzielski,2015,4935.994,3114
r-niasvizhski,2015,33021.895,10631
r-puchavicki,2015,48143.182,14471
r-salihorski,2015,90363.061,19209
r-slucki,2015,43024.427,11849
r-smalavicki,2015,115211.783,37539
