zone_id,year,dn_sum,lit_km2
r-baranavicki,2013,16785.0,687.486
r-brescki,2013,30382.0,912.334
r-biarozauski,2013,9337.0,461.409
r-hancavicki,2013,1929.0,101.021
r-drahichynski,2013,1703.0,133.949
r-zhabinkauski,2013,4442.0,253.867
r-ivanauski,2013,4228.0,219.269
r-ivacevicki,2013,8426.0,540.829
r-kamianiecki,2013,5453.0,405.953
r-kobrynski,2013,7151.0,341.579
r-luniniecki,2013,7811.0,414.08
r-lachavicki,2013,1890.0,139.66
r-malarycki,2013,2944.0,224.253
r-pinski,2013,11016.0,510.771
r-pruzhanski,2013,7988.0,638.878
r-stolinski,2013,6848.0,524.642
r-arshanski,2013,19574.0,700.316
r-bieshankovicki,2013,799.0,63.111
r-braslauski,2013,1902.0,133.358
r-vierchniadzvinski,2013,2915.0,208.248
r-viciebski,2013,47474.0,1117.244
r-haradocki,2013,2273.0,164.275
r-hlybocki,2013,4838.0,265.634
r-dokshycki,2013,4941.0,308.4
r-dubrovienski,2013,5320.0,305.206
r-loznienski,2013,5148.0,333.882
r-lepielski,2013,6588.0,268.628
r-mijorski,2013,2145.0,144.333
r-pastauski,2013,3369.0,197.368
r-polacki,2013,23570.0,679.428
r-rasonski,2013,1330.0,81.987
r-siennienski,2013,3113.0,203.314
r-talachynski,2013,3403.0,241.205
r-ushacki,2013,572.0,43.243
r-chashnicki,2013,3992.0,225.542
r-sharkoushchynski,2013,1133.0,66.515
r-shumilinski,2013,3035.0,195.949
r-akciabrski,2013,2751.0,194.769
r-brahinski,2013,1768.0,150.476
r-buda-kashalouski,2013,3035.0,215.102
r-vietkauski,2013,1918.0,155.798
r-homielski,2013,40031.0,1403.213
r-dobrushski,2013,3076.0,245.132
r-jelski,2013,2182.0,143.241
r-zhlobinski,2013,12136.0,371.878
r-zhytkavicki,2013,3688.0,301.146
r-kalinkavicki,2013,5082.0,305.794
r-karmianski,2013,1868.0,131.193
r-lelchycki,2013,1408.0,103.453
r-lojeuski,2013,3503.0,270.414
r-mazyrski,2013,15181.0,456.486
r-naraulanski,2013,1541.0,104.823
r-pietrykauski,2013,3220.0,264.815
r-rahachouski,2013,3684.0,250.139
r-rechycki,2013,11711.0,679.532
r-svietlahorski,2013,11116.0,645.942
r-chojnicki,2013,1533.0,115.269
r-chacherski,2013,1031.0,85.145
r-astraviecki,2013,6333.0,399.924
r-ashmianski,2013,2841.0,187.273
r-bierastavicki,2013,3366.0,265.263
r-vaukavyski,2013,5823.0,332.546
r-voranauski,2013,4334.0,333.412
r-hrodzienski,2013,30946.0,1161.064
r-dziatlauski,2013,1971.0,145.011
r-zelvienski,2013,741.0,57.286
r-iujeuski,2013,2495.0,180.039
r-karelicki,2013,2246.0,182.751
r-lidski,2013,8832.0,400.006
r-mastouski,2013,2781.0,206.649
r-navahrudski,2013,3714.0,225.336
r-svislacki,2013,1665.0,133.173
r-slonimski,2013,6874.0,315.393
r-smarhonski,2013,4994.0,293.54
r-shchuchynski,2013,4638.0,334.445
r-barysauski,2013,26938.0,1190.111
r-biarezinski,2013,5305.0,345.67
r-valozhynski,2013,5205.0,383.585
r-vilejski,2013,10497.0,730.247
r-dziarzhynski,2013,13649.0,536.739
r-kapylski,2013,9971.0,749.677
r-klecki,2013,4862.0,376.739
r-krupski,2013,7918.0,551.471
r-lahojski,2013,12574.0,805.835
r-lubanski,2013,3184.0,202.767
r-maladziechanski,2013,14078.0,645.18
r-minski,2013,108434.0,1888.343
r-miadzielski,2013,5528.0,416.014
r-niasvizhski,2013,8512.0,446.919
r-puchavicki,2013,11216.0,626.859
r-salihorski,2013,14340.0,591.339
r-slucki,2013,10159.0,577.601
r-smalavicki,2013,25580.0,986.565
r-staradarozhski,2013,5240.0,346.728
r-staubcouski,2013,4449.0,269.998
r-uzdzienski,2013,3926.0,279.01
r-chervienski,2013,4550.0,280.34
r-asipovicki,2013,5145.0,325.731
r-babrujski,2013,11400.0,377.831
r-bychauski,2013,2046.0,136.084
r-bialynicki,2013,2538.0,195.385
r-hluski,2013,794.0,62.82
r-horacki,2013,4485.0,196.9
r-drybinski,2013,420.0,35.308
r-kasciukovicki,2013,3438.0,151.951
r-kirauski,2013,2073.0,141.128
r-klimavicki,2013,1730.0,118.489
r-klichauski,2013,1775.0,146.073
r-krasnapolski,2013,566.0,44.826
r-kruhlanski,2013,643.0,49.784
r-krychauski,2013,5448.0,265.752
r-mahilouski,2013,28616.0,938.201
r-mscislauski,2013,6204.0,473.095
r-slauharadski,2013,1020.0,71.761
r-chocimski,2013,688.0,53.86
r-chavuski,2013,1743.0,137.762
r-cherykauski,2013,494.0,39.864
r-shklouski,2013,5724.0,314.608
BY-HM,2013,26359.0,215.072
BY,2013,935045.0,42110.36
r-baranavicki,2014,11348.0,332.983
r-brescki,2014,24393.0,578.03
r-biarozauski,2014,5905.0,203.717
r-hancavicki,2014,918.0,32.301
r-drahichynski,2014,792.0,50.075
r-zhabinkauski,2014,2876.0,138.796
r-ivanauski,2014,2499.0,93.316
r-ivacevicki,2014,4913.0,222.553
r-kamianiecki,2014,1289.0,85.071
r-kobrynski,2014,4866.0,177.713
r-luniniecki,2014,5065.0,170.231
r-lachavicki,2014,1144.0,78.664
r-malarycki,2014,786.0,52.739
r-pinski,2014,11949.0,427.102
r-pruzhanski,2014,2362.0,164.442
r-stolinski,2014,3703.0,225.229
r-arshanski,2014,13624.0,401.61
r-bieshankovicki,2014,492.0,38.42
r-braslauski,2014,518.0,28.666
r-vierchniadzvinski,2014,1206.0,71.17
r-viciebski,2014,33443.0,779.964
r-haradocki,2014,1414.0,77.415
r-hlybocki,2014,1810.0,76.237
r-dokshycki,2014,1487.0,58.463
r-dubrovienski,2014,2504.0,90.121
r-loznienski,2014,2280.0,109.484
r-lepielski,2014,3497.0,110.354
r-mijorski,2014,904.0,48.115
r-pastauski,2014,1052.0,47.734
r-polacki,2014,21257.0,414.823
r-rasonski,2014,238.0,13.025
r-siennienski,2014,1133.0,54.548
r-talachynski,2014,1275.0,83.595
r-ushacki,2014,197.0,12.777
r-chashnicki,2014,1858.0,69.087
r-sharkoushchynski,2014,404.0,21.03
r-shumilinski,2014,1059.0,54.372
r-akciabrski,2014,1168.0,61.643
r-brahinski,2014,551.0,43.793
r-buda-kashalouski,2014,2029.0,118.002
