zone_id,year,radiance,lit_km2
r-baranavicki,2012,4450.0,211.117
r-brescki,2012,15263.0,427.788
r-biarozauski,2012,2746.0,176.634
r-hancavicki,2012,433.0,30.998
r-drahichynski,2012,534.0,49.586
r-zhabinkauski,2012,1471.0,105.27
r-ivanauski,2012,1372.0,95.851
r-ivacevicki,2012,1592.0,131.094
r-kamianiecki,2012,1161.0,108.076
r-kobrynski,2012,2302.0,141.859
r-luniniecki,2012,1783.0,124.617
r-lachavicki,2012,229.0,24.715
r-malarycki,2012,521.0,50.995
r-pinski,2012,2786.0,190.596
r-pruzhanski,2012,1322.0,137.742
r-stolinski,2012,944.0,111.189
r-arshanski,2012,7240.0,235.06
r-bieshankovicki,2012,172.0,20.088
r-braslauski,2012,360.0,34.313
r-vierchniadzvinski,2012,650.0,62.834
r-viciebski,2012,27053.0,398.791
r-haradocki,2012,435.0,41.151
r-hlybocki,2012,1051.0,70.323
r-dokshycki,2012,849.0,51.31
r-dubrovienski,2012,822.0,57.765
r-loznienski,2012,693.0,45.373
r-lepielski,2012,1775.0,79.046
r-mijorski,2012,400.0,29.543
r-pastauski,2012,635.0,52.665
r-polacki,2012,8380.0,256.106
r-rasonski,2012,253.0,15.929
r-siennienski,2012,597.0,45.487
r-talachynski,2012,619.0,52.943
r-ushacki,2012,114.0,11.916
r-chashnicki,2012,760.0,48.338
r-sharkoushchynski,2012,254.0,20.419
r-shumilinski,2012,539.0,38.088
r-akciabrski,2012,582.0,52.881
r-brahinski,2012,180.0,20.825
r-buda-kashalouski,2012,1206.0,119.115
r-vietkauski,2012,566.0,65.002
r-homielski,2012,17577.0,601.502
r-dobrushski,2012,751.0,71.153
r-jelski,2012,435.0,39.411
r-zhlobinski,2012,4695.0,185.07
r-zhytkavicki,2012,350.0,40.625
r-kalinkavicki,2012,1005.0,72.158
r-karmianski,2012,480.0,44.806
r-lelchycki,2012,344.0,34.1
r-lojeuski,2012,538.0,45.992
r-mazyrski,2012,4683.0,271.033
r-naraulanski,2012,182.0,20.896
r-pietrykauski,2012,447.0,48.795
r-rahachouski,2012,893.0,76.602
r-rechycki,2012,2959.0,205.97
r-svietlahorski,2012,2673.0,173.887
r-chojnicki,2012,450.0,44.078
r-chacherski,2012,137.0,15.051
r-astraviecki,2012,1231.0,80.856
r-ashmianski,2012,717.0,55.939
r-bierastavicki,2012,582.0,52.555
r-vaukavyski,2012,1855.0,136.21
r-voranauski,2012,635.0,66.716
r-hrodzienski,2012,14226.0,518.942
r-dziatlauski,2012,356.0,36.914
r-zelvienski,2012,209.0,23.226
r-iujeuski,2012,513.0,49.834
r-karelicki,2012,379.0,46.084
r-lidski,2012,2838.0,155.54
r-mastouski,2012,646.0,63.07
r-navahrudski,2012,452.0,32.796
r-svislacki,2012,333.0,34.978
r-slonimski,2012,2013.0,139.551
r-smarhonski,2012,1135.0,86.839
r-shchuchynski,2012,1014.0,102.382
r-barysauski,2012,7128.0,317.797
r-biarezinski,2012,848.0,59.574
r-valozhynski,2012,678.0,67.962
r-vilejski,2012,1341.0,125.723
r-dziarzhynski,2012,3137.0,179.887
r-kapylski,2012,1029.0,101.13
