category,lat,lon
station,55.4708831,30.0048825
station,55.5036833,29.9638677
station,55.6764955,29.9779673
station,53.8905701,27.5490868
station,55.0447227,30.1682249
station,55.3560431,30.0895056
station,55.3288609,30.0882566
station,55.2553399,30.1123772
station,55.2128512,30.1302310
station,55.5845695,28.5964386
station,55.4497850,28.9436801
station,55.6037838,29.0413050
station,54.2455296,25.3530183
station,53.9068666,27.4368467
station,53.9062312,27.4539802
station,53.9084273,27.4795368
station,53.9096710,27.4977357
station,53.9058375,27.5540258
station,53.8938442,27.5709184
station,53.8902509,27.5864709
station,53.8899194,27.6145005
station,53.8692203,27.6479536
station,53.8619910,27.6742453
shop_grocery,52.6623678,29.6256456
shop_grocery,53.9224262,27.5143590
station,55.2570705,28.1747494
station,53.8762966,27.6288809
bank,53.9116063,27.5794198
post_office,53.8691780,27.6505669
bank,53.8692759,27.6502133
shop_grocery,53.9310650,27.4905605
bank,53.9087668,27.4736411
post_office,53.9087678,27.4737078
shop_grocery,53.9099277,27.5370581
bank,53.9108096,27.5396696
cafe,53.9081166,27.5294772
shop_grocery,53.8820205,27.4336230
shop_grocery,53.8827134,27.4540862
shop_grocery,53.8816954,27.4411203
shop_grocery,53.8818125,27.4391791
cafe,53.8945091,27.4347406
post_office,53.8818438,27.4329818
post_office,53.8576859,27.6156676
shop_grocery,53.8553040,27.6125996
shop_grocery,53.8537811,27.6138252
shop_grocery,53.8547272,27.6080195
shop_grocery,53.9069843,27.4524138
station,53.9066349,27.5229027
cafe,53.8847402,27.5891271
station,51.9858267,23.7001625
station,52.2175186,24.0919700
station,52.2542097,24.1240621
station,53.4302566,24.4560613
station,53.7869821,25.1796210
station,53.7531797,25.3819333
station,53.9999700,25.7110465
station,54.9877200,26.1648212
station,54.4961236,26.2695836
station,52.2886143,26.6706138
station,52.2824158,26.7128223
station,54.4567566,26.4566856
station,54.1014019,27.1581880
station,52.8091742,27.5732119
station,54.8205005,27.4615551
station,53.7446674,27.3349492
station,53.5722067,27.9406866
station,52.2530315,28.0013770
station,53.7685714,27.6535368
station,53.3740314,28.3413729
station,52.7065950,28.8968740
station,54.8754730,28.6910418
station,52.9894626,29.1533636
station,52.9521027,29.1132022
station,54.8743214,28.9304728
station,54.8670270,29.0503004
station,52.8539765,29.0497660
station,52.8126388,29.0404151
station,52.7466317,28.9304564
station,52.7749915,28.9559430
station,52.5484425,29.6289125
station,52.4071323,29.5000293
station,54.6361692,30.0504063
station,53.0714655,30.0093283
station,52.3320152,30.1141959
station,54.6527553,29.9951139
station,54.5501810,30.3260958
station,54.2735860,30.2521889
station,54.5881819,30.2641797
station,54.5714351,30.2712983
station,54.5492256,30.4217339
station,54.3794621,30.6592362
station,53.9409562,27.3469750
station,53.4495749,32.0408556
station,53.8364578,27.4787420
station,53.8154926,27.4534849
station,53.8643924,31.5654078
station,53.7618307,31.6456233
station,54.1298069,31.1963332
station,54.6826624,31.0373439
station,53.1542457,24.4490908
station,53.5937660,24.8529176
fap,53.8951530,27.6288870
fap,53.8886646,27.6220663
sports_centre,53.9359564,27.5798776
cafe,53.8725929,27.5603461
station,53.9009334,27.5618112
sports_centre,53.8887764,27.4320702
restaurant,53.9112410,27.5431135
shop_grocery,53.8859085,27.4387213
station,53.7773206,27.3888728
station,53.9053364,27.5393148
shop_grocery,53.8881175,27.4232907
station,53.4824032,26.7560125
fap,53.5185788,28.1558292
shop_grocery,53.8888822,27.4407276
shop_grocery,53.8841103,27.4314462
bank,53.8867861,27.4279828
bank,53.9138292,27.5845943
bank,53.9099746,27.5763892
shop_grocery,53.9063977,27.5868704
shop_grocery,53.9109876,27.5947736
shop_grocery,53.9145917,27.5828859
shop_grocery,53.8701344,27.6037154
post_office,53.8586942,27.6338409
shop_grocery,53.8749070,27.6245972
bank,53.8591531,27.5918427
shop_grocery,53.9121757,27.5800847
shop_grocery,53.9099786,27.5783597
shop_grocery,53.9079124,27.5757508
shop_grocery,53.9092426,27.5739951
shop_grocery,53.9127661,27.5691479
bank,53.9130133,27.5684927
cafe,53.9092316,27.5798730
shop_grocery,53.9040019,27.5987503
shop_grocery,53.9054731,27.5801259
shop_grocery,53.9032881,27.5816158
post_office,53.9082000,27.5820292
shop_grocery,53.9088304,27.5807611
cafe,53.9095621,27.5807113
bank,53.9126740,27.5713887
shop_grocery,53.9230875,27.6069195
shop_grocery,53.9119227,27.5646817
shop_grocery,53.9190610,27.5534409
post_office,53.9196340,27.5656341
post_office,53.8766287,27.4980616
shop_grocery,53.8803068,27.4316719
shop_grocery,53.8710070,27.4191584
shop_grocery,53.8922735,27.5521240
shop_grocery,53.8915336,27.5571798
cafe,53.9012831,27.5598328
post_office,53.8891036,27.5502886
cafe,53.9006989,27.5514891
shop_grocery,53.8995576,27.5755546
post_office,53.8977420,27.5793607
bank,53.9010438,27.6016368
shop_grocery,53.8992525,27.6045261
shop_grocery,53.8883100,27.6160495
school,53.9103062,27.5898314
shop_grocery,53.8735772,27.6292011
