Entity,Code,Year,Total,Total (Projected),Ages 65+,Ages 65+ (Projected),Ages 25-64,Ages 25-64 (Projected),Under-25s (Projected),Under-25s,Under-15s,Under-15s (Projected),Under-5s,Under-5s (Projected)
Belarus,BLR,1950,7127595,,535572,,2990066,,,3601603,2146325,,763194,
Belarus,BLR,1951,7189431,,524759,,3057405,,,3606923,2137428,,782103,
Belarus,BLR,1952,7264611,,517046,,3130112,,,3617119,2134935,,799094,
Belarus,BLR,1953,7350643,,518722,,3206904,,,3624694,2135252,,809570,
Belarus,BLR,1954,7448883,,523966,,3286235,,,3638368,2145877,,818778,
Belarus,BLR,1955,7560678,,528267,,3373194,,,3658913,2171958,,838765,
Belarus,BLR,1956,7682876,,536614,,3454895,,,3691024,2212330,,867470,
Belarus,BLR,1957,7811337,,544893,,3534489,,,3731548,2271562,,895026,
Belarus,BLR,1958,7944094,,559863,,3608560,,,3775235,2354771,,921806,
Belarus,BLR,1959,8081319,,578234,,3669567,,,3833065,2446463,,942660,
Belarus,BLR,1960,8208003,,594143,,3738190,,,3875227,2531862,,953434,
Belarus,BLR,1961,8320428,,610046,,3821533,,,3888452,2596630,,958310,
Belarus,BLR,1962,8424480,,619626,,3915384,,,3889135,2631698,,955059,
Belarus,BLR,1963,8517706,,634004,,4003286,,,3880145,2648686,,939871,
Belarus,BLR,1964,8602840,,652178,,4085220,,,3865228,2650583,,911027,
Belarus,BLR,1965,8679938,,678060,,4147966,,,3853738,2645521,,873579,
Belarus,BLR,1966,8752970,,704547,,4196654,,,3851618,2641501,,836737,
Belarus,BLR,1967,8823252,,723125,,4231134,,,3868856,2638543,,804581,
Belarus,BLR,1968,8891333,,747789,,4232131,,,3911286,2635197,,777810,
Belarus,BLR,1969,8954603,,773017,,4222325,,,3959141,2621292,,755104,
Belarus,BLR,1970,9014901,,799129,,4213811,,,4001845,2583195,,736663,
Belarus,BLR,1971,9079747,,824698,,4222020,,,4032915,2533258,,725471,
Belarus,BLR,1972,9144638,,849842,,4254633,,,4040053,2483398,,720061,
Belarus,BLR,1973,9205707,,874187,,4298795,,,4032620,2430900,,717385,
Belarus,BLR,1974,9265673,,898506,,4353914,,,4013150,2380249,,720571,
Belarus,BLR,1975,9324290,,927567,,4406515,,,3990103,2334216,,725201,
Belarus,BLR,1976,9380093,,953396,,4456481,,,3970107,2293308,,725519,
Belarus,BLR,1977,9434946,,976931,,4506990,,,3950913,2257795,,725052,
Belarus,BLR,1978,9485806,,999183,,4554038,,,3932469,2225711,,723479,
Belarus,BLR,1979,9537697,,1010096,,4609304,,,3918181,2206014,,729196,
Belarus,BLR,1980,9603173,,1010470,,4682485,,,3910092,2202599,,742300,
Belarus,BLR,1981,9678048,,1002041,,4772370,,,3903496,2205300,,754838,
Belarus,BLR,1982,9748285,,987331,,4869611,,,3891192,2213311,,767170,
Belarus,BLR,1983,9815555,,980718,,4961385,,,3873274,2230689,,781393,
Belarus,BLR,1984,9881698,,979112,,5048463,,,3853926,2254719,,796870,
Belarus,BLR,1985,9944184,,978220,,5133329,,,3832434,2278016,,809724,
Belarus,BLR,1986,10004289,,981666,,5213767,,,3808647,2299013,,821637,
Belarus,BLR,1987,10057608,,996394,,5279022,,,3781977,2314536,,828197,
Belarus,BLR,1988,10107636,,1022992,,5319372,,,3765025,2332463,,826851,
Belarus,BLR,1989,10158779,,1052210,,5344607,,,3761670,2348499,,818312,
Belarus,BLR,1990,10186258,,1083410,,5346832,,,3755710,2350241,,800942,
Belarus,BLR,1991,10193889,,1115797,,5337189,,,3740606,2342590,,772170,
Belarus,BLR,1992,10217561,,1153138,,5332475,,,3731659,2331183,,737854,
Belarus,BLR,1993,10241320,,1194158,,5319283,,,3727583,2312584,,697479,
Belarus,BLR,1994,10230193,,1232540,,5289995,,,3707338,2275525,,648583,
Belarus,BLR,1995,10197466,,1270540,,5253240,,,3673328,2223800,,601944,
Belarus,BLR,1996,10164025,,1300076,,5233875,,,3629679,2164624,,560742,
Belarus,BLR,1997,10122365,,1322540,,5224686,,,3574720,2098260,,522665,
Belarus,BLR,1998,10080579,,1340536,,5233069,,,3506512,2016440,,491277,
Belarus,BLR,1999,10039221,,1344305,,5254129,,,3440290,1933317,,471601,
Belarus,BLR,2000,9991310,,1350171,,5256902,,,3383703,1860449,,460832,
Belarus,BLR,2001,9938068,,1366156,,5247156,,,3324163,1783494,,456170,
Belarus,BLR,2002,9873451,,1384443,,5228142,,,3260247,1704917,,454397,
Belarus,BLR,2003,9803175,,1400910,,5208906,,,3192745,1630000,,451852,
Belarus,BLR,2004,9735089,,1414739,,5195565,,,3124188,1560312,,447570,
Belarus,BLR,2005,9667833,,1420913,,5190840,,,3055492,1501514,,443948,
Belarus,BLR,2006,9608041,,1420232,,5196028,,,2991209,1457624,,445148,
Belarus,BLR,2007,9563135,,1410070,,5216976,,,2935541,1428079,,454428,
Belarus,BLR,2008,9529357,,1383420,,5263003,,,2882404,1410168,,469723,
Belarus,BLR,2009,9507334,,1352534,,5322150,,,2832128,1404814,,489430,
Belarus,BLR,2010,9490752,,1323005,,5381554,,,2785670,1409200,,509389,
Belarus,BLR,2011,9472738,,1301301,,5433338,,,2737583,1421400,,525849,
Belarus,BLR,2012,9463075,,1299693,,5467453,,,2695416,1444946,,541406,
Belarus,BLR,2013,9464454,,1309755,,5493851,,,2660348,1474523,,555758,
Belarus,BLR,2014,9472704,,1331122,,5511742,,,2629359,1503722,,567533,
Belarus,BLR,2015,9487289,,1357523,,5521285,,,2608018,1533995,,579267,
Belarus,BLR,2016,9499066,,1380770,,5524786,,,2593086,1564299,,589809,
Belarus,BLR,2017,9495793,,1404777,,5517136,,,2573500,1587101,,587320,
Belarus,BLR,2018,9480031,,1426494,,5500967,,,2552209,1599204,,568843,
Belarus,BLR,2019,9435415,,1450074,,5460015,,,2524994,1601512,,539981,
Belarus,BLR,2020,9350943,,1470987,,5389441,,,2490243,1594037,,503298,
Belarus,BLR,2021,9251368,,1486463,,5304075,,,2460619,1579492,,463363,
Belarus,BLR,2022,9173240,,1514023,,5219262,,,2439770,1555766,,428275,
Belarus,BLR,2023,9115679,,1555121,,5140500,,,2419863,1520063,,399408,
Belarus,BLR,2024,,9056696,,1599786,,5063551,2393140,,,1475991,,373858
Belarus,BLR,2025,,8997601,,1644904,,4988440,2363989,,,1429613,,352563
Belarus,BLR,2026,,8937018,,1688091,,4913554,2335054,,,1381437,,333586
Belarus,BLR,2027,,8875630,,1726361,,4841532,2307368,,,1327914,,317692
Belarus,BLR,2028,,8813868,,1758979,,4774344,2280110,,,1269479,,308100
Belarus,BLR,2029,,8751056,,1786258,,4711994,2252303,,,1209343,,302991
Belarus,BLR,2030,,8687631,,1807612,,4657132,2222319,,,1148403,,298839
Belarus,BLR,2031,,8624462,,1823963,,4611008,2188872,,,1087966,,295835
Belarus,BLR,2032,,8561292,,1836906,,4574328,2149395,,,1036016,,293951
Belarus,BLR,2033,,8497927,,1847752,,4545807,2103670,,,996733,,293116
Belarus,BLR,2034,,8434839,,1857014,,4522187,2054933,,,966377,,293436
Belarus,BLR,2035,,8372269,,1866324,,4499086,2006104,,,942457,,294865
Belarus,BLR,2036,,8310226,,1876897,,4474904,1957572,,,922888,,297173
Belarus,BLR,2037,,8248676,,1887207,,4454891,1905617,,,908270,,300221
Belarus,BLR,2038,,8187277,,1895607,,4440334,1850277,,,901529,,303820
Belarus,BLR,2039,,8125768,,1902705,,4427351,1794586,,,900654,,307660
Belarus,BLR,2040,,8064471,,1910312,,4413698,1739314,,,901929,,311585
Belarus,BLR,2041,,8003446,,1917726,,4399299,1685280,,,905123,,315464
Belarus,BLR,2042,,7943010,,1924742,,4376816,1640361,,,910043,,319226
Belarus,BLR,2043,,7883219,,1932539,,4341159,1608542,,,916371,,322724
Belarus,BLR,2044,,7823424,,1941703,,4295615,1585206,,,923455,,325554
Belarus,BLR,2045,,7763465,,1952523,,4242746,1567319,,,930707,,327363
Belarus,BLR,2046,,7703318,,1964677,,4185258,1552458,,,937511,,327880
Belarus,BLR,2047,,7642600,,1978493,,4122286,1540731,,,943264,,326760
Belarus,BLR,2048,,7580623,,1998737,,4046039,1534557,,,947326,,323716
Belarus,BLR,2049,,7517481,,2023224,,3960915,1531826,,,949188,,318862
Belarus,BLR,2050,,7453542,,2046308,,3876755,1528760,,,948561,,312393
Belarus,BLR,2051,,7388571,,2070858,,3790927,1524929,,,945144,,304440
Belarus,BLR,2052,,7322187,,2095455,,3704860,1519889,,,938709,,295243
Belarus,BLR,2053,,7254283,,2119038,,3619809,1513348,,,929210,,285202
Belarus,BLR,2054,,7185163,,2141075,,3536542,1505322,,,916805,,274725
Belarus,BLR,2055,,7114778,,2157243,,3459505,1495625,,,901577,,264108
Belarus,BLR,2056,,7043344,,2167704,,3388951,1484102,,,883731,,253723
Belarus,BLR,2057,,6971340,,2174164,,3323457,1470943,,,863634,,243958
Belarus,BLR,2058,,6899072,,2173178,,3266610,1456291,,,841728,,235073
Belarus,BLR,2059,,6826541,,2163762,,3219516,1440051,,,818606,,227205
Belarus,BLR,2060,,6753791,,2148484,,3179655,1422244,,,794834,,220454
Belarus,BLR,2061,,6681195,,2127215,,3147303,1403102,,,771024,,214912
Belarus,BLR,2062,,6608841,,2101420,,3120972,1382761,,,747776,,210551
Belarus,BLR,2063,,6536557,,2075273,,3096229,1361299,,,725657,,207303
Belarus,BLR,2064,,6464527,,2050688,,3071141,1338900,,,705110,,205065
Belarus,BLR,2065,,6392852,,2026544,,3046779,1315715,,,686453,,203736
Belarus,BLR,2066,,6321654,,2001513,,3024391,1291928,,,670031,,203215
Belarus,BLR,2067,,6251086,,1974936,,3004542,1267764,,,656111,,203422
Belarus,BLR,2068,,6181418,,1947819,,2986187,1243519,,,644771,,204198
Belarus,BLR,2069,,6112590,,1920936,,2968196,1219488,,,635861,,205356
Belarus,BLR,2070,,6044485,,1896015,,2948412,1195965,,,629238,,206777
Belarus,BLR,2071,,5977047,,1874646,,2924889,1173246,,,624703,,208285
Belarus,BLR,2072,,5910452,,1859211,,2895061,1151729,,,621991,,209713
Belarus,BLR,2073,,5844722,,1850065,,2858292,1131747,,,620773,,210956
Belarus,BLR,2074,,5779796,,1844777,,2816766,1113469,,,620688,,211924
Belarus,BLR,2075,,5715779,,1841084,,2772716,1096998,,,621414,,212521
