file,sha256,source_url,description,license,accessed
data/raw/census_olap/f201_raion_age5_sex_loc.json,9f7250d8904d2763f1b879d6b722e9d668382c51cf0b9264dae8ae266acce245,"https://census.belstat.gov.by/saiku | куб F201N, REST-выгрузка из браузерного контекста (см. etl/olap_receiver.py)",Переписи 2009 и 2019: районы и города обл. подчинения x 5-летние группы x пол x город/село,открытые данные переписей Белстата (гостевой доступ),2026-07-11
data/raw/census_olap/f201_oblast_age1_sex.json,357ba6e37d37dc0630b64179e6104d0c2375c71d60064f79531849d2983e4460,https://census.belstat.gov.by/saiku | куб F201N,Переписи 2009/2019: страна и области x однолетний возраст x пол,то же,2026-07-11
data/raw/census_olap/f602_oblast_matrix_age5.json,16d61d204c8a47cea2f4d241100c4cb711231e0f7c645f58873f707c6478be2b,https://census.belstat.gov.by/saiku | куб F602,"Межобластная матрица миграции x 5-летние группы, переписи 2009/2019",то же,2026-07-11
data/raw/age_current/dataportal_age5_2019-2026.json,aa744812dc7a93df012e86a6b04a7f79848d3f9d94e9547a6e1ec6b4fbe33903,https://dataportal.belstat.gov.by/osids-public-api | индикатор 10101100003; python -m etl.fetch_age_current,Численность на 1 января 2019-2026: страна/области x 5-летние группы x пол x местность,открытый API дата-портала Белстата,2026-07-11
data/raw/wpp2024/blr_single_age_medium_2024-2100.csv,9b078c2daaaccdbe471b25e41633f889adb5ac39ff54e236368b387aeb729b56,"https://population.un.org/wpp/ | PopulationBySingleAgeSex_Medium, вырезка LocID=112","UN WPP 2024 Medium: однолетние возрасты x пол, 2024-2100",CC BY 3.0 IGO,2026-07-11
data/raw/wpp2024/blr_single_age_high_2024-2100.csv,25781c9d6039dc4ca7aae22199a457c755bce4380ba53636b69ce1630567e2ab,https://population.un.org/wpp/ | High,UN WPP 2024 High,CC BY 3.0 IGO,2026-07-11
data/raw/wpp2024/blr_single_age_low_2024-2100.csv,54d254a9f9767b2a81405c9b12a200c5feda21a7f75663e5ac88c644665704f6,https://population.un.org/wpp/ | Low,UN WPP 2024 Low,CC BY 3.0 IGO,2026-07-11
data/raw/wpp2024/blr_total_all_variants.csv,6fcaf9e54eeee9f35d6228ed7666262a2f9042c91e29feaa3dec92539366922e,"https://population.un.org/wpp/ | TotalPopulationBySex, вырезка LocID=112","UN WPP 2024: итоги, все 18 вариантов, 1950-2100",CC BY 3.0 IGO,2026-07-11
data/raw/wpp2024/blr_indicators_medium.csv,26215b1e1ac71ab090ee17367316e0bec7083f0526889ed0157a27008c581deb,"https://population.un.org/wpp/ | Demographic_Indicators_Medium, вырезка LocID=112",UN WPP 2024 Medium: сводные показатели 1950-2100,CC BY 3.0 IGO,2026-07-11
data/raw/wcde/blr_pop_total_ssp123.csv,45d0fa21a4e2f30691c917bc3d0c872ae3d98c5a6a11be4c1567b8138aea98dc,"https://github.com/guyabel/wcde-data | wcde-v3-batch/{1,2,3}/pop-total.rds, вырезка code=112","WCDE v3: население по SSP1/2/3, 1950-2100",CC BY 4.0,2026-07-11
data/raw/wcde/blr_pop_age_sex_ssp123.csv,199563be4c3bf32969ef005ea24cea0ff746c0fda04e1ffee3d8766038caf4e2,https://github.com/guyabel/wcde-data | pop-age-sex.rds,WCDE v3: половозрастные структуры по SSP,CC BY 4.0,2026-07-11
data/raw/fertility_mortality/blr_hmd_life_tables.csv,dde4e941d4c9cb81ae4e31c05d2e0e8efd17387794df446e29b5a5d89c741903,https://catalog.ourworldindata.org/garden/hmd/2025-10-22/hmd/life_tables.parquet | вырезка Belarus,"HMD (зеркало OWID): таблицы дожития 1959-2018, 1x1",CC BY 4.0 (OWID)/HMD terms,2026-07-11
data/raw/fertility_mortality/blr_hfd_asfr.csv,a853f8d9d3692027be51f45bbac0eade711c226da7218da248df477b59e8ab0c,https://catalog.ourworldindata.org/garden/hmd/2025-10-22/hfd/period_ages.parquet | вырезка Belarus,HFD (зеркало OWID): ASFR 1964-2018,CC BY 4.0 (OWID)/HFD terms,2026-07-11
data/raw/fertility_mortality/demoscope_asfr_1960-2016.html,9378bfba9cdcd6eb73d0ba7339c041d0a7d9fcc79847d38aeaae344ea5bfb674,https://www.demoscope.ru/weekly/ssp/sng_asfr.php?reg=3,Демоскоп: ASFR Беларуси 1960-2016,с указанием источника,2026-07-11
data/raw/fertility_mortality/demyearbook2019.pdf,1e25008e6b014776f722727ee970e010dc188d611aad21c6228e4fcc946284ef,https://www.belstat.gov.by/upload/iblock/145/145cac172f7bf1a9801c64e20888661f.pdf,"Демографический ежегодник РБ 2019: ASFR по областям (4.10), смертность (5.3-5.4)",Белстат,2026-07-11
data/raw/fertility_mortality/who_gho_nmx_blr.json,655a10085ff655e3fd36886738f86b0c88db32c8c255d7318e80e902b20cf344,https://ghoapi.azureedge.net/api/LIFE_0000000029 | SpatialDim eq BLR,WHO GHO: возрастная смертность 2000-2021 (контроль),CC BY-NC-SA 3.0 IGO,2026-07-11
data/raw/census2009_age/census2009_volume2.pdf,67018a96d02d9f3e33491c6ed838fb3dca2e9b7ad0b1b806a02a2b33954da360,http://web.archive.org/web/20131015101204/http://belstat.gov.by/homep/en/census/2009/volume2.zip,Перепись-2009 том II: контрольные итоги районов,Белстат (архив web.archive.org),2026-07-11
data/raw/census2009_age/table2.2-0_rb_single_age.pdf,7fc4499a9b901c4032f3c8515d4216470df278b666af3ac5fcdfc38ebbe8e841,https://www.belstat.gov.by/uploads/file/GU_demogr/2.2-0.pdf,"Перепись-2009 табл. 2.2: РБ, однолетние возрасты (контроль)",Белстат,2026-07-11
