city_id,epoch,built_admin_m2
c-ashmiany,1975,801932
c-ashmiany,1980,858772
c-ashmiany,1985,916094
c-ashmiany,1990,973271
c-ashmiany,1995,1123739
c-ashmiany,2000,1287007
c-ashmiany,2005,1375922
c-ashmiany,2010,1468346
c-ashmiany,2015,1552445
c-ashmiany,2020,1577522
c-asipovichy,1975,2153324
c-asipovichy,1980,2294939
c-asipovichy,1985,2438631
c-asipovichy,1990,2582646
c-asipovichy,1995,2926881
c-asipovichy,2000,3291743
c-asipovichy,2005,3443505
c-asipovichy,2010,3596831
c-asipovichy,2015,3736074
c-asipovichy,2020,3810363
c-astraviec,1975,609734
c-astraviec,1980,646673
c-astraviec,1985,684001
c-astraviec,1990,721407
c-astraviec,1995,843970
c-astraviec,2000,972360
c-astraviec,2005,1068008
c-astraviec,2010,1173892
c-astraviec,2015,1288110
c-astraviec,2020,1432872
c-babrujsk,1975,9798031
c-babrujsk,1980,10333131
c-babrujsk,1985,10876476
c-babrujsk,1990,11430899
c-babrujsk,1995,12351355
c-babrujsk,2000,13317794
c-babrujsk,2005,13679068
c-babrujsk,2010,14051977
c-babrujsk,2015,14409635
c-babrujsk,2020,14689505
c-baran,1975,345525
c-baran,1980,365930
c-baran,1985,386665
c-baran,1990,407418
c-baran,1995,469316
c-baran,2000,535064
c-baran,2005,565954
c-baran,2010,598519
c-baran,2015,628996
c-baran,2020,649518
c-baranavichy,1975,8074484
c-baranavichy,1980,8433500
c-baranavichy,1985,8794783
c-baranavichy,1990,9160420
c-baranavichy,1995,10253811
c-baranavichy,2000,11415551
c-baranavichy,2005,12103043
c-baranavichy,2010,12829423
c-baranavichy,2015,13527195
c-baranavichy,2020,14111716
c-barysau,1975,7839285
c-barysau,1980,8129030
c-barysau,1985,8420429
c-barysau,1990,8714221
c-barysau,1995,9183669
c-barysau,2000,9671066
c-barysau,2005,9921069
c-barysau,2010,10180951
c-barysau,2015,10429620
c-barysau,2020,10615263
c-bialynichy,1975,693627
c-bialynichy,1980,740786
c-bialynichy,1985,788144
c-bialynichy,1990,835783
c-bialynichy,1995,936217
c-bialynichy,2000,1040982
c-bialynichy,2005,1085702
c-bialynichy,2010,1131844
c-bialynichy,2015,1176473
c-bialynichy,2020,1212666
c-biaroza,1975,1291049
c-biaroza,1980,1366542
c-biaroza,1985,1443009
c-biaroza,1990,1519645
c-biaroza,1995,1934823
