city_id,buildings_count
__national__,2990587
c-ashmiany,4671
c-asipovichy,6961
c-astraviec,4135
c-babrujsk,24751
c-baran,6387
c-baranavichy,23581
c-barysau,23332
c-bialynichy,3089
c-biaroza,6215
c-biarozauka,1659
c-bielaaziorsk,4210
c-bierazino,3884
c-braslau,3833
c-brest,33308
c-bychau,5095
c-chashniki,3049
c-chavusy,2131
c-chervien,4245
c-chojniki,2624
c-dobrush,6201
c-drahichyn,6686
c-dziarzhynsk,5773
c-fanipal,3978
c-hancavichy,3961
c-haradok,4887
c-hlybokaje,8505
c-homiel,28475
c-horki,6939
c-hrodna,29529
c-ivacevichy,5356
c-ivanava,5767
c-jelsk,2983
c-kalinkavichy,9868
c-kapyl,2920
c-kasciukovichy,3310
c-kleck,3536
c-klimavichy,4887
c-kobryn,15637
c-krychau,9176
c-lachavichy,2482
c-lahojsk,5657
c-lelchycy,4567
c-lepiel,6753
c-lida,9248
c-luban,3402
c-luniniec,6974
c-machulishchy,2023
c-mahilou,42171
c-maladziechna,15938
c-malaryta,2830
c-marjina-horka,5450
c-masty,4843
c-mazyr,11792
c-mikashevichy,2381
c-minsk,98056
c-mscislau,3395
c-naroula,2344
c-navahrudak,5709
c-navapolack,3935
c-niasvizh,4806
c-novalukoml,2515
c-orsha,13404
c-pastavy,5356
c-pietrykau,3497
c-pinsk,25385
c-polack,15743
c-pruzhany,5023
c-rahachou,6296
c-rechyca,13710
c-salihorsk,4395
c-shchuchyn,3574
c-shklou,4925
c-skidziel,2484
c-slonim,9604
c-sluck,12223
c-smalavichy,5469
c-smarhon,5957
c-staryja-darohi,2931
c-stolin,6280
c-stoubcy,5296
c-svietlahorsk,5807
c-talachyn,3502
c-uzda,2982
c-valozhyn,3200
c-vasilevichy,1905
c-vaukavysk,7316
c-viciebsk,62942
c-vietka,2508
c-vilejka,7078
c-zaslauje,5287
c-zhabinka,4350
c-zhlobin,14328
c-zhodzina,6028
c-zhytkavichy,4627
