sensor,year,city_id,light_total,light_core,light_edge,light_buffer
dmsp,1992,c-ashmiany,790.77,194.2,109.42,487.15
dmsp,1992,c-asipovichy,2132.65,688.92,275.48,1168.25
dmsp,1992,c-astraviec,225.59,58.54,27.8,139.25
dmsp,1992,c-babrujsk,7500.21,3677.81,837.05,2985.35
dmsp,1992,c-baran,1927.28,629.45,306.28,991.55
dmsp,1992,c-baranavichy,6339.38,2810.13,1038.75,2490.5
dmsp,1992,c-barysau,7629.53,2373.69,1496.32,3759.52
dmsp,1992,c-bialynichy,506.79,107.25,56.97,342.57
dmsp,1992,c-biaroza,963.94,189.85,214.69,559.4
dmsp,1992,c-biarozauka,498.1,116.65,48.66,332.79
dmsp,1992,c-bielaaziorsk,967.96,93.36,199.49,675.11
dmsp,1992,c-bierazino,937.39,175.85,140.68,620.86
dmsp,1992,c-braslau,543.0,84.97,53.26,404.77
dmsp,1992,c-brest,9262.26,3338.74,2144.16,3779.36
dmsp,1992,c-bychau,1257.38,251.44,236.02,769.92
dmsp,1992,c-chashniki,739.68,115.79,76.76,547.13
dmsp,1992,c-chavusy,417.76,79.91,31.51,306.34
dmsp,1992,c-chervien,991.74,142.39,210.82,638.53
dmsp,1992,c-chojniki,628.84,94.56,60.58,473.7
dmsp,1992,c-dobrush,1857.85,249.85,412.33,1195.67
dmsp,1992,c-drahichyn,274.59,76.98,51.33,146.28
dmsp,1992,c-dziarzhynsk,1913.89,332.55,378.75,1202.59
dmsp,1992,c-fanipal,1357.64,143.91,340.19,873.54
dmsp,1992,c-hancavichy,557.16,138.19,102.21,316.76
dmsp,1992,c-haradok,1076.05,224.0,107.04,745.01
dmsp,1992,c-hlybokaje,1320.9,352.96,171.5,796.44
dmsp,1992,c-homiel,12527.2,6196.11,1580.82,4750.27
dmsp,1992,c-horki,1917.51,446.22,357.77,1113.52
dmsp,1992,c-hrodna,9597.38,3440.41,1947.92,4209.05
dmsp,1992,c-ivacevichy,1293.21,334.51,281.17,677.53
dmsp,1992,c-ivanava,586.76,132.96,154.72,299.08
