city_id,category,count
__national__,admin_service,2925
__national__,emergency,595
__national__,grocery,13924
__national__,kindergarten,3002
__national__,pharmacy,3520
__national__,primary_care,3005
__national__,school,3239
__national__,transport_stop,31517
c-ashmiany,admin_service,4
c-ashmiany,emergency,2
c-ashmiany,grocery,37
c-ashmiany,kindergarten,6
c-ashmiany,pharmacy,7
c-ashmiany,primary_care,3
c-ashmiany,school,7
c-ashmiany,transport_stop,56
c-asipovichy,admin_service,9
c-asipovichy,emergency,1
c-asipovichy,grocery,42
c-asipovichy,kindergarten,8
c-asipovichy,pharmacy,19
c-asipovichy,primary_care,5
c-asipovichy,school,7
c-asipovichy,transport_stop,70
c-astraviec,admin_service,3
c-astraviec,emergency,2
c-astraviec,grocery,35
c-astraviec,kindergarten,6
c-astraviec,pharmacy,9
c-astraviec,primary_care,5
c-astraviec,school,6
c-astraviec,transport_stop,80
c-babrujsk,admin_service,35
c-babrujsk,emergency,8
c-babrujsk,grocery,231
c-babrujsk,kindergarten,68
c-babrujsk,pharmacy,73
c-babrujsk,primary_care,45
c-babrujsk,school,46
c-babrujsk,transport_stop,369
c-baran,admin_service,7
c-baran,emergency,2
c-baran,grocery,40
c-baran,kindergarten,11
c-baran,pharmacy,12
c-baran,primary_care,6
c-baran,school,8
c-baran,transport_stop,38
c-baranavichy,admin_service,29
c-baranavichy,emergency,9
c-baranavichy,grocery,167
c-baranavichy,kindergarten,48
c-baranavichy,pharmacy,54
c-baranavichy,primary_care,57
c-baranavichy,school,27
c-baranavichy,transport_stop,286
c-barysau,admin_service,23
c-barysau,emergency,5
c-barysau,grocery,168
c-barysau,kindergarten,38
c-barysau,pharmacy,69
c-barysau,primary_care,29
c-barysau,school,35
c-barysau,transport_stop,171
c-bialynichy,admin_service,4
c-bialynichy,emergency,2
c-bialynichy,grocery,31
c-bialynichy,kindergarten,4
c-bialynichy,pharmacy,3
c-bialynichy,primary_care,2
c-bialynichy,school,5
c-bialynichy,transport_stop,13
c-biaroza,admin_service,4
c-biaroza,emergency,1
c-biaroza,grocery,52
c-biaroza,kindergarten,10
c-biaroza,pharmacy,12
c-biaroza,primary_care,4
c-biaroza,school,5
c-biaroza,transport_stop,63
c-biarozauka,admin_service,3
c-biarozauka,emergency,1
c-biarozauka,grocery,16
c-biarozauka,kindergarten,3
c-biarozauka,pharmacy,2
c-biarozauka,primary_care,2
c-biarozauka,school,4
c-biarozauka,transport_stop,20
c-bielaaziorsk,admin_service,4
c-bielaaziorsk,emergency,2
c-bielaaziorsk,grocery,27
c-bielaaziorsk,kindergarten,5
c-bielaaziorsk,pharmacy,3
c-bielaaziorsk,primary_care,3
c-bielaaziorsk,school,4
c-bielaaziorsk,transport_stop,34
c-bierazino,admin_service,2
c-bierazino,emergency,2
c-bierazino,grocery,30
c-bierazino,kindergarten,5
c-bierazino,pharmacy,6
c-bierazino,primary_care,2
c-bierazino,school,3
c-bierazino,transport_stop,10
c-braslau,admin_service,9
c-braslau,emergency,1
c-braslau,grocery,35
c-braslau,kindergarten,5
c-braslau,pharmacy,5
c-braslau,primary_care,3
c-braslau,school,7
c-braslau,transport_stop,44
c-brest,admin_service,51
c-brest,emergency,8
c-brest,grocery,286
c-brest,kindergarten,66
c-brest,pharmacy,126
c-brest,primary_care,81
c-brest,school,76
c-brest,transport_stop,514
c-bychau,admin_service,6
c-bychau,emergency,1
c-bychau,grocery,47
c-bychau,kindergarten,5
c-bychau,pharmacy,8
c-bychau,primary_care,5
c-bychau,school,6
c-bychau,transport_stop,60
c-chashniki,admin_service,4
c-chashniki,emergency,1
c-chashniki,grocery,15
c-chashniki,kindergarten,5
c-chashniki,pharmacy,1
c-chashniki,primary_care,1
c-chashniki,school,4
c-chashniki,transport_stop,13
c-chavusy,admin_service,3
c-chavusy,emergency,1
c-chavusy,grocery,16
c-chavusy,kindergarten,3
c-chavusy,pharmacy,5
c-chavusy,primary_care,5
c-chavusy,school,7
c-chavusy,transport_stop,10
c-chervien,admin_service,4
c-chervien,emergency,1
c-chervien,grocery,30
