city_id,year_start,year_end,frame_id,pgr_annual,bgr_annual,material_overhang_rate_annual,edge_expansion_share,infill_share,lower_bound,upper_bound,minimum_detectable_change,robust_sign,mor_admin_frame,time_alignment_sensitive,stock_use_gap_annual,inner_hollowing_shift
c-ashmiany,1975,1990,MORPH_FIXED_FRAME,0.01939,0.01174,-0.00764,0.042,0.958,,,,,,,,
c-ashmiany,1990,2020,MORPH_FIXED_FRAME,0.00389,0.01736,0.01347,0.1274,0.8726,0.00941,0.01359,0.00471,1,0.0122,0,-0.08905,0.13044
c-ashmiany,2000,2020,MORPH_FIXED_FRAME,0.00556,0.01026,0.0047,0.0618,0.9382,,,,,,,,
c-ashmiany,2010,2020,MORPH_FIXED_FRAME,0.01198,0.00732,-0.00467,0.0304,0.9696,,,,,,,,
c-asipovichy,1975,1990,MORPH_FIXED_FRAME,0.02366,0.01211,-0.01155,0.081,0.919,,,,,,,,
c-asipovichy,1990,2020,MORPH_FIXED_FRAME,-0.00435,0.01296,0.01732,0.0813,0.9187,0.01724,0.01735,0.00471,1,0.01732,0,-0.02062,-0.05514
c-asipovichy,2000,2020,MORPH_FIXED_FRAME,-0.00862,0.0074,0.01602,0.0528,0.9472,,,,,,,,
c-asipovichy,2010,2020,MORPH_FIXED_FRAME,-0.00728,0.0058,0.01308,0.0171,0.9829,,,,,,,,
c-astraviec,1975,1990,MORPH_FIXED_FRAME,0.04209,0.01141,-0.03068,0.0344,0.9656,,,,,,,,
c-astraviec,1990,2020,MORPH_FIXED_FRAME,0.01789,0.02362,0.00572,0.1449,0.8551,0.00388,0.00582,0.00471,1,0.00498,0,-0.02433,0.16885
c-astraviec,2000,2020,MORPH_FIXED_FRAME,0.02275,0.01999,-0.00276,0.1496,0.8504,,,,,,,,
c-astraviec,2010,2020,MORPH_FIXED_FRAME,0.04815,0.0206,-0.02756,0.1132,0.8868,,,,,,,,
c-babrujsk,1975,1990,MORPH_FIXED_FRAME,0.01864,0.01002,-0.00862,0.0581,0.9419,,,,,,,,
c-babrujsk,1990,2020,MORPH_FIXED_FRAME,-0.00157,0.00826,0.00983,0.0563,0.9437,0.00974,0.00995,0.00236,1,0.00994,0,0.00974,-0.1071
c-babrujsk,2000,2020,MORPH_FIXED_FRAME,-0.00205,0.0049,0.00696,0.0445,0.9555,,,,,,,,
c-babrujsk,2010,2020,MORPH_FIXED_FRAME,-0.00166,0.00448,0.00613,0.029,0.971,,,,,,,,
c-baran,1975,1990,MORPH_FIXED_FRAME,0.02109,0.01299,-0.0081,0.0154,0.9846,,,,,,,,
c-baran,1990,2020,MORPH_FIXED_FRAME,-0.00871,0.01294,0.02165,0.1925,0.8075,0.02052,0.02657,0.00471,1,0.02426,0,-0.03472,0.01009
c-baran,2000,2020,MORPH_FIXED_FRAME,-0.00786,0.008,0.01586,0.1111,0.8889,,,,,,,,
c-baran,2010,2020,MORPH_FIXED_FRAME,-0.00858,0.00784,0.01642,0.036,0.964,,,,,,,,
c-baranavichy,1975,1990,MORPH_FIXED_FRAME,0.02172,0.0085,-0.01322,0.0252,0.9748,,,,,,,,
c-baranavichy,1990,2020,MORPH_FIXED_FRAME,0.0023,0.01436,0.01206,0.1158,0.8842,0.01193,0.01254,0.00236,1,0.01211,0,0.02393,-0.0917
c-baranavichy,2000,2020,MORPH_FIXED_FRAME,0.00205,0.01056,0.00852,0.0755,0.9245,,,,,,,,
c-baranavichy,2010,2020,MORPH_FIXED_FRAME,0.00348,0.00954,0.00606,0.0218,0.9782,,,,,,,,
c-barysau,1975,1990,MORPH_FIXED_FRAME,0.02607,0.00748,-0.01859,0.0251,0.9749,,,,,,,,
c-barysau,1990,2020,MORPH_FIXED_FRAME,-0.00156,0.00801,0.00957,0.1357,0.8643,0.00736,0.00958,0.00236,1,0.00814,0,0.0137,-0.15975
c-barysau,2000,2020,MORPH_FIXED_FRAME,-0.00357,0.00614,0.0097,0.1545,0.8455,,,,,,,,
c-barysau,2010,2020,MORPH_FIXED_FRAME,-0.00462,0.00523,0.00986,0.2136,0.7864,,,,,,,,
c-bialynichy,1975,1990,MORPH_FIXED_FRAME,0.03122,0.01271,-0.01851,0.0167,0.9833,,,,,,,,
c-bialynichy,1990,2020,MORPH_FIXED_FRAME,-0.00213,0.01245,0.01458,0.1353,0.8647,0.01449,0.01475,0.00471,1,0.01454,0,-0.05268,0.1194
c-bialynichy,2000,2020,MORPH_FIXED_FRAME,-0.00475,0.00769,0.01244,0.0325,0.9675,,,,,,,,
c-bialynichy,2010,2020,MORPH_FIXED_FRAME,-0.00645,0.00697,0.01342,0.0192,0.9808,,,,,,,,
c-biaroza,1975,1990,MORPH_FIXED_FRAME,0.05119,0.01057,-0.04062,0.0424,0.9576,,,,,,,,
c-biaroza,1990,2020,MORPH_FIXED_FRAME,0.00502,0.02508,0.02006,0.1509,0.8491,0.01881,0.02169,0.00471,1,0.02051,0,0.04018,-0.14145
c-biaroza,2000,2020,MORPH_FIXED_FRAME,-0.00205,0.01594,0.01799,0.0918,0.9082,,,,,,,,
c-biaroza,2010,2020,MORPH_FIXED_FRAME,-0.00272,0.01258,0.01529,0.0209,0.9791,,,,,,,,
c-biarozauka,1975,1990,MORPH_FIXED_FRAME,0.0322,0.00773,-0.02447,0.0829,0.9171,,,,,,,,
c-biarozauka,1990,2020,MORPH_FIXED_FRAME,-0.00459,0.0123,0.01688,0.0732,0.9268,0.01686,0.01722,0.00471,1,0.01719,0,-0.11313,-0.08997
c-biarozauka,2000,2020,MORPH_FIXED_FRAME,-0.00877,0.00718,0.01595,0.0693,0.9307,,,,,,,,
c-biarozauka,2010,2020,MORPH_FIXED_FRAME,-0.00525,0.00569,0.01094,0.0359,0.9641,,,,,,,,
c-bielaaziorsk,1975,1990,MORPH_FIXED_FRAME,0.02258,0.01069,-0.01188,0.0764,0.9236,,,,,,,,
c-bielaaziorsk,1990,2020,MORPH_FIXED_FRAME,0.00042,0.01505,0.01463,0.2138,0.7862,0.01395,0.01832,0.00471,1,0.01578,0,0.01648,0.02746
c-bielaaziorsk,2000,2020,MORPH_FIXED_FRAME,-0.00826,0.00983,0.01808,0.0572,0.9428,,,,,,,,
c-bielaaziorsk,2010,2020,MORPH_FIXED_FRAME,-0.01106,0.00879,0.01985,0.0583,0.9417,,,,,,,,
c-bierazino,1975,1990,MORPH_FIXED_FRAME,0.0296,0.01459,-0.01501,0.073,0.927,,,,,,,,
c-bierazino,1990,2020,MORPH_FIXED_FRAME,-0.00375,0.01453,0.01828,0.1586,0.8414,0.01735,0.01839,0.00471,1,0.01813,0,-0.00845,-0.16766
c-bierazino,2000,2020,MORPH_FIXED_FRAME,-0.00746,0.00855,0.01602,0.0345,0.9655,,,,,,,,
c-bierazino,2010,2020,MORPH_FIXED_FRAME,-0.00502,0.00748,0.01249,0.0295,0.9705,,,,,,,,
c-braslau,1975,1990,MORPH_FIXED_FRAME,0.02377,0.01661,-0.00716,0.0404,0.9596,,,,,,,,
c-braslau,1990,2020,MORPH_FIXED_FRAME,-0.00131,0.01548,0.01679,0.0738,0.9262,0.01612,0.01868,0.00471,1,0.01744,0,0.00181,0.39518
c-braslau,2000,2020,MORPH_FIXED_FRAME,-0.00362,0.01103,0.01465,0.0927,0.9073,,,,,,,,
c-braslau,2010,2020,MORPH_FIXED_FRAME,-0.00148,0.0081,0.00958,0.0127,0.9873,,,,,,,,
c-brest,1975,1990,MORPH_FIXED_FRAME,0.03745,0.00907,-0.02838,0.0208,0.9792,,,,,,,,
c-brest,1990,2020,MORPH_FIXED_FRAME,0.00796,0.01818,0.01023,0.1751,0.8249,0.00814,0.01037,0.00236,1,0.01246,0,0.03365,-0.32473
c-brest,2000,2020,MORPH_FIXED_FRAME,0.00811,0.0129,0.00479,0.1408,0.8592,,,,,,,,
c-brest,2010,2020,MORPH_FIXED_FRAME,0.00824,0.00975,0.00152,0.033,0.967,,,,,,,,
c-bychau,1975,1990,MORPH_FIXED_FRAME,0.0113,0.01178,0.00048,0.0997,0.9003,,,,,,,,
c-bychau,1990,2020,MORPH_FIXED_FRAME,-0.00703,0.01435,0.02138,0.0729,0.9271,0.02067,0.02175,0.00471,1,0.0217,0,-0.05108,-0.09234
c-bychau,2000,2020,MORPH_FIXED_FRAME,-0.00328,0.00917,0.01245,0.0269,0.9731,,,,,,,,
c-bychau,2010,2020,MORPH_FIXED_FRAME,0.00034,0.00894,0.00861,0.0292,0.9708,,,,,,,,
c-chashniki,1975,1990,MORPH_FIXED_FRAME,0.0244,0.01488,-0.00952,0.0584,0.9416,,,,,,,,
c-chashniki,1990,2020,MORPH_FIXED_FRAME,-0.00774,0.01364,0.02138,0.0938,0.9062,0.02051,0.02188,0.00471,1,0.02187,0,-0.08187,-0.26241
c-chashniki,2000,2020,MORPH_FIXED_FRAME,-0.0103,0.00977,0.02007,0.0247,0.9753,,,,,,,,
c-chashniki,2010,2020,MORPH_FIXED_FRAME,-0.01141,0.0064,0.01781,0.0075,0.9925,,,,,,,,
c-chavusy,1975,1990,MORPH_FIXED_FRAME,0.02157,0.01338,-0.00819,0.035,0.965,,,,,,,,
c-chavusy,1990,2020,MORPH_FIXED_FRAME,-0.00632,0.01383,0.02016,0.0605,0.9395,0.01977,0.02034,0.00943,1,0.01639,0,-0.07934,-0.12257
c-chavusy,2000,2020,MORPH_FIXED_FRAME,-0.00443,0.00758,0.01201,0.0118,0.9882,,,,,,,,
c-chavusy,2010,2020,MORPH_FIXED_FRAME,-0.00363,0.00707,0.0107,0.0076,0.9924,,,,,,,,
c-chervien,1975,1990,MORPH_FIXED_FRAME,0.00392,0.01024,0.00632,0.0743,0.9257,,,,,,,,
c-chervien,1990,2020,MORPH_FIXED_FRAME,-0.00247,0.02592,0.02839,0.1319,0.8681,0.02838,0.02946,0.00471,1,0.02925,0,-0.01259,0.06128
c-chervien,2000,2020,MORPH_FIXED_FRAME,-0.00171,0.01811,0.01982,0.0607,0.9393,,,,,,,,
c-chervien,2010,2020,MORPH_FIXED_FRAME,0.00593,0.01202,0.0061,0.0735,0.9265,,,,,,,,
c-chojniki,1975,1990,MORPH_FIXED_FRAME,0.01631,0.01892,0.00261,0.0681,0.9319,,,,,,,,
c-chojniki,1990,2020,MORPH_FIXED_FRAME,-0.00614,0.01601,0.02215,0.0386,0.9614,0.01978,0.02215,0.00471,1,0.01972,0,0.02767,-0.06449
c-chojniki,2000,2020,MORPH_FIXED_FRAME,-0.00512,0.01172,0.01684,0.0135,0.9865,,,,,,,,
c-chojniki,2010,2020,MORPH_FIXED_FRAME,-0.00335,0.01059,0.01394,0.0097,0.9903,,,,,,,,
c-dobrush,1975,1990,MORPH_FIXED_FRAME,0.00797,0.01187,0.0039,0.0523,0.9477,,,,,,,,
c-dobrush,1990,2020,MORPH_FIXED_FRAME,-0.00364,0.01358,0.01722,0.1625,0.8375,0.01719,0.01762,0.00471,1,0.01711,0,-0.06018,-0.29082
c-dobrush,2000,2020,MORPH_FIXED_FRAME,-0.0034,0.00965,0.01305,0.212,0.788,,,,,,,,
c-dobrush,2010,2020,MORPH_FIXED_FRAME,0.00013,0.01065,0.01052,0.3144,0.6856,,,,,,,,
c-drahichyn,1975,1990,MORPH_FIXED_FRAME,0.03317,0.01697,-0.0162,0.0699,0.9301,,,,,,,,
c-drahichyn,1990,2020,MORPH_FIXED_FRAME,0.00209,0.01918,0.01709,0.1854,0.8146,0.01442,0.01757,0.00471,1,0.01743,0,0.0187,0.07254
c-drahichyn,2000,2020,MORPH_FIXED_FRAME,-0.00039,0.01053,0.01092,0.0554,0.9446,,,,,,,,
c-drahichyn,2010,2020,MORPH_FIXED_FRAME,0.00146,0.00789,0.00642,0.0238,0.9762,,,,,,,,
c-dziarzhynsk,1975,1990,MORPH_FIXED_FRAME,0.03585,0.01701,-0.01885,0.1172,0.8828,,,,,,,,
c-dziarzhynsk,1990,2020,MORPH_FIXED_FRAME,0.00781,0.02946,0.02165,0.1384,0.8616,0.02163,0.02184,0.00471,1,0.02147,0,-0.03847,-0.08761
c-dziarzhynsk,2000,2020,MORPH_FIXED_FRAME,0.01036,0.02049,0.01012,0.1078,0.8922,,,,,,,,
c-dziarzhynsk,2010,2020,MORPH_FIXED_FRAME,0.01526,0.01501,-0.00024,0.0343,0.9657,,,,,,,,
c-fanipal,1990,2020,MORPH_FIXED_FRAME,0.02192,0.02882,0.0069,0.1596,0.8404,0.0058,0.00692,0.00471,1,0.00489,0,-0.0105,0.08576
c-fanipal,2000,2020,MORPH_FIXED_FRAME,0.02078,0.0229,0.00213,0.1244,0.8756,,,,,,,,
c-fanipal,2010,2020,MORPH_FIXED_FRAME,0.02985,0.01872,-0.01113,0.0624,0.9376,,,,,,,,
c-hancavichy,1975,1990,MORPH_FIXED_FRAME,0.04743,0.01422,-0.0332,0.0766,0.9234,,,,,,,,
c-hancavichy,1990,2020,MORPH_FIXED_FRAME,-0.00128,0.02047,0.02176,0.109,0.891,0.02159,0.02193,0.00471,1,0.02128,0,0.02544,0.0166
c-hancavichy,2000,2020,MORPH_FIXED_FRAME,-0.00361,0.01497,0.01858,0.0429,0.9571,,,,,,,,
c-hancavichy,2010,2020,MORPH_FIXED_FRAME,-0.00062,0.0141,0.01472,0.0088,0.9912,,,,,,,,
