city_id,year,frame_id,population,population_status,built_surface_m2,built_core_m2,built_edge_m2,footprint_area_km2,built_surface_pc_m2,morph_population_density,built_coverage_ratio,compactness,seed_found,quality_class
c-ashmiany,1975,MORPH_FIXED_FRAME,11195.4,interpolated,1035729.0,838113.0,115417.0,5.3,92.51,2112.3,0.1581,0.0838,1,A
c-ashmiany,1980,MORPH_FIXED_FRAME,12684.3,interpolated,1101822.0,886173.0,126553.0,5.51,86.87,2302.1,0.1627,0.0883,1,A
c-ashmiany,1985,MORPH_FIXED_FRAME,13830.8,interpolated,1168447.0,934626.0,137743.0,6.09,84.48,2271.1,0.1633,0.0936,1,A
c-ashmiany,1990,MORPH_FIXED_FRAME,14974.0,interpolated,1235246.0,982877.0,148957.0,6.2,82.49,2415.2,0.1704,0.0966,1,A
c-ashmiany,1995,MORPH_FIXED_FRAME,15150.0,interpolated,1451876.0,1088512.0,226098.0,7.0,95.83,2164.3,0.1788,0.1138,1,A
c-ashmiany,2000,MORPH_FIXED_FRAME,15060.0,interpolated,1693609.0,1194782.0,321324.0,7.72,112.46,1950.8,0.1917,0.1331,1,A
c-ashmiany,2005,MORPH_FIXED_FRAME,14800.0,estimate,1811285.0,1231416.0,384639.0,8.06,122.38,1836.2,0.1972,0.1431,1,A
c-ashmiany,2010,MORPH_FIXED_FRAME,14929.5,interpolated,1932711.0,1268031.0,451067.0,8.37,129.46,1783.7,0.204,0.1443,1,A
c-ashmiany,2015,MORPH_FIXED_FRAME,16191.0,estimate,2043679.0,1301372.0,511004.0,8.48,126.22,1909.3,0.2133,0.144,1,A
c-ashmiany,2020,MORPH_FIXED_FRAME,16830.0,interpolated,2079398.0,1314326.0,525435.0,8.58,123.55,1961.5,0.2144,0.1595,1,A
c-asipovichy,1975,MORPH_FIXED_FRAME,23985.0,interpolated,2184476.0,1940506.0,181831.0,10.29,91.08,2330.9,0.1886,0.065,1,A
c-asipovichy,1980,MORPH_FIXED_FRAME,28048.4,interpolated,2327961.0,2037505.0,222117.0,10.8,83.0,2597.1,0.1922,0.0714,1,A
c-asipovichy,1985,MORPH_FIXED_FRAME,31245.4,interpolated,2473601.0,2134691.0,263643.0,11.53,79.17,2709.9,0.1936,0.0962,1,A
c-asipovichy,1990,MORPH_FIXED_FRAME,34201.5,interpolated,2619534.0,2231887.0,305579.0,12.08,76.59,2831.2,0.1974,0.1146,1,A
c-asipovichy,1995,MORPH_FIXED_FRAME,35250.0,interpolated,2965993.0,2443017.0,418826.0,13.36,84.14,2638.5,0.2066,0.1104,1,A
c-asipovichy,2000,MORPH_FIXED_FRAME,35660.0,interpolated,3333118.0,2658573.0,543012.0,13.66,93.47,2610.5,0.2273,0.1129,1,A
c-asipovichy,2005,MORPH_FIXED_FRAME,34500.0,estimate,3489086.0,2730944.0,613154.0,13.98,101.13,2467.8,0.2325,0.1179,1,A
c-asipovichy,2010,MORPH_FIXED_FRAME,32282.0,interpolated,3646953.0,2803248.0,684596.0,14.62,112.97,2208.1,0.2376,0.1051,1,A
c-asipovichy,2015,MORPH_FIXED_FRAME,31494.0,estimate,3789856.0,2867074.0,751174.0,14.84,120.34,2122.2,0.2438,0.1067,1,A
c-asipovichy,2020,MORPH_FIXED_FRAME,30015.0,interpolated,3864809.0,2897125.0,789511.0,14.85,128.76,2021.2,0.2483,0.1058,1,A
c-astraviec,1975,MORPH_FIXED_FRAME,4195.0,interpolated,571168.0,419616.0,87324.0,3.03,136.15,1384.5,0.1385,0.1525,1,A
c-astraviec,1980,MORPH_FIXED_FRAME,5230.6,interpolated,606425.0,444517.0,93409.0,3.1,115.94,1687.3,0.1449,0.156,1,A
c-astraviec,1985,MORPH_FIXED_FRAME,6588.6,interpolated,642034.0,469562.0,99520.0,3.37,97.45,1955.1,0.1456,0.15,1,A
c-astraviec,1990,MORPH_FIXED_FRAME,7887.5,interpolated,677835.0,494527.0,105717.0,3.65,85.94,2161.0,0.1468,0.106,1,A
c-astraviec,1995,MORPH_FIXED_FRAME,8350.0,interpolated,797472.0,562179.0,150309.0,4.06,95.51,2056.7,0.1599,0.1275,1,A
c-astraviec,2000,MORPH_FIXED_FRAME,8560.0,interpolated,922960.0,631663.0,197136.0,4.42,107.82,1936.7,0.1766,0.1572,1,A
c-astraviec,2005,MORPH_FIXED_FRAME,8300.0,estimate,1016410.0,660363.0,254876.0,4.96,122.46,1673.4,0.1791,0.1558,1,A
c-astraviec,2010,MORPH_FIXED_FRAME,8336.0,interpolated,1120412.0,689698.0,321537.0,5.35,134.41,1558.1,0.186,0.2221,1,A
c-astraviec,2015,MORPH_FIXED_FRAME,9166.0,estimate,1232736.0,718332.0,389549.0,5.48,134.49,1672.6,0.1998,0.2173,1,A
c-astraviec,2020,MORPH_FIXED_FRAME,13492.0,interpolated,1376659.0,746252.0,469860.0,5.75,102.04,2346.4,0.2115,0.2089,1,A
c-babrujsk,1975,MORPH_FIXED_FRAME,167908.8,interpolated,9709615.0,9213969.0,368149.0,41.2,57.83,4075.5,0.2236,0.0385,1,A
c-babrujsk,1980,MORPH_FIXED_FRAME,195102.9,interpolated,10225490.0,9607424.0,466166.0,43.27,52.41,4509.0,0.2264,0.0401,1,A
c-babrujsk,1985,MORPH_FIXED_FRAME,209582.4,interpolated,10749260.0,10002920.0,566912.0,44.81,51.29,4677.1,0.2305,0.046,1,A
c-babrujsk,1990,MORPH_FIXED_FRAME,222083.0,interpolated,11284470.0,10404494.0,671650.0,46.08,50.81,4819.5,0.2359,0.0531,1,A
c-babrujsk,1995,MORPH_FIXED_FRAME,221850.0,interpolated,12173334.0,11054598.0,882161.0,47.82,54.87,4639.3,0.246,0.0587,1,A
c-babrujsk,2000,MORPH_FIXED_FRAME,220720.0,interpolated,13106839.0,11714821.0,1122937.0,49.2,59.38,4486.2,0.2588,0.0597,1,A
c-babrujsk,2005,MORPH_FIXED_FRAME,220100.0,estimate,13459689.0,11904871.0,1263993.0,50.36,61.15,4370.5,0.26,0.0687,1,A
c-babrujsk,2010,MORPH_FIXED_FRAME,215378.5,interpolated,13824399.0,12096130.0,1413458.0,50.91,64.19,4230.6,0.2643,0.0706,1,A
c-babrujsk,2015,MORPH_FIXED_FRAME,218263.0,estimate,14176030.0,12279877.0,1556664.0,51.49,64.95,4238.9,0.2683,0.0723,1,A
c-babrujsk,2020,MORPH_FIXED_FRAME,211836.0,interpolated,14457233.0,12436669.0,1658873.0,51.95,68.25,4077.7,0.2713,0.0752,1,A
c-baran,1975,MORPH_FIXED_FRAME,10077.6,interpolated,1539263.0,1062152.0,437089.0,5.95,152.74,1693.7,0.1785,0.149,1,A
c-baran,1980,MORPH_FIXED_FRAME,10235.0,interpolated,1648880.0,1138552.0,465102.0,6.0,161.1,1705.8,0.1906,0.1503,1,A
c-baran,1985,MORPH_FIXED_FRAME,12080.0,interpolated,1759244.0,1215270.0,493460.0,6.2,145.63,1948.4,0.1989,0.1701,1,A
c-baran,1990,MORPH_FIXED_FRAME,13828.0,interpolated,1870533.0,1291901.0,521787.0,6.52,135.27,2120.9,0.2096,0.1823,1,A
c-baran,1995,MORPH_FIXED_FRAME,13300.0,interpolated,2104580.0,1423206.0,616425.0,6.88,158.24,1933.1,0.2241,0.1383,1,A
c-baran,2000,MORPH_FIXED_FRAME,12460.0,interpolated,2349981.0,1556476.0,717486.0,3.23,188.6,3857.6,0.1772,0.1473,1,A
c-baran,2005,MORPH_FIXED_FRAME,12200.0,estimate,2448552.0,1596960.0,768845.0,3.52,200.7,3465.9,0.1759,0.12,1,A
c-baran,2010,MORPH_FIXED_FRAME,11601.0,interpolated,2549838.0,1637424.0,821719.0,3.73,219.79,3110.2,0.1795,0.1326,1,A
c-baran,2015,MORPH_FIXED_FRAME,11466.0,estimate,2652206.0,1681223.0,871882.0,3.87,231.31,2962.8,0.1848,0.1347,1,A
c-baran,2020,MORPH_FIXED_FRAME,10647.0,interpolated,2757685.0,1738174.0,913311.0,3.92,259.01,2716.1,0.189,0.1394,1,A
c-baranavichy,1975,MORPH_FIXED_FRAME,117680.3,interpolated,8198756.0,7459818.0,528370.0,32.38,69.67,3634.4,0.2304,0.0723,1,A
c-baranavichy,1980,MORPH_FIXED_FRAME,133513.8,interpolated,8567253.0,7755518.0,584006.0,33.17,64.17,4025.1,0.2352,0.0707,1,A
c-baranavichy,1985,MORPH_FIXED_FRAME,147847.8,interpolated,8938122.0,8051318.0,641462.0,33.63,60.45,4396.3,0.242,0.0724,1,A
c-baranavichy,1990,MORPH_FIXED_FRAME,163007.5,interpolated,9314356.0,8347326.0,702595.0,34.25,57.14,4759.3,0.2478,0.0773,1,A
c-baranavichy,1995,MORPH_FIXED_FRAME,167050.0,interpolated,10421624.0,8976207.0,1135838.0,38.54,62.39,4334.5,0.2491,0.0664,1,A
c-baranavichy,2000,MORPH_FIXED_FRAME,167640.0,interpolated,11601248.0,9616812.0,1617812.0,41.02,69.2,4086.8,0.2635,0.0622,1,A
c-baranavichy,2005,MORPH_FIXED_FRAME,168300.0,estimate,12292966.0,9867231.0,2012323.0,44.37,73.04,3793.1,0.2619,0.0701,1,A
c-baranavichy,2010,MORPH_FIXED_FRAME,168667.0,interpolated,13025903.0,10118858.0,2433691.0,46.59,77.23,3620.2,0.2681,0.077,1,A
c-baranavichy,2015,MORPH_FIXED_FRAME,178889.0,estimate,13730115.0,10358243.0,2843215.0,47.3,76.75,3782.0,0.2785,0.0815,1,A
c-baranavichy,2020,MORPH_FIXED_FRAME,174641.5,interpolated,14330088.0,10547940.0,3208458.0,47.73,82.05,3658.9,0.2882,0.0826,1,A
c-barysau,1975,MORPH_FIXED_FRAME,99423.1,interpolated,8393325.0,5783972.0,2466167.0,25.54,84.42,3892.8,0.2265,0.1143,1,A
c-barysau,1980,MORPH_FIXED_FRAME,114884.0,interpolated,8722314.0,5946873.0,2611987.0,25.86,75.92,4442.5,0.231,0.1157,1,A
c-barysau,1985,MORPH_FIXED_FRAME,130944.0,interpolated,9053995.0,6110321.0,2758552.0,26.04,69.14,5028.6,0.2364,0.1174,1,A
c-barysau,1990,MORPH_FIXED_FRAME,146996.0,interpolated,9389595.0,6274593.0,2906918.0,26.23,63.88,5604.1,0.242,0.12,1,A
c-barysau,1995,MORPH_FIXED_FRAME,150450.0,interpolated,9960247.0,6543326.0,3182741.0,27.41,66.2,5488.9,0.2458,0.1356,1,A
c-barysau,2000,MORPH_FIXED_FRAME,150640.0,interpolated,10559518.0,6814867.0,3476482.0,28.63,70.1,5261.6,0.2528,0.1084,1,A
c-barysau,2005,MORPH_FIXED_FRAME,150100.0,estimate,10935339.0,6926734.0,3706814.0,29.34,72.85,5115.9,0.2545,0.0852,1,A
c-barysau,2010,MORPH_FIXED_FRAME,146910.5,interpolated,11329846.0,7041344.0,3947817.0,30.07,77.12,4885.6,0.2558,0.0928,1,A
c-barysau,2015,MORPH_FIXED_FRAME,144945.0,estimate,11701370.0,7154338.0,4169428.0,30.34,80.73,4777.4,0.2599,0.0949,1,A
c-barysau,2020,MORPH_FIXED_FRAME,140271.0,interpolated,11938317.0,7262007.0,4276896.0,44.7,85.11,3138.1,0.2581,0.0391,1,A
c-bialynichy,1975,MORPH_FIXED_FRAME,6675.7,interpolated,677094.0,523549.0,79592.0,3.58,101.43,1864.7,0.1462,0.1849,1,A
c-bialynichy,1980,MORPH_FIXED_FRAME,8328.2,interpolated,724174.0,554501.0,88355.0,3.66,86.95,2275.5,0.1533,0.1842,1,A
c-bialynichy,1985,MORPH_FIXED_FRAME,9604.2,interpolated,771628.0,585490.0,97154.0,3.67,80.34,2616.9,0.1619,0.1847,1,A
c-bialynichy,1990,MORPH_FIXED_FRAME,10662.5,interpolated,819328.0,616464.0,106202.0,3.71,76.84,2874.0,0.1696,0.1868,1,A
c-bialynichy,1995,MORPH_FIXED_FRAME,10950.0,interpolated,917794.0,665744.0,145724.0,4.55,83.82,2406.6,0.1671,0.1401,1,A
c-bialynichy,2000,MORPH_FIXED_FRAME,11000.0,interpolated,1020692.0,715074.0,187755.0,5.26,92.79,2091.3,0.1688,0.2234,1,A
c-bialynichy,2005,MORPH_FIXED_FRAME,9900.0,estimate,1064720.0,738211.0,202962.0,5.32,107.55,1860.9,0.1739,0.2208,1,A
c-bialynichy,2010,MORPH_FIXED_FRAME,10669.5,interpolated,1110199.0,761410.0,219167.0,5.53,104.05,1929.4,0.1763,0.2584,1,A
c-bialynichy,2015,MORPH_FIXED_FRAME,10316.0,estimate,1154265.0,782606.0,235110.0,5.62,111.89,1835.6,0.181,0.2691,1,A
c-bialynichy,2020,MORPH_FIXED_FRAME,10003.0,interpolated,1190329.0,795816.0,251931.0,5.63,119.0,1776.7,0.1861,0.2696,1,A
c-biaroza,1975,MORPH_FIXED_FRAME,11415.7,interpolated,1245172.0,822887.0,190041.0,4.94,109.08,2310.9,0.1666,0.0962,1,A
c-biaroza,1980,MORPH_FIXED_FRAME,14122.0,interpolated,1315950.0,863836.0,203963.0,5.09,93.18,2774.5,0.1719,0.0991,1,A
c-biaroza,1985,MORPH_FIXED_FRAME,19167.0,interpolated,1387072.0,904895.0,217940.0,5.34,72.37,3589.3,0.1739,0.1269,1,A
c-biaroza,1990,MORPH_FIXED_FRAME,24601.5,interpolated,1459018.0,945898.0,232449.0,5.58,59.31,4408.9,0.1771,0.1303,1,A
c-biaroza,1995,MORPH_FIXED_FRAME,27900.0,interpolated,1836720.0,1101523.0,414366.0,7.84,65.83,3558.7,0.1793,0.1392,1,A
c-biaroza,2000,MORPH_FIXED_FRAME,29800.0,interpolated,2251310.0,1260744.0,626428.0,8.58,75.55,3473.2,0.2094,0.2111,1,A
c-biaroza,2005,MORPH_FIXED_FRAME,29500.0,estimate,2483628.0,1330385.0,770293.0,9.49,84.19,3108.5,0.2149,0.138,1,A
c-biaroza,2010,MORPH_FIXED_FRAME,29390.0,interpolated,2730603.0,1400349.0,926842.0,10.45,92.91,2812.4,0.2212,0.1651,1,A
c-biaroza,2015,MORPH_FIXED_FRAME,29500.0,estimate,2962112.0,1463762.0,1073245.0,10.59,100.41,2785.6,0.2388,0.1722,1,A
c-biaroza,2020,MORPH_FIXED_FRAME,28602.5,interpolated,3096576.0,1497896.0,1149770.0,10.78,108.26,2653.3,0.2456,0.1944,1,A
c-biarozauka,1975,MORPH_FIXED_FRAME,7223.8,interpolated,647610.0,543902.0,64069.0,2.75,89.65,2626.8,0.1978,0.2109,1,A
c-biarozauka,1980,MORPH_FIXED_FRAME,8811.6,interpolated,673856.0,556710.0,69360.0,2.85,76.47,3091.8,0.1979,0.2186,1,A
c-biarozauka,1985,MORPH_FIXED_FRAME,10259.6,interpolated,700497.0,569505.0,74689.0,2.96,68.28,3466.1,0.1975,0.2343,1,A
c-biarozauka,1990,MORPH_FIXED_FRAME,11709.0,interpolated,727178.0,582313.0,79998.0,3.06,62.1,3826.5,0.1989,0.2347,1,A
c-biarozauka,1995,MORPH_FIXED_FRAME,12100.0,interpolated,816072.0,636509.0,108501.0,3.31,67.44,3655.6,0.2089,0.2795,1,A
c-biarozauka,2000,MORPH_FIXED_FRAME,12160.0,interpolated,910900.0,690762.0,141329.0,3.43,74.91,3545.2,0.2254,0.2474,1,A
c-biarozauka,2005,MORPH_FIXED_FRAME,11900.0,estimate,951866.0,711577.0,157221.0,3.78,79.99,3148.1,0.2251,0.1533,1,A
c-biarozauka,2010,MORPH_FIXED_FRAME,10753.0,interpolated,993369.0,732387.0,173245.0,3.93,92.38,2736.1,0.2275,0.1559,1,A
c-biarozauka,2015,MORPH_FIXED_FRAME,10533.0,estimate,1030890.0,751222.0,187397.0,4.04,97.87,2607.2,0.2308,0.1567,1,A
c-biarozauka,2020,MORPH_FIXED_FRAME,10203.5,interpolated,1051570.0,761074.0,193318.0,4.2,103.06,2429.4,0.2272,0.1666,1,A
