scenario,city_id,epoch,seed_found,footprint_cells,built_dyn_m2,perimeter_edges,merged_with
t05_c0,c-ashmiany,1975,1,379,707983.0,430,
t05_c0,c-asipovichy,1975,1,871,1856572.0,740,
t05_c0,c-astraviec,1975,1,298,454735.0,366,
t05_c0,c-babrujsk,1975,1,3456,8843642.0,2386,
t05_c0,c-baran,1975,1,134,240511.0,120,
t05_c0,c-baranavichy,1975,1,2871,7238310.0,1464,
t05_c0,c-barysau,1975,1,2320,5786600.0,1280,
t05_c0,c-bialynichy,1975,1,299,476224.0,264,
t05_c0,c-biaroza,1975,1,335,652212.0,294,
t05_c0,c-biarozauka,1975,1,300,571805.0,216,
t05_c0,c-bielaaziorsk,1975,1,335,505692.0,462,
t05_c0,c-bierazino,1975,1,384,618131.0,336,
t05_c0,c-braslau,1975,1,198,336241.0,236,
t05_c0,c-brest,1975,1,3176,7607367.0,2054,
t05_c0,c-bychau,1975,1,530,917646.0,588,
t05_c0,c-chashniki,1975,1,241,367423.0,306,
t05_c0,c-chavusy,1975,1,254,383088.0,330,
t05_c0,c-chervien,1975,1,285,367846.0,452,
t05_c0,c-chojniki,1975,1,281,427805.0,394,
t05_c0,c-dobrush,1975,1,354,628763.0,280,
t05_c0,c-drahichyn,1975,1,416,655520.0,392,
t05_c0,c-dziarzhynsk,1975,1,402,668051.0,578,
t05_c0,c-fanipal,1975,1,113,300908.0,88,
t05_c0,c-hancavichy,1975,1,257,489206.0,276,
t05_c0,c-haradok,1975,1,140,211489.0,162,
t05_c0,c-hlybokaje,1975,1,722,1401774.0,600,
t05_c0,c-homiel,1975,1,5163,12907073.0,2868,
t05_c0,c-horki,1975,1,367,689830.0,396,
t05_c0,c-hrodna,1975,1,1592,3907596.0,1126,
t05_c0,c-ivacevichy,1975,1,530,1088174.0,418,
t05_c0,c-ivanava,1975,1,493,838536.0,556,
t05_c0,c-jelsk,1975,1,111,145089.0,192,
t05_c0,c-kalinkavichy,1975,1,906,1934268.0,822,
t05_c0,c-kapyl,1975,1,151,232079.0,238,
t05_c0,c-kasciukovichy,1975,1,315,515387.0,232,
t05_c0,c-kleck,1975,1,271,656347.0,198,
t05_c0,c-klimavichy,1975,1,257,388786.0,360,
t05_c0,c-kobryn,1975,1,538,1184916.0,372,
t05_c0,c-krychau,1975,1,633,1435402.0,398,
t05_c0,c-lachavichy,1975,1,212,360277.0,168,
t05_c0,c-lahojsk,1975,1,136,158544.0,208,
t05_c0,c-lelchycy,1975,1,315,500163.0,432,
t05_c0,c-lepiel,1975,1,540,1038139.0,440,
t05_c0,c-lida,1975,1,1345,2928328.0,1022,
t05_c0,c-luban,1975,1,300,442885.0,354,
t05_c0,c-luniniec,1975,1,551,972759.0,622,
t05_c0,c-machulishchy,1975,1,19,21770.0,34,
t05_c0,c-mahilou,1975,1,2667,6415184.0,1952,
t05_c0,c-maladziechna,1975,1,1872,4492604.0,1232,
t05_c0,c-malaryta,1975,1,309,502102.0,322,
t05_c0,c-marjina-horka,1975,1,261,465910.0,348,
t05_c0,c-masty,1975,1,103,149878.0,114,
t05_c0,c-mazyr,1975,1,443,788219.0,664,
t05_c0,c-mikashevichy,1975,1,244,346170.0,366,
t05_c0,c-minsk,1975,1,10821,27596061.0,5936,
t05_c0,c-mscislau,1975,1,401,645085.0,322,
t05_c0,c-naroula,1975,1,190,283055.0,264,
t05_c0,c-navahrudak,1975,1,679,1295996.0,670,
t05_c0,c-navapolack,1975,1,357,612820.0,338,
t05_c0,c-niasvizh,1975,1,239,361107.0,250,
t05_c0,c-novalukoml,1975,1,107,237957.0,110,
t05_c0,c-orsha,1975,1,1908,4335781.0,1246,
t05_c0,c-pastavy,1975,1,625,1113335.0,598,
t05_c0,c-pietrykau,1975,1,330,603039.0,366,
t05_c0,c-pinsk,1975,1,1963,4776793.0,1440,
t05_c0,c-polack,1975,1,909,1754204.0,700,
t05_c0,c-pruzhany,1975,1,494,978611.0,448,
t05_c0,c-rahachou,1975,1,687,1494403.0,358,
t05_c0,c-rechyca,1975,1,1883,4341185.0,1164,
t05_c0,c-salihorsk,1975,1,451,1004944.0,386,
t05_c0,c-shchuchyn,1975,1,206,341990.0,216,
t05_c0,c-shklou,1975,1,502,943961.0,356,
t05_c0,c-skidziel,1975,1,166,248225.0,254,
t05_c0,c-slonim,1975,1,521,951924.0,496,
t05_c0,c-sluck,1975,1,102,233862.0,90,
t05_c0,c-smalavichy,1975,1,457,721774.0,540,
t05_c0,c-smarhon,1975,1,554,936000.0,662,
t05_c0,c-staryja-darohi,1975,1,247,480366.0,262,
t05_c0,c-stolin,1975,1,413,719718.0,398,
t05_c0,c-stoubcy,1975,1,372,673628.0,384,
t05_c0,c-svietlahorsk,1975,1,428,786585.0,532,
t05_c0,c-talachyn,1975,1,225,316610.0,290,
t05_c0,c-uzda,1975,1,129,152418.0,244,
t05_c0,c-valozhyn,1975,1,285,406238.0,440,
t05_c0,c-vasilevichy,1975,1,245,316737.0,390,
t05_c0,c-vaukavysk,1975,1,855,1611066.0,786,
t05_c0,c-viciebsk,1975,1,1327,3338997.0,648,
t05_c0,c-vietka,1975,1,353,583677.0,362,
t05_c0,c-vilejka,1975,1,713,1383654.0,586,
t05_c0,c-zaslauje,1975,1,173,479674.0,132,
t05_c0,c-zhabinka,1975,1,268,495599.0,320,
t05_c0,c-zhlobin,1975,1,1231,2568243.0,898,
t05_c0,c-zhodzina,1975,1,510,1344317.0,450,
t05_c0,c-zhytkavichy,1975,1,512,891297.0,464,
t05_c0,c-ashmiany,1980,1,397,765961.0,418,
t05_c0,c-asipovichy,1980,1,947,1997867.0,692,
t05_c0,c-astraviec,1980,1,316,491916.0,384,
t05_c0,c-babrujsk,1980,1,3894,9660601.0,2350,
t05_c0,c-baran,1980,1,140,258300.0,130,
t05_c0,c-baranavichy,1980,1,2962,7579011.0,1486,
t05_c0,c-barysau,1980,1,2362,5971392.0,1256,
t05_c0,c-bialynichy,1980,1,311,506636.0,258,
t05_c0,c-biaroza,1980,1,456,875442.0,430,
t05_c0,c-biarozauka,1980,1,304,589203.0,220,
t05_c0,c-bielaaziorsk,1980,1,350,536254.0,456,
t05_c0,c-bierazino,1980,1,393,669560.0,310,
t05_c0,c-braslau,1980,1,219,374250.0,256,
t05_c0,c-brest,1980,1,3284,7973603.0,2058,
t05_c0,c-bychau,1980,1,548,972510.0,574,
t05_c0,c-chashniki,1980,1,252,397813.0,290,
t05_c0,c-chavusy,1980,1,269,417151.0,322,
t05_c0,c-chervien,1980,1,298,386741.0,444,
t05_c0,c-chojniki,1980,1,307,475506.0,400,
t05_c0,c-dobrush,1980,1,372,646164.0,352,
t05_c0,c-drahichyn,1980,1,436,713999.0,380,
t05_c0,c-dziarzhynsk,1980,1,471,798004.0,622,
t05_c0,c-fanipal,1980,1,138,359508.0,124,
t05_c0,c-hancavichy,1980,1,300,563777.0,318,
t05_c0,c-haradok,1980,1,144,226753.0,158,
t05_c0,c-hlybokaje,1980,1,762,1522414.0,602,
t05_c0,c-homiel,1980,1,5460,13786742.0,2852,
t05_c0,c-horki,1980,1,393,760013.0,372,
t05_c0,c-hrodna,1980,1,1716,4242950.0,1122,
t05_c0,c-ivacevichy,1980,1,542,1131425.0,432,
t05_c0,c-ivanava,1980,1,510,896851.0,540,
t05_c0,c-jelsk,1980,1,119,160747.0,182,
t05_c0,c-kalinkavichy,1980,1,1034,2124009.0,818,
t05_c0,c-kapyl,1980,1,301,479553.0,368,
t05_c0,c-kasciukovichy,1980,1,326,554145.0,222,
t05_c0,c-kleck,1980,1,281,683833.0,184,
t05_c0,c-klimavichy,1980,1,269,421649.0,346,
t05_c0,c-kobryn,1980,1,562,1257387.0,374,
t05_c0,c-krychau,1980,1,641,1504222.0,392,
t05_c0,c-lachavichy,1980,1,217,386180.0,170,
t05_c0,c-lahojsk,1980,1,149,180283.0,212,
t05_c0,c-lelchycy,1980,1,340,547255.0,426,
t05_c0,c-lepiel,1980,1,571,1129816.0,426,
t05_c0,c-lida,1980,1,1387,3077985.0,1020,
t05_c0,c-luban,1980,1,325,481523.0,334,
t05_c0,c-luniniec,1980,1,632,1101283.0,570,
t05_c0,c-machulishchy,1980,1,23,27341.0,36,
t05_c0,c-mahilou,1980,1,2794,6777594.0,1890,
t05_c0,c-maladziechna,1980,1,2036,4817677.0,1342,
t05_c0,c-malaryta,1980,1,325,551192.0,326,
t05_c0,c-marjina-horka,1980,1,385,625858.0,498,
t05_c0,c-masty,1980,1,112,165843.0,114,
t05_c0,c-mazyr,1980,1,495,919333.0,680,
t05_c0,c-mikashevichy,1980,1,277,401819.0,388,
t05_c0,c-minsk,1980,1,11106,28408925.0,5816,
t05_c0,c-mscislau,1980,1,425,706828.0,352,
t05_c0,c-naroula,1980,1,210,316998.0,252,
t05_c0,c-navahrudak,1980,1,708,1372118.0,670,
t05_c0,c-navapolack,1980,1,378,661181.0,322,
t05_c0,c-niasvizh,1980,1,250,387291.0,254,
t05_c0,c-novalukoml,1980,1,109,243022.0,110,
t05_c0,c-orsha,1980,1,1970,4538291.0,1220,
t05_c0,c-pastavy,1980,1,642,1174854.0,604,
t05_c0,c-pietrykau,1980,1,352,658625.0,346,
t05_c0,c-pinsk,1980,1,2116,5091767.0,1350,
t05_c0,c-polack,1980,1,937,1854586.0,716,
t05_c0,c-pruzhany,1980,1,519,1061632.0,418,
t05_c0,c-rahachou,1980,1,704,1582863.0,356,
t05_c0,c-rechyca,1980,1,2037,4766497.0,1264,
t05_c0,c-salihorsk,1980,1,491,1099706.0,368,
t05_c0,c-shchuchyn,1980,1,214,366399.0,216,
t05_c0,c-shklou,1980,1,512,1011084.0,346,
t05_c0,c-skidziel,1980,1,176,274146.0,232,
t05_c0,c-slonim,1980,1,544,1015532.0,496,
t05_c0,c-sluck,1980,1,115,258190.0,90,
t05_c0,c-smalavichy,1980,1,482,789466.0,552,
t05_c0,c-smarhon,1980,1,595,1007226.0,664,
t05_c0,c-staryja-darohi,1980,1,282,548022.0,278,
t05_c0,c-stolin,1980,1,432,757570.0,394,
t05_c0,c-stoubcy,1980,1,408,728346.0,382,
t05_c0,c-svietlahorsk,1980,1,464,855302.0,566,
t05_c0,c-talachyn,1980,1,234,337894.0,296,
t05_c0,c-uzda,1980,1,154,185555.0,258,
t05_c0,c-valozhyn,1980,1,307,446974.0,458,
t05_c0,c-vasilevichy,1980,1,257,334108.0,398,
t05_c0,c-vaukavysk,1980,1,902,1737741.0,786,
t05_c0,c-viciebsk,1980,1,1349,3449755.0,604,
t05_c0,c-vietka,1980,1,377,640309.0,356,
t05_c0,c-vilejka,1980,1,728,1443632.0,578,
t05_c0,c-zaslauje,1980,1,180,511738.0,130,
t05_c0,c-zhabinka,1980,1,275,524455.0,306,
t05_c0,c-zhlobin,1980,1,1363,2891366.0,940,
t05_c0,c-zhodzina,1980,1,680,1668483.0,626,
t05_c0,c-zhytkavichy,1980,1,599,1051408.0,526,
t05_c0,c-ashmiany,1985,1,417,822842.0,396,
t05_c0,c-asipovichy,1985,1,996,2134013.0,634,
t05_c0,c-astraviec,1985,1,324,524031.0,380,
t05_c0,c-babrujsk,1985,1,4075,10225082.0,2256,
t05_c0,c-baran,1985,1,154,284123.0,156,
t05_c0,c-baranavichy,1985,1,3022,7903015.0,1470,
t05_c0,c-barysau,1985,1,2397,6160010.0,1236,
t05_c0,c-bialynichy,1985,1,341,571159.0,298,
t05_c0,c-biaroza,1985,1,470,926804.0,414,
t05_c0,c-biarozauka,1985,1,311,608936.0,210,
t05_c0,c-bielaaziorsk,1985,1,361,567200.0,450,
t05_c0,c-bierazino,1985,1,404,723046.0,304,
t05_c0,c-braslau,1985,1,268,480101.0,282,
t05_c0,c-brest,1985,1,3373,8354492.0,2024,
t05_c0,c-bychau,1985,1,632,1116269.0,662,
t05_c0,c-chashniki,1985,1,270,434512.0,264,
t05_c0,c-chavusy,1985,1,285,459251.0,316,
t05_c0,c-chervien,1985,1,310,406345.0,436,
t05_c0,c-chojniki,1985,1,325,521606.0,380,
t05_c0,c-dobrush,1985,1,472,865113.0,420,
t05_c0,c-drahichyn,1985,1,456,775266.0,354,
