scenario,city_id,epoch,fixed_cells,core_cells,built_fixed_m2,built_core_m2,built_edge_m2,built_buffer_m2
t05_c0,c-ashmiany,1975,2717,379,1041414.0,707983.0,238391.0,95040.0
t05_c0,c-asipovichy,1975,4246,871,2196599.0,1856572.0,273901.0,66126.0
t05_c0,c-astraviec,1975,2121,298,578542.0,454735.0,58785.0,65022.0
t05_c0,c-babrujsk,1975,11046,3456,9725733.0,8843642.0,756974.0,125117.0
t05_c0,c-baran,1975,1193,134,380239.0,240511.0,32342.0,107386.0
t05_c0,c-baranavichy,1975,9182,2871,8194828.0,7238310.0,639305.0,317213.0
t05_c0,c-barysau,1975,7192,2320,6465389.0,5786600.0,239411.0,439378.0
t05_c0,c-bialynichy,1975,2045,299,681320.0,476224.0,129021.0,76075.0
t05_c0,c-biaroza,1975,2970,335,1238185.0,652212.0,337143.0,248830.0
t05_c0,c-biarozauka,1975,1618,300,642830.0,571805.0,20139.0,50886.0
t05_c0,c-bielaaziorsk,1975,2902,335,914613.0,505692.0,167642.0,241279.0
t05_c0,c-bierazino,1975,2929,384,926487.0,618131.0,260485.0,47871.0
t05_c0,c-braslau,1975,2312,198,622739.0,336241.0,175604.0,110894.0
t05_c0,c-brest,1975,12137,3176,9174854.0,7607367.0,1180502.0,386985.0
t05_c0,c-bychau,1975,3131,530,1258939.0,917646.0,245020.0,96273.0
t05_c0,c-chashniki,1975,1955,241,556438.0,367423.0,60791.0,128224.0
t05_c0,c-chavusy,1975,1641,254,508128.0,383088.0,29574.0,95466.0
t05_c0,c-chervien,1975,2697,285,601431.0,367846.0,164274.0,69311.0
t05_c0,c-chojniki,1975,3456,281,1002006.0,427805.0,440622.0,133579.0
t05_c0,c-dobrush,1975,3615,354,1544971.0,628763.0,794784.0,121424.0
t05_c0,c-drahichyn,1975,2922,416,902296.0,655520.0,157262.0,89514.0
t05_c0,c-dziarzhynsk,1975,3327,402,897617.0,668051.0,174600.0,54966.0
t05_c0,c-fanipal,1975,2293,113,699765.0,300908.0,218761.0,180096.0
t05_c0,c-hancavichy,1975,2565,257,913429.0,489206.0,349450.0,74773.0
t05_c0,c-haradok,1975,1223,140,467213.0,211489.0,14603.0,241121.0
t05_c0,c-hlybokaje,1975,3473,722,1542231.0,1401774.0,96118.0,44339.0
t05_c0,c-homiel,1975,14159,5163,14485718.0,12907073.0,1222573.0,356072.0
t05_c0,c-horki,1975,3955,367,1430756.0,689830.0,666749.0,74177.0
t05_c0,c-hrodna,1975,15417,1592,9997688.0,3907596.0,5553365.0,536727.0
t05_c0,c-ivacevichy,1975,3541,530,1449703.0,1088174.0,259657.0,101872.0
t05_c0,c-ivanava,1975,3921,493,1142118.0,838536.0,274247.0,29335.0
t05_c0,c-jelsk,1975,2431,111,534815.0,145089.0,322323.0,67403.0
t05_c0,c-kalinkavichy,1975,3961,906,2175869.0,1934268.0,195647.0,45954.0
t05_c0,c-kapyl,1975,2137,151,538086.0,232079.0,271432.0,34575.0
t05_c0,c-kasciukovichy,1975,1674,315,836618.0,515387.0,22339.0,298892.0
