scenario,city_id,epoch_start,epoch_end,infill_m2,edge_m2,negative_m2
t05_c0,c-ashmiany,1975,1980,41424.0,3797.0,0.0
t05_c0,c-asipovichy,1975,1980,86251.0,20189.0,0.0
t05_c0,c-astraviec,1975,1980,24909.0,1462.0,0.0
t05_c0,c-babrujsk,1975,1980,302915.0,112166.0,0.0
t05_c0,c-baran,1975,1980,13395.0,854.0,0.0
t05_c0,c-baranavichy,1975,1980,266012.0,17923.0,0.0
t05_c0,c-barysau,1975,1980,158388.0,9111.0,0.0
t05_c0,c-bialynichy,1975,1980,23404.0,2009.0,0.0
t05_c0,c-biaroza,1975,1980,26516.0,16708.0,0.0
t05_c0,c-biarozauka,1975,1980,15109.0,480.0,0.0
t05_c0,c-bielaaziorsk,1975,1980,22041.0,2376.0,0.0
t05_c0,c-bierazino,1975,1980,45769.0,1625.0,0.0
t05_c0,c-braslau,1975,1980,23020.0,2660.0,0.0
t05_c0,c-brest,1975,1980,282734.0,19109.0,0.0
t05_c0,c-bychau,1975,1980,44874.0,1676.0,0.0
t05_c0,c-chashniki,1975,1980,24301.0,1777.0,0.0
t05_c0,c-chavusy,1975,1980,25574.0,2242.0,0.0
t05_c0,c-chervien,1975,1980,11663.0,1234.0,0.0
t05_c0,c-chojniki,1975,1980,31200.0,4425.0,0.0
t05_c0,c-dobrush,1975,1980,35748.0,34642.0,0.0
t05_c0,c-drahichyn,1975,1980,45421.0,4024.0,0.0
t05_c0,c-dziarzhynsk,1975,1980,40329.0,18941.0,0.0
t05_c0,c-fanipal,1975,1980,14597.0,5902.0,0.0
t05_c0,c-hancavichy,1975,1980,29480.0,9477.0,0.0
t05_c0,c-haradok,1975,1980,12917.0,523.0,0.0
t05_c0,c-hlybokaje,1975,1980,79450.0,5010.0,0.0
t05_c0,c-homiel,1975,1980,552024.0,63376.0,0.0
t05_c0,c-horki,1975,1980,54445.0,5371.0,0.0
t05_c0,c-hrodna,1975,1980,211853.0,34383.0,0.0
t05_c0,c-ivacevichy,1975,1980,35175.0,1389.0,0.0
t05_c0,c-ivanava,1975,1980,48468.0,2430.0,0.0
t05_c0,c-jelsk,1975,1980,11004.0,1405.0,0.0
t05_c0,c-kalinkavichy,1975,1980,95269.0,36549.0,0.0
t05_c0,c-kapyl,1975,1980,13615.0,14172.0,0.0
t05_c0,c-kasciukovichy,1975,1980,32228.0,1586.0,0.0
t05_c0,c-kleck,1975,1980,21724.0,2262.0,0.0
t05_c0,c-klimavichy,1975,1980,26149.0,1517.0,0.0
t05_c0,c-kobryn,1975,1980,56572.0,4490.0,0.0
t05_c0,c-krychau,1975,1980,63507.0,2007.0,0.0
t05_c0,c-lachavichy,1975,1980,22920.0,1007.0,0.0
t05_c0,c-lahojsk,1975,1980,12037.0,2544.0,0.0
t05_c0,c-lelchycy,1975,1980,28887.0,6617.0,0.0
t05_c0,c-lepiel,1975,1980,69298.0,6946.0,0.0
t05_c0,c-lida,1975,1980,114144.0,10458.0,0.0
t05_c0,c-luban,1975,1980,24647.0,3722.0,0.0
t05_c0,c-luniniec,1975,1980,76258.0,22301.0,0.0
