control,epoch,built_m2_3km_box
naroch_lake,1975,0.0
naroch_lake,1980,0.0
naroch_lake,1985,0.0
naroch_lake,1990,0.0
naroch_lake,1995,0.0
naroch_lake,2000,0.0
naroch_lake,2005,0.0
naroch_lake,2010,0.0
naroch_lake,2015,0.0
naroch_lake,2020,0.0
naliboki_forest,1975,197.0
naliboki_forest,1980,220.0
naliboki_forest,1985,247.0
naliboki_forest,1990,270.0
naliboki_forest,1995,270.0
naliboki_forest,2000,270.0
naliboki_forest,2005,285.0
naliboki_forest,2010,300.0
naliboki_forest,2015,313.0
naliboki_forest,2020,323.0
polesie_bog,1975,895.0
polesie_bog,1980,992.0
polesie_bog,1985,1087.0
polesie_bog,1990,1241.0
polesie_bog,1995,1301.0
polesie_bog,2000,1360.0
polesie_bog,2005,1443.0
polesie_bog,2010,1524.0
polesie_bog,2015,1592.0
polesie_bog,2020,1608.0
