scenario,year,age_group,sex,pop_thousands
SSP1,1950,0--4,Female,354.2
SSP1,1950,0--4,Male,365.7
SSP1,1950,10--14,Female,430.0
SSP1,1950,10--14,Male,404.4
SSP1,1950,100+,Female,0.3
SSP1,1950,100+,Male,0.0
SSP1,1950,15--19,Female,407.4
SSP1,1950,15--19,Male,385.4
SSP1,1950,20--24,Female,425.5
SSP1,1950,20--24,Male,358.6
SSP1,1950,25--29,Female,328.8
SSP1,1950,25--29,Male,228.6
SSP1,1950,30--34,Female,228.2
SSP1,1950,30--34,Male,153.0
SSP1,1950,35--39,Female,335.2
SSP1,1950,35--39,Male,213.9
SSP1,1950,40--44,Female,301.3
SSP1,1950,40--44,Male,222.8
SSP1,1950,45--49,Female,279.1
SSP1,1950,45--49,Male,198.1
SSP1,1950,5--9,Female,323.4
SSP1,1950,5--9,Male,329.4
SSP1,1950,50--54,Female,200.2
SSP1,1950,50--54,Male,154.1
SSP1,1950,55--59,Female,181.4
SSP1,1950,55--59,Male,140.8
SSP1,1950,60--64,Female,185.4
SSP1,1950,60--64,Male,125.7
SSP1,1950,65--69,Female,153.3
SSP1,1950,65--69,Male,99.8
SSP1,1950,70--74,Female,120.2
SSP1,1950,70--74,Male,68.7
SSP1,1950,75--79,Female,85.5
SSP1,1950,75--79,Male,41.3
SSP1,1950,80--84,Female,38.5
SSP1,1950,80--84,Male,19.0
SSP1,1950,85--89,Female,20.4
SSP1,1950,85--89,Male,7.4
SSP1,1950,90--94,Female,7.4
SSP1,1950,90--94,Male,2.0
SSP1,1950,95--99,Female,2.0
SSP1,1950,95--99,Male,0.4
SSP1,1955,0--4,Female,427.8
SSP1,1955,0--4,Male,444.8
SSP1,1955,10--14,Female,343.4
SSP1,1955,10--14,Male,333.3
SSP1,1955,100+,Female,0.4
SSP1,1955,100+,Male,0.0
SSP1,1955,15--19,Female,423.3
SSP1,1955,15--19,Male,383.7
SSP1,1955,20--24,Female,404.7
SSP1,1955,20--24,Male,362.8
SSP1,1955,25--29,Female,415.1
SSP1,1955,25--29,Male,329.9
SSP1,1955,30--34,Female,301.4
SSP1,1955,30--34,Male,203.1
SSP1,1955,35--39,Female,234.2
SSP1,1955,35--39,Male,145.3
SSP1,1955,40--44,Female,277.2
SSP1,1955,40--44,Male,173.7
SSP1,1955,45--49,Female,263.7
SSP1,1955,45--49,Male,178.7
SSP1,1955,5--9,Female,354.4
SSP1,1955,5--9,Male,371.0
SSP1,1955,50--54,Female,237.2
SSP1,1955,50--54,Male,153.8
SSP1,1955,55--59,Female,196.2
SSP1,1955,55--59,Male,120.8
SSP1,1955,60--64,Female,176.3
SSP1,1955,60--64,Male,109.7
SSP1,1955,65--69,Female,154.8
SSP1,1955,65--69,Male,83.6
SSP1,1955,70--74,Female,100.6
SSP1,1955,70--74,Male,59.5
SSP1,1955,75--79,Female,66.7
SSP1,1955,75--79,Male,33.4
SSP1,1955,80--84,Female,35.3
SSP1,1955,80--84,Male,16.0
SSP1,1955,85--89,Female,15.3
SSP1,1955,85--89,Male,6.4
SSP1,1955,90--94,Female,6.7
SSP1,1955,90--94,Male,2.0
SSP1,1955,95--99,Female,2.2
SSP1,1955,95--99,Male,0.6
SSP1,1960,0--4,Female,476.2
SSP1,1960,0--4,Male,499.3
SSP1,1960,10--14,Female,355.8
SSP1,1960,10--14,Male,367.9
SSP1,1960,100+,Female,0.5
SSP1,1960,100+,Male,0.1
SSP1,1960,15--19,Female,320.4
SSP1,1960,15--19,Male,304.5
SSP1,1960,20--24,Female,408.3
SSP1,1960,20--24,Male,362.3
SSP1,1960,25--29,Female,394.5
SSP1,1960,25--29,Male,344.1
SSP1,1960,30--34,Female,394.4
SSP1,1960,30--34,Male,310.9
SSP1,1960,35--39,Female,305.5
SSP1,1960,35--39,Male,199.8
SSP1,1960,40--44,Female,214.6
SSP1,1960,40--44,Male,132.5
SSP1,1960,45--49,Female,256.5
SSP1,1960,45--49,Male,154.8
SSP1,1960,5--9,Female,426.5
SSP1,1960,5--9,Male,443.0
SSP1,1960,50--54,Female,246.5
SSP1,1960,50--54,Male,158.5
SSP1,1960,55--59,Female,234.9
SSP1,1960,55--59,Male,134.9
SSP1,1960,60--64,Female,188.5
SSP1,1960,60--64,Male,105.0
SSP1,1960,65--69,Female,153.7
SSP1,1960,65--69,Male,85.5
SSP1,1960,70--74,Female,116.6
SSP1,1960,70--74,Male,58.3
SSP1,1960,75--79,Female,65.2
SSP1,1960,75--79,Male,34.8
SSP1,1960,80--84,Female,34.1
SSP1,1960,80--84,Male,16.0
SSP1,1960,85--89,Female,15.6
SSP1,1960,85--89,Male,6.4
