SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1950,7100.082,7127.594,3077.473,4050.122,35.1269,75.9847,23.7092,53.868,7.557,55.025,0.772,89.7859,163.567,6.218,22.948,2.6396,1.0931,28.964,106.1,109.699,51.116,58.583,15.391,58.6416,54.6017,62.1655,53.3446,50.1137,55.746,12.4123,11.3628,13.1339,5.2982,4.8845,5.5138,15.893,91.4742,153.081,22.904,130.4223,209.0649,250.6502,171.7459,349.1511,421.2883,290.8457,132.1034,174.4642,101.9542,238.1154,305.9441,190.2626,1.149,0.161
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1951,7155.107,7189.433,3114.584,4074.848,35.4316,76.4344,23.9098,65.994,9.18,68.652,0.955,72.5809,169.682,6.154,23.602,2.6596,1.1126,28.956,106.2,103.688,48.478,55.21,14.422,59.3877,55.3808,62.851,53.4115,50.1526,55.8385,12.4488,11.3723,13.1833,5.3161,4.8956,5.5354,14.524,85.6799,159.493,20.811,120.6553,199.0722,239.5279,162.9142,340.6023,412.6987,282.6727,131.4878,173.8132,101.0055,237.2803,305.3968,188.987,2.653,0.369
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1952,7223.759,7264.607,3158.217,4106.39,35.8021,76.9098,24.1074,74.503,10.255,81.696,1.125,61.6131,172.108,6.093,23.691,2.6249,1.1111,28.923,106.2,97.605,45.847,51.758,13.436,60.4511,56.514,63.8235,53.8262,50.5806,56.2428,12.5501,11.4296,13.3086,5.3521,4.9202,5.5792,13.841,80.1534,162.44,19.312,111.5183,185.4231,223.5772,151.2814,325.0475,395.8167,268.6666,124.9421,165.4092,95.5209,228.7095,295.5611,181.3767,7.198,0.991
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1953,7305.455,7350.636,3206.988,4143.648,36.2261,77.3953,24.3387,81.992,11.154,90.362,1.229,56.3993,174.55,5.959,23.746,2.6,1.1129,28.914,106.2,92.558,43.651,48.907,12.592,61.4858,57.6238,64.7555,54.2213,50.9963,56.6189,12.6512,11.4899,13.4262,5.3852,4.9469,5.6181,13.13,74.559,165.246,18.024,102.5503,172.2281,208.0981,140.1859,309.917,379.2493,255.3255,118.7814,157.392,90.4884,220.5607,286.0542,174.3543,8.376,1.139
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1954,7395.817,7448.889,3261.75,4187.14,36.7103,77.8992,24.5718,90.542,12.155,106.144,1.425,48.6419,178.676,6.077,23.987,2.6066,1.1276,28.905,106.2,88.134,41.724,46.41,11.832,62.5112,58.7173,65.6844,54.6096,51.394,56.9956,12.7644,11.5536,13.5572,5.4258,4.9775,5.6657,12.371,68.8904,169.628,16.749,93.6661,159.356,192.9599,129.3825,295.074,363.0408,242.2129,112.9346,149.8779,85.7365,212.7676,277.0719,167.5845,15.595,2.094
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1955,7501.961,7560.676,3323.298,4237.377,37.2612,78.4282,24.7897,99.384,13.145,117.429,1.553,44.6328,183.898,6.501,24.323,2.6332,1.1509,28.891,106.3,84.514,40.198,44.316,11.178,63.5116,59.7738,66.6064,54.9764,51.7543,57.3634,12.8781,11.6131,13.6964,5.4715,5.0084,5.719,11.776,63.1862,175.121,15.699,84.898,146.9291,178.3157,118.8558,280.7664,347.5903,229.4387,107.5498,143.1068,81.3441,205.5547,269.0172,161.2289,18.042,2.386
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1956,7619.39,7682.882,3389.872,4293.009,37.8635,78.9626,25.0038,107.667,14.013,126.983,1.653,41.9327,188.856,6.66,24.581,2.6597,1.174,28.905,106.3,81.189,38.763,42.426,10.568,64.5027,60.8084,67.5288,55.3425,52.1059,57.7356,13.0064,11.6849,13.8531,5.5292,5.049,5.7835,10.99,57.4458,180.441,14.528,76.2912,134.8937,164.1937,108.6295,266.8189,332.6052,216.9229,102.4836,136.8022,77.2239,198.6768,261.3917,155.1294,19.325,2.515
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1957,7746.373,7811.335,3459.272,4352.063,38.4966,79.4858,25.1921,115.675,14.809,129.924,1.663,41.6805,194.03,6.614,24.84,2.6895,1.1981,28.924,106.4,78.355,37.533,40.822,10.031,65.441,61.768,68.419,55.6799,52.413,58.0925,13.1304,11.7487,14.0136,5.5873,5.0867,5.8509,10.161,51.8306,186.031,13.309,68.0665,123.6025,151.071,98.9448,253.7357,318.9033,205.0721,97.945,131.3053,73.4909,192.4427,254.8155,149.5324,14.247,1.824
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1958,7876.297,7944.089,3530.363,4413.726,39.1508,79.986,25.3567,125.482,15.796,135.584,1.707,40.6062,199.905,6.533,25.164,2.7275,1.2252,28.913,106.5,74.423,35.68,38.743,9.368,66.6311,62.9741,69.5494,56.3444,53.0598,58.7437,13.3882,12.0054,14.2606,5.6326,5.1538,5.8802,9.309,46.5187,192.335,12.055,60.4527,113.1226,139.0997,89.9789,235.2933,300.2741,187.2265,91.8065,124.7183,67.976,179.8106,242.1074,137.1083,10.103,1.272
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1959,8011.881,8081.319,3603.404,4477.916,39.8271,80.4705,25.5256,135.636,16.784,138.877,1.719,40.3227,205.336,6.3,25.409,2.763,1.2502,28.921,106.6,69.7,33.489,36.212,8.625,67.987,64.3494,70.8413,57.2549,53.9472,59.6472,13.8267,12.4462,14.6867,5.728,5.2483,5.9757,8.53,41.6558,198.228,10.899,53.6223,103.3502,128.0433,81.5178,214.9769,278.8338,167.9417,85.1601,117.9785,61.5332,164.4255,225.8132,122.2058,3.238,0.401
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1960,8150.758,8207.998,3673.163,4534.835,40.4514,80.9988,25.7258,141.866,17.284,114.48,1.395,49.688,207.507,5.91,25.281,2.7572,1.2587,28.884,106.2,65.641,31.626,34.014,7.997,69.3223,65.6878,72.1371,58.1834,54.8639,60.5601,14.264,12.8478,15.1414,5.8507,5.3615,6.1075,7.729,37.351,200.951,9.79,47.6863,93.7736,116.8486,73.3585,195.7208,257.4292,150.2038,78.2684,109.8247,55.5823,149.7847,208.8664,108.9668,-27.382,-3.336
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1961,8265.238,8320.433,3737.462,4582.971,41.0055,81.5511,25.9228,137.174,16.486,110.391,1.327,52.2342,201.348,5.584,24.199,2.6731,1.2297,28.696,105.9,64.174,30.95,33.224,7.713,70.0217,66.3895,72.814,58.5164,55.1683,60.9138,14.4657,12.957,15.407,5.9636,5.4318,6.2483,6.772,33.6298,195.533,8.576,42.6431,86.082,107.5621,66.9727,187.331,246.4726,143.4715,74.8493,105.139,52.9152,145.7426,202.3736,106.1675,-26.78,-3.219
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1962,8375.629,8424.48,3797.484,4626.996,41.5183,82.0724,26.1468,130.684,15.512,97.703,1.16,59.7541,194.649,4.46,23.105,2.607,1.2048,28.663,106,63.965,30.877,33.088,7.593,70.4617,66.7825,73.2931,58.5996,55.2036,61.043,14.528,12.9487,15.5215,5.9968,5.4574,6.2886,5.94,30.4957,189.487,7.522,38.4495,80.2879,101.2183,61.4466,182.6845,240.6962,139.3199,73.4825,103.2279,51.6959,145.3814,200.7021,106.3224,-32.996,-3.917
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1963,8473.332,8517.704,3852.451,4665.253,41.9777,82.5775,26.4531,117.398,13.782,88.744,1.042,66.5208,181.457,3.854,21.303,2.4793,1.1479,28.621,106.4,64.059,30.818,33.24,7.521,70.7977,67.1149,73.6308,58.6639,55.2319,61.1503,14.5218,12.9092,15.5326,6.0438,5.49,6.3406,5.08,27.8977,177.01,6.463,35.0093,76.1843,96.975,57.2518,177.6312,235.5687,134.1062,72.7837,103.4969,49.8575,143.4988,199.0698,103.8047,-28.653,-3.364
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1964,8562.076,8602.838,3902.885,4699.953,42.3973,83.0409,26.8259,99.365,11.55,81.525,0.948,73.1168,162.371,3.335,18.874,2.2795,1.0616,28.482,106,63.006,30.39,32.616,7.324,71.3025,67.5471,74.2002,58.9499,55.4261,61.5262,14.7294,13.0482,15.7778,6.1297,5.5389,6.4436,4.222,25.7488,158.668,5.427,32.1932,72.6701,93.5244,53.3325,172.468,230.8705,128.3793,72.2619,103.8674,48.0918,140.9568,197.1533,100.4286,-17.837,-2.073
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1965,8643.601,8679.929,3948.768,4731.162,42.7772,83.463,27.2341,90.636,10.442,72.656,0.837,82.8133,153.828,3.997,17.722,2.2287,1.0418,28.392,105.8,63.192,30.514,32.677,7.28,71.6312,67.826,74.5728,59.1058,55.5157,61.7482,14.8234,13.0791,15.9024,6.2211,5.5904,6.5568,3.717,23.987,150.537,4.771,29.9029,69.3882,89.6248,50.2581,168.7899,228.3493,123.871,71.4892,103.0425,46.8631,139.3446,196.8776,97.7318,-17.979,-2.071
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,2,Medium,1966,8716.257,8752.97,3992.515,4760.456,43.1372,83.8683,27.6401,87.965,10.05,73.426,0.839,82.6159,152.038,5.317,17.37,2.2729,1.0657,28.3,105.5,64.073,30.886,33.186,7.32,71.7979,67.9649,74.7676,59.1372,55.5203,61.8097,14.9691,13.2177,16.0387,6.2642,5.6194,6.6048,3.438,22.5525,148.964,4.368,28.0487,68.2062,88.2156,48.9825,168.9891,229.7113,123.2818,72.6924,104.0615,47.7681,141.2033,199.8917,98.7869,-14.544,-1.662
