SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,0,0,1,29.649,28.018,57.667
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,1,1,1,35.606,33.656,69.262
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,2,2,1,39.22,37.071,76.29
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,3,3,1,41.295,39.026,80.322
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,4,4,1,43.076,40.714,83.79
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,5,5,1,45.931,43.522,89.454
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,6,6,1,50.214,47.586,97.799
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,7,7,1,56.711,53.526,110.237
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,8,8,1,61.102,57.47,118.572
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,9,9,1,61.423,57.598,119.022
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,10,10,1,61.153,57.472,118.625
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,11,11,1,60.531,57.073,117.604
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,12,12,1,58.314,55.09,113.404
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,13,13,1,56.074,52.941,109.014
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,14,14,1,55.865,52.536,108.402
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,15,15,1,55.384,52.102,107.486
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,16,16,1,53.446,50.361,103.807
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,17,17,1,49.995,47.232,97.227
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,18,18,1,46.533,44.279,90.813
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,19,19,1,44.543,42.379,86.921
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,20,20,1,43.617,41.222,84.839
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,21,21,1,43.55,41.157,84.708
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,22,22,1,43.957,41.481,85.438
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,23,23,1,44.909,42.423,87.332
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,24,24,1,45.511,43.066,88.578
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,25,25,1,45.676,42.754,88.43
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,26,26,1,44.934,42.135,87.068
185,112,,BLR,BY,112,4,Country/Area,923,Belarus,4,Low,2024,2024,27,27,1,45.155,42.84,87.996
